stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713_u0_dep4_md896_it2842_s123,target_line_referee,canonical,4,72,64,896,123,2842,1490026496,524288,16,2048,40,1,L,fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713-u0-dep4-md896-it2842-s123,0,0,roihu_target_line_measured_oracle,4,1490026496,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,45.60486884502388,1.9509452307886477e-05,1490004226.3610988,0,2841.9575240346885,target_line_oracle
fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713_u1_dep4_md1024_it2417_s123,target_line_referee,canonical,4,72,64,1024,123,2417,1267204096,524288,16,2048,40,1,L,fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713-u1-dep4-md1024-it2417-s123,1,1,roihu_target_line_measured_oracle,4,1267204096,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,45.60486884502388,7.237383645986029e-05,1267133838.3733675,1,2416.865994211898,target_line_oracle
fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713_u2_dep4_md1152_it2089_s123,target_line_referee,canonical,4,72,64,1152,123,2089,1095237632,524288,16,2048,40,1,L,fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713-u2-dep4-md1152-it2089-s123,2,2,roihu_target_line_measured_oracle,4,1095237632,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,45.60486884502388,-0.00019670990850073622,1095402693.0750656,2,2089.314829015857,target_line_oracle
fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713_u3_dep4_md1280_it1830_s123,target_line_referee,canonical,4,72,64,1280,123,1830,959447040,524288,16,2048,40,1,L,fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713-u3-dep4-md1280-it1830-s123,3,3,roihu_target_line_measured_oracle,4,959447040,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,45.60486884502388,-0.0001820177098750264,959580835.739554,3,1830.2551951209145,target_line_oracle
fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713_u4_dep4_md1408_it1621_s123,target_line_referee,canonical,4,72,64,1408,123,1621,849870848,524288,16,2048,40,1,L,fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713-u4-dep4-md1408-it1621-s123,4,4,roihu_target_line_measured_oracle,4,849870848,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,45.60486884502388,5.046151301257851e-06,849867562.5889558,4,1620.9937335757365,target_line_oracle
fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713_u5_dep4_md1536_it1449_s123,target_line_referee,canonical,4,72,64,1536,123,1449,759693312,524288,16,2048,40,1,L,fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713-u5-dep4-md1536-it1449-s123,5,5,roihu_target_line_measured_oracle,4,759693312,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,45.60486884502388,2.0525740403343207e-05,759681366.3146279,5,1448.9772154133375,target_line_oracle
fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713_u6_dep4_md1664_it1305_s123,target_line_referee,canonical,4,72,64,1664,123,1305,684195840,524288,16,2048,40,1,L,fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713-u6-dep4-md1664-it1305-s123,6,6,roihu_target_line_measured_oracle,4,684195840,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,187433584,187433584,0.0,,1.305337,45.60486884502388,-0.00047792844871707985,684446393.3253537,6,1305.47789254256,target_line_oracle
fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713_u7_dep4_md1792_it1184_s123,target_line_referee,canonical,4,72,64,1792,123,1184,620756992,524288,16,2048,40,1,L,fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713-u7-dep4-md1792-it1184-s123,7,7,roihu_target_line_measured_oracle,4,620756992,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,212861600,212861600,0.0,,1.305337,45.60486884502388,-0.000275472926198006,620888007.8143568,7,1184.2498928343903,target_line_oracle
fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713_u8_dep4_md1920_it1081_s123,target_line_referee,canonical,4,72,64,1920,123,1081,566755328,524288,16,2048,40,1,L,fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713-u8-dep4-md1920-it1081-s123,8,8,roihu_target_line_measured_oracle,4,566755328,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,239862480,239862480,0.0,,1.305337,45.60486884502388,0.0003467687478249104,566604786.8502605,8,1080.7128655438623,target_line_oracle
fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713_u0_dep4_md896_it2842_s124,target_line_referee,canonical,4,72,64,896,124,2842,1490026496,524288,16,2048,40,1,L,fsl_afd_highd_fixed_d4n2_x80_target_s123_124_20260713-u0-dep4-md896-it2842-s124,0,0,roihu_target_line_measured_oracle,4,1490026496,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,45.60486884502388,1.9509452307886477e-05,1490004226.3610988,0,2841.9575240346885,target_line_oracle
