stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
fsl_highcorner_x175_target_s313_315_20260713_2115_u0_dep4_md1024_it4402_s313,target_line_referee,canonical,4,72,64,1024,313,4402,2307915776,524288,16,2048,40,1,L,fsl-highcorner-x175-target-s313-315-20260713-2115-u0-dep4-md1024-it4402-s313,0,0,roihu_target_line_measured_oracle,4,2307915776,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,46.38762818427351,-9.581796442859059e-05,2308085194.2485304,0,4402.323139664708,target_line_oracle
fsl_highcorner_x175_target_s313_315_20260713_2115_u1_dep4_md1152_it3806_s313,target_line_referee,canonical,4,72,64,1152,313,3806,1995440128,524288,16,2048,40,1,L,fsl-highcorner-x175-target-s313-315-20260713-2115-u1-dep4-md1152-it3806-s313,1,1,roihu_target_line_measured_oracle,4,1995440128,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,46.38762818427351,0.00010685350024175477,1995276790.0761836,1,3805.6884576343223,target_line_oracle
fsl_highcorner_x175_target_s313_315_20260713_2115_u2_dep4_md1280_it3334_s313,target_line_referee,canonical,4,72,64,1280,313,3334,1747976192,524288,16,2048,40,1,L,fsl-highcorner-x175-target-s313-315-20260713-2115-u2-dep4-md1280-it3334-s313,2,2,roihu_target_line_measured_oracle,4,1747976192,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,46.38762818427351,7.394159321449933e-05,1747877179.6499865,2,3333.81114892957,target_line_oracle
fsl_highcorner_x175_target_s313_315_20260713_2115_u3_dep4_md1408_it2953_s313,target_line_referee,canonical,4,72,64,1408,313,2953,1548222464,524288,16,2048,40,1,L,fsl-highcorner-x175-target-s313-315-20260713-2115-u3-dep4-md1408-it2953-s313,3,3,roihu_target_line_measured_oracle,4,1548222464,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,46.38762818427351,0.00015859201975843007,1548034374.0182471,3,2952.641246830458,target_line_oracle
fsl_highcorner_x175_target_s313_315_20260713_2115_u4_dep4_md1536_it2639_s313,target_line_referee,canonical,4,72,64,1536,313,2639,1383596032,524288,16,2048,40,1,L,fsl-highcorner-x175-target-s313-315-20260713-2115-u4-dep4-md1536-it2639-s313,4,4,roihu_target_line_measured_oracle,4,1383596032,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,46.38762818427351,-0.00015482870604444088,1383760152.9039395,4,2639.313035781745,target_line_oracle
fsl_highcorner_x175_target_s313_315_20260713_2115_u5_dep4_md1664_it2378_s313,target_line_referee,canonical,4,72,64,1664,313,2378,1246756864,524288,16,2048,40,1,L,fsl-highcorner-x175-target-s313-315-20260713-2115-u5-dep4-md1664-it2378-s313,5,5,roihu_target_line_measured_oracle,4,1246756864,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,187433584,187433584,0.0,,1.305337,46.38762818427351,3.9019958514074915e-05,1246719595.7129593,5,2377.9289163836656,target_line_oracle
fsl_highcorner_x175_target_s313_315_20260713_2115_u6_dep4_md1792_it2157_s313,target_line_referee,canonical,4,72,64,1792,313,2157,1130889216,524288,16,2048,40,1,L,fsl-highcorner-x175-target-s313-315-20260713-2115-u6-dep4-md1792-it2157-s313,6,6,roihu_target_line_measured_oracle,4,1130889216,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,212861600,212861600,0.0,,1.305337,46.38762818427351,-6.779350931651607e-05,1130947950.9776366,6,2157.1120280792934,target_line_oracle
fsl_highcorner_x175_target_s313_315_20260713_2115_u7_dep4_md1920_it1969_s313,target_line_referee,canonical,4,72,64,1920,313,1969,1032323072,524288,16,2048,40,1,L,fsl-highcorner-x175-target-s313-315-20260713-2115-u7-dep4-md1920-it1969-s313,7,7,roihu_target_line_measured_oracle,4,1032323072,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,239862480,239862480,0.0,,1.305337,46.38762818427351,0.00031874353405214606,1032071025.1083113,7,1968.519258705733,target_line_oracle
fsl_highcorner_x175_target_s313_315_20260713_2115_u8_dep4_md2048_it1806_s313,target_line_referee,canonical,4,72,64,2048,313,1806,946864128,524288,16,2048,40,1,L,fsl-highcorner-x175-target-s313-315-20260713-2115-u8-dep4-md2048-it1806-s313,8,8,roihu_target_line_measured_oracle,4,946864128,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,268436224,268436224,0.0,,1.305337,46.38762818427351,7.041774502880571e-05,946813049.8199428,8,1805.9025761031014,target_line_oracle
fsl_highcorner_x175_target_s313_315_20260713_2115_u9_dep4_md2176_it1664_s313,target_line_referee,canonical,4,72,64,2176,313,1664,872415232,524288,16,2048,40,1,L,fsl-highcorner-x175-target-s313-315-20260713-2115-u9-dep4-md2176-it1664-s313,9,9,roihu_target_line_measured_oracle,4,872415232,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,298582832,298582832,0.0,,1.305337,46.38762818427351,-0.0003897464178237442,872675755.8939266,9,1664.496909892896,target_line_oracle
