stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
fsl_longspan_x200_target_s333_335_20260714_0002_u0_dep4_md1152_it4216_s333,target_line_referee,canonical,4,72,64,1152,333,4216,2210398208,524288,16,2048,40,1,L,fsl-longspan-x200-target-s333-335-20260714-0002-u0-dep4-md1152-it4216-s333,0,0,roihu_target_line_measured_oracle,4,2210398208,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,46.521159576898036,0.00012193397244431026,2210191740.209479,0,4215.60619394203,target_line_oracle
fsl_longspan_x200_target_s333_335_20260714_0002_u1_dep4_md1280_it3693_s333,target_line_referee,canonical,4,72,64,1280,333,3693,1936195584,524288,16,2048,40,1,L,fsl-longspan-x200-target-s333-335-20260714-0002-u1-dep4-md1280-it3693-s333,1,1,roihu_target_line_measured_oracle,4,1936195584,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,46.521159576898036,3.460149123668543e-05,1936144260.5742555,1,3692.902108334075,target_line_oracle
fsl_longspan_x200_target_s333_335_20260714_0002_u2_dep4_md1408_it3271_s333,target_line_referee,canonical,4,72,64,1408,333,3271,1714946048,524288,16,2048,40,1,L,fsl-longspan-x200-target-s333-335-20260714-0002-u2-dep4-md1408-it3271-s333,2,2,roihu_target_line_measured_oracle,4,1714946048,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,46.521159576898036,0.00012942604413268555,1714776017.0581803,2,3270.6756917155844,target_line_oracle
fsl_longspan_x200_target_s333_335_20260714_0002_u3_dep4_md1536_it2924_s333,target_line_referee,canonical,4,72,64,1536,333,2924,1533018112,524288,16,2048,40,1,L,fsl-longspan-x200-target-s333-335-20260714-0002-u3-dep4-md1536-it2924-s333,3,3,roihu_target_line_measured_oracle,4,1533018112,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,46.521159576898036,0.0001793309547437616,1532807516.0251362,3,2923.598320055268,target_line_oracle
fsl_longspan_x200_target_s333_335_20260714_0002_u4_dep4_md1664_it2634_s333,target_line_referee,canonical,4,72,64,1664,333,2634,1380974592,524288,16,2048,40,1,L,fsl-longspan-x200-target-s333-335-20260714-0002-u4-dep4-md1664-it2634-s333,4,4,roihu_target_line_measured_oracle,4,1380974592,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,187433584,187433584,0.0,,1.305337,46.521159576898036,-2.9750910201187253e-05,1381006067.1817186,4,2634.0600341448185,target_line_oracle
fsl_longspan_x200_target_s333_335_20260714_0002_u5_dep4_md1792_it2389_s333,target_line_referee,canonical,4,72,64,1792,333,2389,1252524032,524288,16,2048,40,1,L,fsl-longspan-x200-target-s333-335-20260714-0002-u5-dep4-md1792-it2389-s333,5,5,roihu_target_line_measured_oracle,4,1252524032,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,212861600,212861600,0.0,,1.305337,46.521159576898036,-0.00025052567068684084,1252764444.6574044,5,2389.458550753411,target_line_oracle
fsl_longspan_x200_target_s333_335_20260714_0002_u6_dep4_md1920_it2181_s333,target_line_referee,canonical,4,72,64,1920,333,2181,1143472128,524288,16,2048,40,1,L,fsl-longspan-x200-target-s333-335-20260714-0002-u6-dep4-md1920-it2181-s333,6,6,roihu_target_line_measured_oracle,4,1143472128,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,239862480,239862480,0.0,,1.305337,46.521159576898036,0.0002680940192973935,1143237302.3879175,6,2180.552105689845,target_line_oracle
fsl_longspan_x200_target_s333_335_20260714_0002_u7_dep4_md2048_it2000_s333,target_line_referee,canonical,4,72,64,2048,333,2000,1048576000,524288,16,2048,40,1,L,fsl-longspan-x200-target-s333-335-20260714-0002-u7-dep4-md2048-it2000-s333,7,7,roihu_target_line_measured_oracle,4,1048576000,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,268436224,268436224,0.0,,1.305337,46.521159576898036,-0.00027388298845920644,1048796033.032932,7,2000.4196797045365,target_line_oracle
fsl_longspan_x200_target_s333_335_20260714_0002_u8_dep4_md2176_it1844_s333,target_line_referee,canonical,4,72,64,2176,333,1844,966787072,524288,16,2048,40,1,L,fsl-longspan-x200-target-s333-335-20260714-0002-u8-dep4-md2176-it1844-s333,8,8,roihu_target_line_measured_oracle,4,966787072,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,298582832,298582832,0.0,,1.305337,46.521159576898036,0.00015365663511346384,966673274.1797537,8,1843.782947883136,target_line_oracle
fsl_longspan_x200_target_s333_335_20260714_0002_u9_dep4_md2304_it1707_s333,target_line_referee,canonical,4,72,64,2304,333,1707,894959616,524288,16,2048,40,1,L,fsl-longspan-x200-target-s333-335-20260714-0002-u9-dep4-md2304-it1707-s333,9,9,roihu_target_line_measured_oracle,4,894959616,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,330302304,330302304,0.0,,1.305337,46.521159576898036,0.00034297559079021767,894724497.4204342,9,1706.5515468987164,target_line_oracle
