stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,train_row_group_start,base_num_iterations,D_actual,train_length_multiplier,support_policy,support_point_id,support_keys,delta_support_process_family,delta_support_process_repeats,target_line_referee_usage,roihu_partition_note
roihu_fsl_support_readout_factorial_5x5_x100_s125_130_20260713_n0_d0_dep4_md128_it144_x1p00_s125_rg0,source_delta_support_process_control,canonical,4,72,64,128,125,144,75497472,524288,16,2048,40,1,L,roihu-fsl-support-readout-factorial-5x5-x100-s125-130-20260713-n0-d0-dep4-md128-it144-x1p00-s125-rg0,0,0,roihu_delta_support_process_control,4,75497472,524288,Fresh paired-seed 5x5 source union for a frozen support-policy by readout factorial. Each policy may read only its prespecified source subset and is charged only for the union of that subset. The x100 measured target line remains sealed.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,144,75497472,1.0,offline_union_5x5,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,prospective_support_readout_factorial_5x5_x100,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_support_readout_factorial_5x5_x100_s125_130_20260713_n0_d0_dep4_md128_it144_x1p00_s126_rg0,source_delta_support_process_control,canonical,4,72,64,128,126,144,75497472,524288,16,2048,40,1,L,roihu-fsl-support-readout-factorial-5x5-x100-s125-130-20260713-n0-d0-dep4-md128-it144-x1p00-s126-rg0,0,0,roihu_delta_support_process_control,4,75497472,524288,Fresh paired-seed 5x5 source union for a frozen support-policy by readout factorial. Each policy may read only its prespecified source subset and is charged only for the union of that subset. The x100 measured target line remains sealed.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,144,75497472,1.0,offline_union_5x5,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,prospective_support_readout_factorial_5x5_x100,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_support_readout_factorial_5x5_x100_s125_130_20260713_n0_d0_dep4_md128_it144_x1p00_s127_rg0,source_delta_support_process_control,canonical,4,72,64,128,127,144,75497472,524288,16,2048,40,1,L,roihu-fsl-support-readout-factorial-5x5-x100-s125-130-20260713-n0-d0-dep4-md128-it144-x1p00-s127-rg0,0,0,roihu_delta_support_process_control,4,75497472,524288,Fresh paired-seed 5x5 source union for a frozen support-policy by readout factorial. Each policy may read only its prespecified source subset and is charged only for the union of that subset. The x100 measured target line remains sealed.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,144,75497472,1.0,offline_union_5x5,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,prospective_support_readout_factorial_5x5_x100,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_support_readout_factorial_5x5_x100_s125_130_20260713_n0_d0_dep4_md128_it144_x1p00_s128_rg0,source_delta_support_process_control,canonical,4,72,64,128,128,144,75497472,524288,16,2048,40,1,L,roihu-fsl-support-readout-factorial-5x5-x100-s125-130-20260713-n0-d0-dep4-md128-it144-x1p00-s128-rg0,0,0,roihu_delta_support_process_control,4,75497472,524288,Fresh paired-seed 5x5 source union for a frozen support-policy by readout factorial. Each policy may read only its prespecified source subset and is charged only for the union of that subset. The x100 measured target line remains sealed.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,144,75497472,1.0,offline_union_5x5,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,prospective_support_readout_factorial_5x5_x100,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_support_readout_factorial_5x5_x100_s125_130_20260713_n0_d0_dep4_md128_it144_x1p00_s129_rg0,source_delta_support_process_control,canonical,4,72,64,128,129,144,75497472,524288,16,2048,40,1,L,roihu-fsl-support-readout-factorial-5x5-x100-s125-130-20260713-n0-d0-dep4-md128-it144-x1p00-s129-rg0,0,0,roihu_delta_support_process_control,4,75497472,524288,Fresh paired-seed 5x5 source union for a frozen support-policy by readout factorial. Each policy may read only its prespecified source subset and is charged only for the union of that subset. The x100 measured target line remains sealed.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,144,75497472,1.0,offline_union_5x5,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,prospective_support_readout_factorial_5x5_x100,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_support_readout_factorial_5x5_x100_s125_130_20260713_n0_d0_dep4_md128_it144_x1p00_s130_rg0,source_delta_support_process_control,canonical,4,72,64,128,130,144,75497472,524288,16,2048,40,1,L,roihu-fsl-support-readout-factorial-5x5-x100-s125-130-20260713-n0-d0-dep4-md128-it144-x1p00-s130-rg0,0,0,roihu_delta_support_process_control,4,75497472,524288,Fresh paired-seed 5x5 source union for a frozen support-policy by readout factorial. Each policy may read only its prespecified source subset and is charged only for the union of that subset. The x100 measured target line remains sealed.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,144,75497472,1.0,offline_union_5x5,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,prospective_support_readout_factorial_5x5_x100,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_support_readout_factorial_5x5_x100_s125_130_20260713_n0_d1_dep4_md128_it216_x1p00_s125_rg0,source_delta_support_process_control,canonical,4,72,64,128,125,216,113246208,524288,16,2048,40,1,L,roihu-fsl-support-readout-factorial-5x5-x100-s125-130-20260713-n0-d1-dep4-md128-it216-x1p00-s125-rg0,0,1,roihu_delta_support_process_control,4,113246208,524288,Fresh paired-seed 5x5 source union for a frozen support-policy by readout factorial. Each policy may read only its prespecified source subset and is charged only for the union of that subset. The x100 measured target line remains sealed.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,216,113246208,1.0,offline_union_5x5,0:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,prospective_support_readout_factorial_5x5_x100,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_support_readout_factorial_5x5_x100_s125_130_20260713_n0_d1_dep4_md128_it216_x1p00_s126_rg0,source_delta_support_process_control,canonical,4,72,64,128,126,216,113246208,524288,16,2048,40,1,L,roihu-fsl-support-readout-factorial-5x5-x100-s125-130-20260713-n0-d1-dep4-md128-it216-x1p00-s126-rg0,0,1,roihu_delta_support_process_control,4,113246208,524288,Fresh paired-seed 5x5 source union for a frozen support-policy by readout factorial. Each policy may read only its prespecified source subset and is charged only for the union of that subset. The x100 measured target line remains sealed.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,216,113246208,1.0,offline_union_5x5,0:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,prospective_support_readout_factorial_5x5_x100,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_support_readout_factorial_5x5_x100_s125_130_20260713_n0_d1_dep4_md128_it216_x1p00_s127_rg0,source_delta_support_process_control,canonical,4,72,64,128,127,216,113246208,524288,16,2048,40,1,L,roihu-fsl-support-readout-factorial-5x5-x100-s125-130-20260713-n0-d1-dep4-md128-it216-x1p00-s127-rg0,0,1,roihu_delta_support_process_control,4,113246208,524288,Fresh paired-seed 5x5 source union for a frozen support-policy by readout factorial. Each policy may read only its prespecified source subset and is charged only for the union of that subset. The x100 measured target line remains sealed.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,216,113246208,1.0,offline_union_5x5,0:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,prospective_support_readout_factorial_5x5_x100,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_support_readout_factorial_5x5_x100_s125_130_20260713_n0_d1_dep4_md128_it216_x1p00_s128_rg0,source_delta_support_process_control,canonical,4,72,64,128,128,216,113246208,524288,16,2048,40,1,L,roihu-fsl-support-readout-factorial-5x5-x100-s125-130-20260713-n0-d1-dep4-md128-it216-x1p00-s128-rg0,0,1,roihu_delta_support_process_control,4,113246208,524288,Fresh paired-seed 5x5 source union for a frozen support-policy by readout factorial. Each policy may read only its prespecified source subset and is charged only for the union of that subset. The x100 measured target line remains sealed.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,216,113246208,1.0,offline_union_5x5,0:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,prospective_support_readout_factorial_5x5_x100,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
