stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
fsl_target_spanning_factorial_x150_target_s139_140_20260713_u0_dep4_md1024_it3912_s139,target_line_referee,canonical,4,72,64,1024,139,3912,2051014656,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-target-s139-140-20260713-u0-dep4-md1024-it3912-s139,0,0,roihu_target_line_measured_oracle,4,2051014656,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,46.233477504446256,1.174104913559404e-05,2050996207.9244826,0,3911.964813088384,target_line_oracle
fsl_target_spanning_factorial_x150_target_s139_140_20260713_u1_dep4_md1152_it3382_s139,target_line_referee,canonical,4,72,64,1152,139,3382,1773142016,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-target-s139-140-20260713-u1-dep4-md1152-it3382-s139,1,1,roihu_target_line_measured_oracle,4,1773142016,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,46.233477504446256,8.219823696720141e-05,1773030363.1787581,1,3381.7870391440547,target_line_oracle
fsl_target_spanning_factorial_x150_target_s139_140_20260713_u2_dep4_md1280_it2962_s139,target_line_referee,canonical,4,72,64,1280,139,2962,1552941056,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-target-s139-140-20260713-u2-dep4-md1280-it2962-s139,2,2,roihu_target_line_measured_oracle,4,1552941056,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,46.233477504446256,-0.00020727776892215388,1553187671.023999,2,2962.4703808288555,target_line_oracle
fsl_target_spanning_factorial_x150_target_s139_140_20260713_u3_dep4_md1408_it2624_s139,target_line_referee,canonical,4,72,64,1408,139,2624,1375731712,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-target-s139-140-20260713-u3-dep4-md1408-it2624-s139,3,3,roihu_target_line_measured_oracle,4,1375731712,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,46.233477504446256,0.00012060498110599838,1375604608.8592932,3,2623.7575699983468,target_line_oracle
fsl_target_spanning_factorial_x150_target_s139_140_20260713_u4_dep4_md1536_it2345_s139,target_line_referee,canonical,4,72,64,1536,139,2345,1229455360,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-target-s139-140-20260713-u4-dep4-md1536-it2345-s139,4,4,roihu_target_line_measured_oracle,4,1229455360,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,46.233477504446256,-0.00018357910568056468,1229628279.4738913,4,2345.329817722113,target_line_oracle
fsl_target_spanning_factorial_x150_target_s139_140_20260713_u5_dep4_md1664_it2113_s139,target_line_referee,canonical,4,72,64,1664,139,2113,1107820544,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-target-s139-140-20260713-u5-dep4-md1664-it2113-s139,5,5,roihu_target_line_measured_oracle,4,1107820544,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,187433584,187433584,0.0,,1.305337,46.233477504446256,-3.724994457598996e-05,1107852157.937758,5,2113.0602988009605,target_line_oracle
fsl_target_spanning_factorial_x150_target_s139_140_20260713_u6_dep4_md1792_it1917_s139,target_line_referee,canonical,4,72,64,1792,139,1917,1005060096,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-target-s139-140-20260713-u6-dep4-md1792-it1917-s139,6,6,roihu_target_line_measured_oracle,4,1005060096,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,212861600,212861600,0.0,,1.305337,46.233477504446256,0.00010937597823357237,1004975884.1637113,6,1916.8393786691881,target_line_oracle
fsl_target_spanning_factorial_x150_target_s139_140_20260713_u7_dep4_md1920_it1749_s139,target_line_referee,canonical,4,72,64,1920,139,1749,916979712,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-target-s139-140-20260713-u7-dep4-md1920-it1749-s139,7,7,roihu_target_line_measured_oracle,4,916979712,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,239862480,239862480,0.0,,1.305337,46.233477504446256,-0.00018899766390489958,917112489.6432006,7,1749.2532532562268,target_line_oracle
fsl_target_spanning_factorial_x150_target_s139_140_20260713_u8_dep4_md2048_it1605_s139,target_line_referee,canonical,4,72,64,2048,139,1605,841482240,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-target-s139-140-20260713-u8-dep4-md2048-it1605-s139,8,8,roihu_target_line_measured_oracle,4,841482240,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,268436224,268436224,0.0,,1.305337,46.233477504446256,0.0002034732781908133,841351081.6815264,8,1604.7498353605774,target_line_oracle
fsl_target_spanning_factorial_x150_target_s139_140_20260713_u9_dep4_md2176_it1479_s139,target_line_referee,canonical,4,72,64,2176,139,1479,775421952,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-target-s139-140-20260713-u9-dep4-md2176-it1479-s139,9,9,roihu_target_line_measured_oracle,4,775421952,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,298582832,298582832,0.0,,1.305337,46.233477504446256,-8.368185484641799e-05,775471663.9343195,9,1479.0948179899588,target_line_oracle
