stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,train_row_group_start,base_num_iterations,D_actual,train_length_multiplier,support_policy,support_point_id,support_keys,delta_support_process_family,delta_support_process_repeats,target_line_referee_usage,roihu_partition_note
fsl_targetdistance_confirm_source5x5_s201_206_20260713_1637_n0-d0-dep4-md128-it144-x1p00-s201-rg0,source_delta_support_process_control,canonical,4,72,64,128,201,144,75497472,524288,16,2048,40,1,L,fsl-targetdistance-confirm-source5x5-s201-206-20260713-1637-n0-d0-dep4-md128-it144-x1p00-s201-rg0,0,0,roihu_delta_support_process_control,4,75497472,524288,Fresh 5x5 source union for a frozen target-distance confirmation. The same measured source rows are reused for sealed x100 and x150 referees.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,144,75497472,1.0,offline_union_5x5_target_distance_confirmation,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,target_distance_confirmation_5x5,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_targetdistance_confirm_source5x5_s201_206_20260713_1637_n0-d0-dep4-md128-it144-x1p00-s202-rg0,source_delta_support_process_control,canonical,4,72,64,128,202,144,75497472,524288,16,2048,40,1,L,fsl-targetdistance-confirm-source5x5-s201-206-20260713-1637-n0-d0-dep4-md128-it144-x1p00-s202-rg0,0,0,roihu_delta_support_process_control,4,75497472,524288,Fresh 5x5 source union for a frozen target-distance confirmation. The same measured source rows are reused for sealed x100 and x150 referees.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,144,75497472,1.0,offline_union_5x5_target_distance_confirmation,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,target_distance_confirmation_5x5,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_targetdistance_confirm_source5x5_s201_206_20260713_1637_n0-d0-dep4-md128-it144-x1p00-s203-rg0,source_delta_support_process_control,canonical,4,72,64,128,203,144,75497472,524288,16,2048,40,1,L,fsl-targetdistance-confirm-source5x5-s201-206-20260713-1637-n0-d0-dep4-md128-it144-x1p00-s203-rg0,0,0,roihu_delta_support_process_control,4,75497472,524288,Fresh 5x5 source union for a frozen target-distance confirmation. The same measured source rows are reused for sealed x100 and x150 referees.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,144,75497472,1.0,offline_union_5x5_target_distance_confirmation,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,target_distance_confirmation_5x5,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_targetdistance_confirm_source5x5_s201_206_20260713_1637_n0-d0-dep4-md128-it144-x1p00-s204-rg0,source_delta_support_process_control,canonical,4,72,64,128,204,144,75497472,524288,16,2048,40,1,L,fsl-targetdistance-confirm-source5x5-s201-206-20260713-1637-n0-d0-dep4-md128-it144-x1p00-s204-rg0,0,0,roihu_delta_support_process_control,4,75497472,524288,Fresh 5x5 source union for a frozen target-distance confirmation. The same measured source rows are reused for sealed x100 and x150 referees.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,144,75497472,1.0,offline_union_5x5_target_distance_confirmation,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,target_distance_confirmation_5x5,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_targetdistance_confirm_source5x5_s201_206_20260713_1637_n0-d0-dep4-md128-it144-x1p00-s205-rg0,source_delta_support_process_control,canonical,4,72,64,128,205,144,75497472,524288,16,2048,40,1,L,fsl-targetdistance-confirm-source5x5-s201-206-20260713-1637-n0-d0-dep4-md128-it144-x1p00-s205-rg0,0,0,roihu_delta_support_process_control,4,75497472,524288,Fresh 5x5 source union for a frozen target-distance confirmation. The same measured source rows are reused for sealed x100 and x150 referees.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,144,75497472,1.0,offline_union_5x5_target_distance_confirmation,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,target_distance_confirmation_5x5,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_targetdistance_confirm_source5x5_s201_206_20260713_1637_n0-d0-dep4-md128-it144-x1p00-s206-rg0,source_delta_support_process_control,canonical,4,72,64,128,206,144,75497472,524288,16,2048,40,1,L,fsl-targetdistance-confirm-source5x5-s201-206-20260713-1637-n0-d0-dep4-md128-it144-x1p00-s206-rg0,0,0,roihu_delta_support_process_control,4,75497472,524288,Fresh 5x5 source union for a frozen target-distance confirmation. The same measured source rows are reused for sealed x100 and x150 referees.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,144,75497472,1.0,offline_union_5x5_target_distance_confirmation,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,target_distance_confirmation_5x5,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_targetdistance_confirm_source5x5_s201_206_20260713_1637_n0-d1-dep4-md128-it216-x1p00-s201-rg0,source_delta_support_process_control,canonical,4,72,64,128,201,216,113246208,524288,16,2048,40,1,L,fsl-targetdistance-confirm-source5x5-s201-206-20260713-1637-n0-d1-dep4-md128-it216-x1p00-s201-rg0,0,1,roihu_delta_support_process_control,4,113246208,524288,Fresh 5x5 source union for a frozen target-distance confirmation. The same measured source rows are reused for sealed x100 and x150 referees.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,216,113246208,1.0,offline_union_5x5_target_distance_confirmation,0:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,target_distance_confirmation_5x5,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_targetdistance_confirm_source5x5_s201_206_20260713_1637_n0-d1-dep4-md128-it216-x1p00-s202-rg0,source_delta_support_process_control,canonical,4,72,64,128,202,216,113246208,524288,16,2048,40,1,L,fsl-targetdistance-confirm-source5x5-s201-206-20260713-1637-n0-d1-dep4-md128-it216-x1p00-s202-rg0,0,1,roihu_delta_support_process_control,4,113246208,524288,Fresh 5x5 source union for a frozen target-distance confirmation. The same measured source rows are reused for sealed x100 and x150 referees.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,216,113246208,1.0,offline_union_5x5_target_distance_confirmation,0:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,target_distance_confirmation_5x5,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_targetdistance_confirm_source5x5_s201_206_20260713_1637_n0-d1-dep4-md128-it216-x1p00-s203-rg0,source_delta_support_process_control,canonical,4,72,64,128,203,216,113246208,524288,16,2048,40,1,L,fsl-targetdistance-confirm-source5x5-s201-206-20260713-1637-n0-d1-dep4-md128-it216-x1p00-s203-rg0,0,1,roihu_delta_support_process_control,4,113246208,524288,Fresh 5x5 source union for a frozen target-distance confirmation. The same measured source rows are reused for sealed x100 and x150 referees.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,216,113246208,1.0,offline_union_5x5_target_distance_confirmation,0:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,target_distance_confirmation_5x5,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_targetdistance_confirm_source5x5_s201_206_20260713_1637_n0-d1-dep4-md128-it216-x1p00-s204-rg0,source_delta_support_process_control,canonical,4,72,64,128,204,216,113246208,524288,16,2048,40,1,L,fsl-targetdistance-confirm-source5x5-s201-206-20260713-1637-n0-d1-dep4-md128-it216-x1p00-s204-rg0,0,1,roihu_delta_support_process_control,4,113246208,524288,Fresh 5x5 source union for a frozen target-distance confirmation. The same measured source rows are reused for sealed x100 and x150 referees.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,216,113246208,1.0,offline_union_5x5_target_distance_confirmation,0:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,target_distance_confirmation_5x5,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
