stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
fsl_targetdistance_confirm_x100_s207_208_20260713_1637_u0-dep4-md896-it3372-s207,target_line_referee,canonical,4,72,64,896,207,3372,1767899136,524288,16,2048,40,1,L,fsl-targetdistance-confirm-x100-s207-208-20260713-1637-u0-dep4-md896-it3372-s207,0,0,roihu_target_line_measured_oracle,4,1767899136,524288,Held-out measured target-budget-line referee row for a frozen target-distance confirmation; never used for estimator fitting.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,45.82801239633809,8.59881240629079e-05,1767782680.7679052,0,3371.77787927228,target_line_oracle
fsl_targetdistance_confirm_x100_s207_208_20260713_1637_u0-dep4-md896-it3372-s208,target_line_referee,canonical,4,72,64,896,208,3372,1767899136,524288,16,2048,40,1,L,fsl-targetdistance-confirm-x100-s207-208-20260713-1637-u0-dep4-md896-it3372-s208,0,0,roihu_target_line_measured_oracle,4,1767899136,524288,Held-out measured target-budget-line referee row for a frozen target-distance confirmation; never used for estimator fitting.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,45.82801239633809,8.59881240629079e-05,1767782680.7679052,0,3371.77787927228,target_line_oracle
fsl_targetdistance_confirm_x100_s207_208_20260713_1637_u1-dep4-md1024-it2867-s207,target_line_referee,canonical,4,72,64,1024,207,2867,1503133696,524288,16,2048,40,1,L,fsl-targetdistance-confirm-x100-s207-208-20260713-1637-u1-dep4-md1024-it2867-s207,1,1,roihu_target_line_measured_oracle,4,1503133696,524288,Held-out measured target-budget-line referee row for a frozen target-distance confirmation; never used for estimator fitting.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,45.82801239633809,-0.000199132246287,1503363020.0915515,1,2867.437400992492,target_line_oracle
fsl_targetdistance_confirm_x100_s207_208_20260713_1637_u1-dep4-md1024-it2867-s208,target_line_referee,canonical,4,72,64,1024,208,2867,1503133696,524288,16,2048,40,1,L,fsl-targetdistance-confirm-x100-s207-208-20260713-1637-u1-dep4-md1024-it2867-s208,1,1,roihu_target_line_measured_oracle,4,1503133696,524288,Held-out measured target-budget-line referee row for a frozen target-distance confirmation; never used for estimator fitting.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,45.82801239633809,-0.000199132246287,1503363020.0915515,1,2867.437400992492,target_line_oracle
fsl_targetdistance_confirm_x100_s207_208_20260713_1637_u2-dep4-md1152-it2479-s207,target_line_referee,canonical,4,72,64,1152,207,2479,1299709952,524288,16,2048,40,1,L,fsl-targetdistance-confirm-x100-s207-208-20260713-1637-u2-dep4-md1152-it2479-s207,2,2,roihu_target_line_measured_oracle,4,1299709952,524288,Held-out measured target-budget-line referee row for a frozen target-distance confirmation; never used for estimator fitting.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,45.82801239633809,9.397346455131128e-05,1299616387.0043497,2,2478.8215389334673,target_line_oracle
fsl_targetdistance_confirm_x100_s207_208_20260713_1637_u2-dep4-md1152-it2479-s208,target_line_referee,canonical,4,72,64,1152,208,2479,1299709952,524288,16,2048,40,1,L,fsl-targetdistance-confirm-x100-s207-208-20260713-1637-u2-dep4-md1152-it2479-s208,2,2,roihu_target_line_measured_oracle,4,1299709952,524288,Held-out measured target-budget-line referee row for a frozen target-distance confirmation; never used for estimator fitting.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,45.82801239633809,9.397346455131128e-05,1299616387.0043497,2,2478.8215389334673,target_line_oracle
fsl_targetdistance_confirm_x100_s207_208_20260713_1637_u3-dep4-md1280-it2171-s207,target_line_referee,canonical,4,72,64,1280,207,2171,1138229248,524288,16,2048,40,1,L,fsl-targetdistance-confirm-x100-s207-208-20260713-1637-u3-dep4-md1280-it2171-s207,3,3,roihu_target_line_measured_oracle,4,1138229248,524288,Held-out measured target-budget-line referee row for a frozen target-distance confirmation; never used for estimator fitting.,controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,45.82801239633809,-0.0002801243097962,1138473537.3267822,3,2171.4659449134488,target_line_oracle
fsl_targetdistance_confirm_x100_s207_208_20260713_1637_u3-dep4-md1280-it2171-s208,target_line_referee,canonical,4,72,64,1280,208,2171,1138229248,524288,16,2048,40,1,L,fsl-targetdistance-confirm-x100-s207-208-20260713-1637-u3-dep4-md1280-it2171-s208,3,3,roihu_target_line_measured_oracle,4,1138229248,524288,Held-out measured target-budget-line referee row for a frozen target-distance confirmation; never used for estimator fitting.,controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,45.82801239633809,-0.0002801243097962,1138473537.3267822,3,2171.4659449134488,target_line_oracle
fsl_targetdistance_confirm_x100_s207_208_20260713_1637_u4-dep4-md1408-it1923-s207,target_line_referee,canonical,4,72,64,1408,207,1923,1008205824,524288,16,2048,40,1,L,fsl-targetdistance-confirm-x100-s207-208-20260713-1637-u4-dep4-md1408-it1923-s207,4,4,roihu_target_line_measured_oracle,4,1008205824,524288,Held-out measured target-budget-line referee row for a frozen target-distance confirmation; never used for estimator fitting.,controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,45.82801239633809,-0.0001305238681723,1008306642.0290046,4,1923.1922951297847,target_line_oracle
fsl_targetdistance_confirm_x100_s207_208_20260713_1637_u4-dep4-md1408-it1923-s208,target_line_referee,canonical,4,72,64,1408,208,1923,1008205824,524288,16,2048,40,1,L,fsl-targetdistance-confirm-x100-s207-208-20260713-1637-u4-dep4-md1408-it1923-s208,4,4,roihu_target_line_measured_oracle,4,1008205824,524288,Held-out measured target-budget-line referee row for a frozen target-distance confirmation; never used for estimator fitting.,controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,45.82801239633809,-0.0001305238681723,1008306642.0290046,4,1923.1922951297847,target_line_oracle
