stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,train_row_group_start,base_num_iterations,D_actual,train_length_multiplier,support_policy,support_point_id,support_keys,delta_support_process_family,delta_support_process_repeats,target_line_referee_usage,roihu_partition_note
fsl_x150_n_axis_location_d4_n5n7_s133_138_20260713_n5_d4_dep4_md576_it729_s133_rg0,source_support_extension,canonical,4,72,64,576,133,729,382205952,524288,16,2048,40,1,L,fsl-x150-n-axis-location-d4-n5n7-s133-138-20260713-n5-d4-dep4-md576-it729-s133-rg0,5,4,x150_n_axis_location_test,4,382205952,524288,Post-target exploratory test of Chinchilla alpha invariance using the same N coordinates at d2 and d4; target losses remain evaluation-only.,controlled_model_dim_same_n_location_test,34799832,34799832.0,0.0,,,same_n_d2_d4_location_test,,1.305337,0,729,382205952,1.0,fixed_same_n_d4_cross,5:4,2:2;2:4;2:5;5:4;7:4,post_target_same_n_location_diagnostic_x150,paired_train_seed,evaluation_only_post_target_exploratory_design,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x150_n_axis_location_d4_n5n7_s133_138_20260713_n7_d4_dep4_md1152_it729_s133_rg0,source_support_extension,canonical,4,72,64,1152,133,729,382205952,524288,16,2048,40,1,L,fsl-x150-n-axis-location-d4-n5n7-s133-138-20260713-n7-d4-dep4-md1152-it729-s133-rg0,7,4,x150_n_axis_location_test,4,382205952,524288,Post-target exploratory test of Chinchilla alpha invariance using the same N coordinates at d2 and d4; target losses remain evaluation-only.,controlled_model_dim_same_n_location_test,101450160,101450160.0,0.0,,,same_n_d2_d4_location_test,,1.305337,0,729,382205952,1.0,fixed_same_n_d4_cross,7:4,2:2;2:4;2:5;5:4;7:4,post_target_same_n_location_diagnostic_x150,paired_train_seed,evaluation_only_post_target_exploratory_design,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x150_n_axis_location_d4_n5n7_s133_138_20260713_n5_d4_dep4_md576_it729_s134_rg0,source_support_extension,canonical,4,72,64,576,134,729,382205952,524288,16,2048,40,1,L,fsl-x150-n-axis-location-d4-n5n7-s133-138-20260713-n5-d4-dep4-md576-it729-s134-rg0,5,4,x150_n_axis_location_test,4,382205952,524288,Post-target exploratory test of Chinchilla alpha invariance using the same N coordinates at d2 and d4; target losses remain evaluation-only.,controlled_model_dim_same_n_location_test,34799832,34799832.0,0.0,,,same_n_d2_d4_location_test,,1.305337,0,729,382205952,1.0,fixed_same_n_d4_cross,5:4,2:2;2:4;2:5;5:4;7:4,post_target_same_n_location_diagnostic_x150,paired_train_seed,evaluation_only_post_target_exploratory_design,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x150_n_axis_location_d4_n5n7_s133_138_20260713_n7_d4_dep4_md1152_it729_s134_rg0,source_support_extension,canonical,4,72,64,1152,134,729,382205952,524288,16,2048,40,1,L,fsl-x150-n-axis-location-d4-n5n7-s133-138-20260713-n7-d4-dep4-md1152-it729-s134-rg0,7,4,x150_n_axis_location_test,4,382205952,524288,Post-target exploratory test of Chinchilla alpha invariance using the same N coordinates at d2 and d4; target losses remain evaluation-only.,controlled_model_dim_same_n_location_test,101450160,101450160.0,0.0,,,same_n_d2_d4_location_test,,1.305337,0,729,382205952,1.0,fixed_same_n_d4_cross,7:4,2:2;2:4;2:5;5:4;7:4,post_target_same_n_location_diagnostic_x150,paired_train_seed,evaluation_only_post_target_exploratory_design,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x150_n_axis_location_d4_n5n7_s133_138_20260713_n5_d4_dep4_md576_it729_s135_rg0,source_support_extension,canonical,4,72,64,576,135,729,382205952,524288,16,2048,40,1,L,fsl-x150-n-axis-location-d4-n5n7-s133-138-20260713-n5-d4-dep4-md576-it729-s135-rg0,5,4,x150_n_axis_location_test,4,382205952,524288,Post-target exploratory test of Chinchilla alpha invariance using the same N coordinates at d2 and d4; target losses remain evaluation-only.,controlled_model_dim_same_n_location_test,34799832,34799832.0,0.0,,,same_n_d2_d4_location_test,,1.305337,0,729,382205952,1.0,fixed_same_n_d4_cross,5:4,2:2;2:4;2:5;5:4;7:4,post_target_same_n_location_diagnostic_x150,paired_train_seed,evaluation_only_post_target_exploratory_design,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x150_n_axis_location_d4_n5n7_s133_138_20260713_n7_d4_dep4_md1152_it729_s135_rg0,source_support_extension,canonical,4,72,64,1152,135,729,382205952,524288,16,2048,40,1,L,fsl-x150-n-axis-location-d4-n5n7-s133-138-20260713-n7-d4-dep4-md1152-it729-s135-rg0,7,4,x150_n_axis_location_test,4,382205952,524288,Post-target exploratory test of Chinchilla alpha invariance using the same N coordinates at d2 and d4; target losses remain evaluation-only.,controlled_model_dim_same_n_location_test,101450160,101450160.0,0.0,,,same_n_d2_d4_location_test,,1.305337,0,729,382205952,1.0,fixed_same_n_d4_cross,7:4,2:2;2:4;2:5;5:4;7:4,post_target_same_n_location_diagnostic_x150,paired_train_seed,evaluation_only_post_target_exploratory_design,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x150_n_axis_location_d4_n5n7_s133_138_20260713_n5_d4_dep4_md576_it729_s136_rg0,source_support_extension,canonical,4,72,64,576,136,729,382205952,524288,16,2048,40,1,L,fsl-x150-n-axis-location-d4-n5n7-s133-138-20260713-n5-d4-dep4-md576-it729-s136-rg0,5,4,x150_n_axis_location_test,4,382205952,524288,Post-target exploratory test of Chinchilla alpha invariance using the same N coordinates at d2 and d4; target losses remain evaluation-only.,controlled_model_dim_same_n_location_test,34799832,34799832.0,0.0,,,same_n_d2_d4_location_test,,1.305337,0,729,382205952,1.0,fixed_same_n_d4_cross,5:4,2:2;2:4;2:5;5:4;7:4,post_target_same_n_location_diagnostic_x150,paired_train_seed,evaluation_only_post_target_exploratory_design,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x150_n_axis_location_d4_n5n7_s133_138_20260713_n7_d4_dep4_md1152_it729_s136_rg0,source_support_extension,canonical,4,72,64,1152,136,729,382205952,524288,16,2048,40,1,L,fsl-x150-n-axis-location-d4-n5n7-s133-138-20260713-n7-d4-dep4-md1152-it729-s136-rg0,7,4,x150_n_axis_location_test,4,382205952,524288,Post-target exploratory test of Chinchilla alpha invariance using the same N coordinates at d2 and d4; target losses remain evaluation-only.,controlled_model_dim_same_n_location_test,101450160,101450160.0,0.0,,,same_n_d2_d4_location_test,,1.305337,0,729,382205952,1.0,fixed_same_n_d4_cross,7:4,2:2;2:4;2:5;5:4;7:4,post_target_same_n_location_diagnostic_x150,paired_train_seed,evaluation_only_post_target_exploratory_design,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x150_n_axis_location_d4_n5n7_s133_138_20260713_n5_d4_dep4_md576_it729_s137_rg0,source_support_extension,canonical,4,72,64,576,137,729,382205952,524288,16,2048,40,1,L,fsl-x150-n-axis-location-d4-n5n7-s133-138-20260713-n5-d4-dep4-md576-it729-s137-rg0,5,4,x150_n_axis_location_test,4,382205952,524288,Post-target exploratory test of Chinchilla alpha invariance using the same N coordinates at d2 and d4; target losses remain evaluation-only.,controlled_model_dim_same_n_location_test,34799832,34799832.0,0.0,,,same_n_d2_d4_location_test,,1.305337,0,729,382205952,1.0,fixed_same_n_d4_cross,5:4,2:2;2:4;2:5;5:4;7:4,post_target_same_n_location_diagnostic_x150,paired_train_seed,evaluation_only_post_target_exploratory_design,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x150_n_axis_location_d4_n5n7_s133_138_20260713_n7_d4_dep4_md1152_it729_s137_rg0,source_support_extension,canonical,4,72,64,1152,137,729,382205952,524288,16,2048,40,1,L,fsl-x150-n-axis-location-d4-n5n7-s133-138-20260713-n7-d4-dep4-md1152-it729-s137-rg0,7,4,x150_n_axis_location_test,4,382205952,524288,Post-target exploratory test of Chinchilla alpha invariance using the same N coordinates at d2 and d4; target losses remain evaluation-only.,controlled_model_dim_same_n_location_test,101450160,101450160.0,0.0,,,same_n_d2_d4_location_test,,1.305337,0,729,382205952,1.0,fixed_same_n_d4_cross,7:4,2:2;2:4;2:5;5:4;7:4,post_target_same_n_location_diagnostic_x150,paired_train_seed,evaluation_only_post_target_exploratory_design,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x150_n_axis_location_d4_n5n7_s133_138_20260713_n5_d4_dep4_md576_it729_s138_rg0,source_support_extension,canonical,4,72,64,576,138,729,382205952,524288,16,2048,40,1,L,fsl-x150-n-axis-location-d4-n5n7-s133-138-20260713-n5-d4-dep4-md576-it729-s138-rg0,5,4,x150_n_axis_location_test,4,382205952,524288,Post-target exploratory test of Chinchilla alpha invariance using the same N coordinates at d2 and d4; target losses remain evaluation-only.,controlled_model_dim_same_n_location_test,34799832,34799832.0,0.0,,,same_n_d2_d4_location_test,,1.305337,0,729,382205952,1.0,fixed_same_n_d4_cross,5:4,2:2;2:4;2:5;5:4;7:4,post_target_same_n_location_diagnostic_x150,paired_train_seed,evaluation_only_post_target_exploratory_design,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
