stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,train_row_group_start,base_num_iterations,D_actual,train_length_multiplier,support_policy,support_point_id,support_keys,delta_support_process_family,delta_support_process_repeats,target_line_referee_usage,roihu_partition_note
fsl_x200_geobridge_cross_s321_332_20260714_0406_n3-d5-dep4-md512-it1094-x1p00-s321-rg0,source_geometric_bridge_cross,canonical,4,72,64,512,321,1094,573571072,524288,16,2048,40,1,L,fsl-x200-geobridge-cross-s321-332-20260714-0406-n3-d5-dep4-md512-it1094-x1p00-s321-rg0,3,5,x200_source_only_geometric_bridge_cross,4,573571072,524288,Source-only one-step geometric D extension of the x200 5x5 grid; the already-open target line remains evaluation-only.,controlled_model_dim_source_only_geometric_bridge,29360320.0,29360320.0,0.0,0.012011081529647815,,x200_source_only_geometric_bridge_cross,5,1.305337,0,1094,573571072,1.0,fixed_source_only_geometric_bridge_5p,3:5,3:3;4:3;5:3;3:4;3:5,x200_source_only_geometric_bridge_cross,paired_train_seed,evaluation_only_retrospective_x200,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x200_geobridge_cross_s321_332_20260714_0406_n5-d3-dep4-md960-it486-x1p00-s321-rg0,source_geometric_bridge_cross,canonical,4,72,64,960,321,486,254803968,524288,16,2048,40,1,L,fsl-x200-geobridge-cross-s321-332-20260714-0406-n5-d3-dep4-md960-it486-x1p00-s321-rg0,5,3,x200_source_only_geometric_bridge_cross,4,254803968,524288,Source-only one-step geometric N extension of the x200 5x5 grid; the already-open target line remains evaluation-only.,controlled_model_dim_source_only_geometric_bridge,75694440.0,75694440.0,0.0,0.012011081529647815,,x200_source_only_geometric_bridge_cross,5,1.305337,0,486,254803968,1.0,fixed_source_only_geometric_bridge_5p,5:3,3:3;4:3;5:3;3:4;3:5,x200_source_only_geometric_bridge_cross,paired_train_seed,evaluation_only_retrospective_x200,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x200_geobridge_cross_s321_332_20260714_0406_n3-d5-dep4-md512-it1094-x1p00-s322-rg0,source_geometric_bridge_cross,canonical,4,72,64,512,322,1094,573571072,524288,16,2048,40,1,L,fsl-x200-geobridge-cross-s321-332-20260714-0406-n3-d5-dep4-md512-it1094-x1p00-s322-rg0,3,5,x200_source_only_geometric_bridge_cross,4,573571072,524288,Source-only one-step geometric D extension of the x200 5x5 grid; the already-open target line remains evaluation-only.,controlled_model_dim_source_only_geometric_bridge,29360320.0,29360320.0,0.0,0.012011081529647815,,x200_source_only_geometric_bridge_cross,5,1.305337,0,1094,573571072,1.0,fixed_source_only_geometric_bridge_5p,3:5,3:3;4:3;5:3;3:4;3:5,x200_source_only_geometric_bridge_cross,paired_train_seed,evaluation_only_retrospective_x200,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x200_geobridge_cross_s321_332_20260714_0406_n5-d3-dep4-md960-it486-x1p00-s322-rg0,source_geometric_bridge_cross,canonical,4,72,64,960,322,486,254803968,524288,16,2048,40,1,L,fsl-x200-geobridge-cross-s321-332-20260714-0406-n5-d3-dep4-md960-it486-x1p00-s322-rg0,5,3,x200_source_only_geometric_bridge_cross,4,254803968,524288,Source-only one-step geometric N extension of the x200 5x5 grid; the already-open target line remains evaluation-only.,controlled_model_dim_source_only_geometric_bridge,75694440.0,75694440.0,0.0,0.012011081529647815,,x200_source_only_geometric_bridge_cross,5,1.305337,0,486,254803968,1.0,fixed_source_only_geometric_bridge_5p,5:3,3:3;4:3;5:3;3:4;3:5,x200_source_only_geometric_bridge_cross,paired_train_seed,evaluation_only_retrospective_x200,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x200_geobridge_cross_s321_332_20260714_0406_n3-d5-dep4-md512-it1094-x1p00-s323-rg0,source_geometric_bridge_cross,canonical,4,72,64,512,323,1094,573571072,524288,16,2048,40,1,L,fsl-x200-geobridge-cross-s321-332-20260714-0406-n3-d5-dep4-md512-it1094-x1p00-s323-rg0,3,5,x200_source_only_geometric_bridge_cross,4,573571072,524288,Source-only one-step geometric D extension of the x200 5x5 grid; the already-open target line remains evaluation-only.,controlled_model_dim_source_only_geometric_bridge,29360320.0,29360320.0,0.0,0.012011081529647815,,x200_source_only_geometric_bridge_cross,5,1.305337,0,1094,573571072,1.0,fixed_source_only_geometric_bridge_5p,3:5,3:3;4:3;5:3;3:4;3:5,x200_source_only_geometric_bridge_cross,paired_train_seed,evaluation_only_retrospective_x200,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x200_geobridge_cross_s321_332_20260714_0406_n5-d3-dep4-md960-it486-x1p00-s323-rg0,source_geometric_bridge_cross,canonical,4,72,64,960,323,486,254803968,524288,16,2048,40,1,L,fsl-x200-geobridge-cross-s321-332-20260714-0406-n5-d3-dep4-md960-it486-x1p00-s323-rg0,5,3,x200_source_only_geometric_bridge_cross,4,254803968,524288,Source-only one-step geometric N extension of the x200 5x5 grid; the already-open target line remains evaluation-only.,controlled_model_dim_source_only_geometric_bridge,75694440.0,75694440.0,0.0,0.012011081529647815,,x200_source_only_geometric_bridge_cross,5,1.305337,0,486,254803968,1.0,fixed_source_only_geometric_bridge_5p,5:3,3:3;4:3;5:3;3:4;3:5,x200_source_only_geometric_bridge_cross,paired_train_seed,evaluation_only_retrospective_x200,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x200_geobridge_cross_s321_332_20260714_0406_n3-d5-dep4-md512-it1094-x1p00-s324-rg0,source_geometric_bridge_cross,canonical,4,72,64,512,324,1094,573571072,524288,16,2048,40,1,L,fsl-x200-geobridge-cross-s321-332-20260714-0406-n3-d5-dep4-md512-it1094-x1p00-s324-rg0,3,5,x200_source_only_geometric_bridge_cross,4,573571072,524288,Source-only one-step geometric D extension of the x200 5x5 grid; the already-open target line remains evaluation-only.,controlled_model_dim_source_only_geometric_bridge,29360320.0,29360320.0,0.0,0.012011081529647815,,x200_source_only_geometric_bridge_cross,5,1.305337,0,1094,573571072,1.0,fixed_source_only_geometric_bridge_5p,3:5,3:3;4:3;5:3;3:4;3:5,x200_source_only_geometric_bridge_cross,paired_train_seed,evaluation_only_retrospective_x200,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x200_geobridge_cross_s321_332_20260714_0406_n5-d3-dep4-md960-it486-x1p00-s324-rg0,source_geometric_bridge_cross,canonical,4,72,64,960,324,486,254803968,524288,16,2048,40,1,L,fsl-x200-geobridge-cross-s321-332-20260714-0406-n5-d3-dep4-md960-it486-x1p00-s324-rg0,5,3,x200_source_only_geometric_bridge_cross,4,254803968,524288,Source-only one-step geometric N extension of the x200 5x5 grid; the already-open target line remains evaluation-only.,controlled_model_dim_source_only_geometric_bridge,75694440.0,75694440.0,0.0,0.012011081529647815,,x200_source_only_geometric_bridge_cross,5,1.305337,0,486,254803968,1.0,fixed_source_only_geometric_bridge_5p,5:3,3:3;4:3;5:3;3:4;3:5,x200_source_only_geometric_bridge_cross,paired_train_seed,evaluation_only_retrospective_x200,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x200_geobridge_cross_s321_332_20260714_0406_n3-d5-dep4-md512-it1094-x1p00-s325-rg0,source_geometric_bridge_cross,canonical,4,72,64,512,325,1094,573571072,524288,16,2048,40,1,L,fsl-x200-geobridge-cross-s321-332-20260714-0406-n3-d5-dep4-md512-it1094-x1p00-s325-rg0,3,5,x200_source_only_geometric_bridge_cross,4,573571072,524288,Source-only one-step geometric D extension of the x200 5x5 grid; the already-open target line remains evaluation-only.,controlled_model_dim_source_only_geometric_bridge,29360320.0,29360320.0,0.0,0.012011081529647815,,x200_source_only_geometric_bridge_cross,5,1.305337,0,1094,573571072,1.0,fixed_source_only_geometric_bridge_5p,3:5,3:3;4:3;5:3;3:4;3:5,x200_source_only_geometric_bridge_cross,paired_train_seed,evaluation_only_retrospective_x200,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x200_geobridge_cross_s321_332_20260714_0406_n5-d3-dep4-md960-it486-x1p00-s325-rg0,source_geometric_bridge_cross,canonical,4,72,64,960,325,486,254803968,524288,16,2048,40,1,L,fsl-x200-geobridge-cross-s321-332-20260714-0406-n5-d3-dep4-md960-it486-x1p00-s325-rg0,5,3,x200_source_only_geometric_bridge_cross,4,254803968,524288,Source-only one-step geometric N extension of the x200 5x5 grid; the already-open target line remains evaluation-only.,controlled_model_dim_source_only_geometric_bridge,75694440.0,75694440.0,0.0,0.012011081529647815,,x200_source_only_geometric_bridge_cross,5,1.305337,0,486,254803968,1.0,fixed_source_only_geometric_bridge_5p,5:3,3:3;4:3;5:3;3:4;3:5,x200_source_only_geometric_bridge_cross,paired_train_seed,evaluation_only_retrospective_x200,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
