stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
fsl_x250_sealed_target_s341_343_20260715_1911_u0_dep4-md1152-it5002-s341,target_line_referee,canonical,4,72,64,1152,341,5002,2622488576,524288,16,2048,40,1,L,fsl-x250-sealed-target-s341-343-20260715-1911-u0-dep4-md1152-it5002-s341,0,0,roihu_target_line_measured_oracle_x250,4,2622488576,524288,"Held-out sealed x250 target-budget-line referee row; not used for estimator fitting, support selection, or calibration.",controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,46.74430312821224,0.00012707583975668513,2622233286.586442,0,5001.513074086079,target_line_oracle
fsl_x250_sealed_target_s341_343_20260715_1911_u1_dep4-md1280-it4381-s341,target_line_referee,canonical,4,72,64,1280,341,4381,2296905728,524288,16,2048,40,1,L,fsl-x250-sealed-target-s341-343-20260715-1911-u1-dep4-md1280-it4381-s341,1,1,roihu_target_line_measured_oracle_x250,4,2296905728,524288,"Held-out sealed x250 target-budget-line referee row; not used for estimator fitting, support selection, or calibration.",controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,46.74430312821224,-0.00010795324523371619,2297095693.2586904,1,4381.362329976445,target_line_oracle
fsl_x250_sealed_target_s341_343_20260715_1911_u2_dep4-md1408-it3880-s341,target_line_referee,canonical,4,72,64,1408,341,3880,2034237440,524288,16,2048,40,1,L,fsl-x250-sealed-target-s341-343-20260715-1911-u2-dep4-md1408-it3880-s341,2,2,roihu_target_line_measured_oracle_x250,4,2034237440,524288,"Held-out sealed x250 target-budget-line referee row; not used for estimator fitting, support selection, or calibration.",controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,46.74430312821224,-0.000141662462539216,2034458218.7896154,2,3880.421102122527,target_line_oracle
fsl_x250_sealed_target_s341_343_20260715_1911_u3_dep4-md1536-it3469-s341,target_line_referee,canonical,4,72,64,1536,341,3469,1818755072,524288,16,2048,40,1,L,fsl-x250-sealed-target-s341-343-20260715-1911-u3-dep4-md1536-it3469-s341,3,3,roihu_target_line_measured_oracle_x250,4,1818755072,524288,"Held-out sealed x250 target-budget-line referee row; not used for estimator fitting, support selection, or calibration.",controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,46.74430312821224,0.00013592066054002316,1818565700.580374,3,3468.6388026816826,target_line_oracle
fsl_x250_sealed_target_s341_343_20260715_1911_u4_dep4-md1664-it3125-s341,target_line_referee,canonical,4,72,64,1664,341,3125,1638400000,524288,16,2048,40,1,L,fsl-x250-sealed-target-s341-343-20260715-1911-u4-dep4-md1664-it3125-s341,4,4,roihu_target_line_measured_oracle_x250,4,1638400000,524288,"Held-out sealed x250 target-budget-line referee row; not used for estimator fitting, support selection, or calibration.",controlled_model_dim_target_line,187433584,187433584,0.0,,1.305337,46.74430312821224,-5.11613584919246e-05,1638464216.6830845,4,3125.122483602685,target_line_oracle
fsl_x250_sealed_target_s341_343_20260715_1911_u5_dep4-md1792-it2835-s341,target_line_referee,canonical,4,72,64,1792,341,2835,1486356480,524288,16,2048,40,1,L,fsl-x250-sealed-target-s341-343-20260715-1911-u5-dep4-md1792-it2835-s341,5,5,roihu_target_line_measured_oracle_x250,4,1486356480,524288,"Held-out sealed x250 target-budget-line referee row; not used for estimator fitting, support selection, or calibration.",controlled_model_dim_target_line,212861600,212861600,0.0,,1.305337,46.74430312821224,3.6631148347510134e-05,1486314769.5598953,5,2834.9204436490922,target_line_oracle
fsl_x250_sealed_target_s341_343_20260715_1911_u6_dep4-md1920-it2587-s341,target_line_referee,canonical,4,72,64,1920,341,2587,1356333056,524288,16,2048,40,1,L,fsl-x250-sealed-target-s341-343-20260715-1911-u6-dep4-md1920-it2587-s341,6,6,roihu_target_line_measured_oracle_x250,4,1356333056,524288,"Held-out sealed x250 target-budget-line referee row; not used for estimator fitting, support selection, or calibration.",controlled_model_dim_target_line,239862480,239862480,0.0,,1.305337,46.74430312821224,-3.4308340076449895e-05,1356368705.1444488,6,2587.0679953469253,target_line_oracle
fsl_x250_sealed_target_s341_343_20260715_1911_u7_dep4-md2048-it2373-s341,target_line_referee,canonical,4,72,64,2048,341,2373,1244135424,524288,16,2048,40,1,L,fsl-x250-sealed-target-s341-343-20260715-1911-u7-dep4-md2048-it2373-s341,7,7,roihu_target_line_measured_oracle_x250,4,1244135424,524288,"Held-out sealed x250 target-budget-line referee row; not used for estimator fitting, support selection, or calibration.",controlled_model_dim_target_line,268436224,268436224,0.0,,1.305337,46.74430312821224,-0.00019462972885264662,1244320942.2174878,7,2373.353847918487,target_line_oracle
fsl_x250_sealed_target_s341_343_20260715_1911_u8_dep4-md2176-it2188-s341,target_line_referee,canonical,4,72,64,2176,341,2188,1147142144,524288,16,2048,40,1,L,fsl-x250-sealed-target-s341-343-20260715-1911-u8-dep4-md2176-it2188-s341,8,8,roihu_target_line_measured_oracle_x250,4,1147142144,524288,"Held-out sealed x250 target-budget-line referee row; not used for estimator fitting, support selection, or calibration.",controlled_model_dim_target_line,298582832,298582832,0.0,,1.305337,46.74430312821224,0.0002889904768892393,1146888204.6258178,8,2187.5156490818363,target_line_oracle
fsl_x250_sealed_target_s341_343_20260715_1911_u9_dep4-md2304-it2025-s341,target_line_referee,canonical,4,72,64,2304,341,2025,1061683200,524288,16,2048,40,1,L,fsl-x250-sealed-target-s341-343-20260715-1911-u9-dep4-md2304-it2025-s341,9,9,roihu_target_line_measured_oracle_x250,4,1061683200,524288,"Held-out sealed x250 target-budget-line referee row; not used for estimator fitting, support selection, or calibration.",controlled_model_dim_target_line,330302304,330302304,0.0,,1.305337,46.74430312821224,0.00019308980090215755,1061526163.8964539,9,2024.700477402599,target_line_oracle
