stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,train_row_group_start,base_num_iterations,D_actual,train_length_multiplier,support_policy,support_point_id,support_keys,delta_support_process_family,delta_support_process_repeats,target_line_referee_usage,roihu_partition_note
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d2-dep4-md960-it324-x1p00-s321-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,321,324,169869312,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d2-dep4-md960-it324-x1p00-s321-rg0,5,2,x250_topdown_n_extension_source,4,169869312,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,324,169869312,1.0,topdown_n135_d234_3x3,5:2,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d4-dep4-md960-it729-x1p00-s321-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,321,729,382205952,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d4-dep4-md960-it729-x1p00-s321-rg0,5,4,x250_topdown_n_extension_source,4,382205952,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,729,382205952,1.0,topdown_n135_d234_3x3,5:4,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d2-dep4-md960-it324-x1p00-s322-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,322,324,169869312,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d2-dep4-md960-it324-x1p00-s322-rg0,5,2,x250_topdown_n_extension_source,4,169869312,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,324,169869312,1.0,topdown_n135_d234_3x3,5:2,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d4-dep4-md960-it729-x1p00-s322-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,322,729,382205952,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d4-dep4-md960-it729-x1p00-s322-rg0,5,4,x250_topdown_n_extension_source,4,382205952,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,729,382205952,1.0,topdown_n135_d234_3x3,5:4,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d2-dep4-md960-it324-x1p00-s323-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,323,324,169869312,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d2-dep4-md960-it324-x1p00-s323-rg0,5,2,x250_topdown_n_extension_source,4,169869312,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,324,169869312,1.0,topdown_n135_d234_3x3,5:2,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d4-dep4-md960-it729-x1p00-s323-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,323,729,382205952,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d4-dep4-md960-it729-x1p00-s323-rg0,5,4,x250_topdown_n_extension_source,4,382205952,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,729,382205952,1.0,topdown_n135_d234_3x3,5:4,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d2-dep4-md960-it324-x1p00-s324-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,324,324,169869312,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d2-dep4-md960-it324-x1p00-s324-rg0,5,2,x250_topdown_n_extension_source,4,169869312,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,324,169869312,1.0,topdown_n135_d234_3x3,5:2,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d4-dep4-md960-it729-x1p00-s324-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,324,729,382205952,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d4-dep4-md960-it729-x1p00-s324-rg0,5,4,x250_topdown_n_extension_source,4,382205952,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,729,382205952,1.0,topdown_n135_d234_3x3,5:4,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d2-dep4-md960-it324-x1p00-s325-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,325,324,169869312,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d2-dep4-md960-it324-x1p00-s325-rg0,5,2,x250_topdown_n_extension_source,4,169869312,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,324,169869312,1.0,topdown_n135_d234_3x3,5:2,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d4-dep4-md960-it729-x1p00-s325-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,325,729,382205952,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d4-dep4-md960-it729-x1p00-s325-rg0,5,4,x250_topdown_n_extension_source,4,382205952,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,729,382205952,1.0,topdown_n135_d234_3x3,5:4,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d2-dep4-md960-it324-x1p00-s326-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,326,324,169869312,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d2-dep4-md960-it324-x1p00-s326-rg0,5,2,x250_topdown_n_extension_source,4,169869312,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,324,169869312,1.0,topdown_n135_d234_3x3,5:2,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d4-dep4-md960-it729-x1p00-s326-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,326,729,382205952,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d4-dep4-md960-it729-x1p00-s326-rg0,5,4,x250_topdown_n_extension_source,4,382205952,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,729,382205952,1.0,topdown_n135_d234_3x3,5:4,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d2-dep4-md960-it324-x1p00-s327-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,327,324,169869312,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d2-dep4-md960-it324-x1p00-s327-rg0,5,2,x250_topdown_n_extension_source,4,169869312,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,324,169869312,1.0,topdown_n135_d234_3x3,5:2,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_x250_topdown_n5d24_s321_332_20260715_1911_n5-d4-dep4-md960-it729-x1p00-s327-rg0,source_x250_topdown_n_extension,canonical,4,72,64,960,327,729,382205952,524288,16,2048,40,1,L,fsl-x250-topdown-n5d24-s321-332-20260715-1911-n5-d4-dep4-md960-it729-x1p00-s327-rg0,5,4,x250_topdown_n_extension_source,4,382205952,524288,Prospective source-only N extension for the sealed x250 support; x250 target-line losses are evaluation-only.,controlled_model_dim_x250_topdown_n_extension,75694440.0,75694440.0,0.0,0.2921661425972475,,x250_topdown_n_extension,,1.305337,0,729,382205952,1.0,topdown_n135_d234_3x3,5:4,1:2;1:3;1:4;3:2;3:3;3:4;5:2;5:3;5:4,x250_topdown_n_extension,paired_train_seed,evaluation_only_prospective_x250,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
