stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u0_dep4-md1152-it5380-s521,target_line_referee,canonical,4,72,64,1152,521,5380,2820669440,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u0-dep4-md1152-it5380-s521,0,0,measured_target_line_oracle_x275,4,2820669440,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,46.83961330801656,-8.85963896664066e-05,2820860892.1765127,0,5380.3651660471205,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u1_dep4-md1280-it4713-s521,target_line_referee,canonical,4,72,64,1280,521,4713,2470969344,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u1-dep4-md1280-it4713-s521,1,1,measured_target_line_oracle_x275,4,2470969344,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,46.83961330801656,-6.634695684937242e-05,2471094940.2735014,1,4713.239555880549,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u2_dep4-md1408-it4174-s521,target_line_referee,canonical,4,72,64,1408,521,4174,2188378112,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u2-dep4-md1408-it4174-s521,2,2,measured_target_line_oracle_x275,4,2188378112,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,46.83961330801656,-0.0001104781022505108,2188563334.737277,2,4174.353284334711,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u3_dep4-md1536-it3731-s521,target_line_referee,canonical,4,72,64,1536,521,3731,1956118528,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u3-dep4-md1536-it3731-s521,3,3,measured_target_line_oracle_x275,4,1956118528,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,46.83961330801656,-0.00013276844054388448,1956317498.8518136,3,3731.379506782176,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u4_dep4-md1664-it3362-s521,target_line_referee,canonical,4,72,64,1664,521,3362,1762656256,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u4-dep4-md1664-it3362-s521,4,4,measured_target_line_oracle_x275,4,1762656256,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,187433584,187433584,0.0,,1.305337,46.83961330801656,6.108022400752589e-05,1762573778.5094507,4,3361.842686671163,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u5_dep4-md1792-it3050-s521,target_line_referee,canonical,4,72,64,1792,521,3050,1599078400,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u5-dep4-md1792-it3050-s521,5,5,measured_target_line_oracle_x275,4,1599078400,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,212861600,212861600,0.0,,1.305337,46.83961330801656,0.0001461336659147605,1598899391.7371001,5,3049.658568834496,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u6_dep4-md1920-it2783-s521,target_line_referee,canonical,4,72,64,1920,521,2783,1459093504,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u6-dep4-md1920-it2783-s521,6,6,measured_target_line_oracle_x275,4,1459093504,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,239862480,239862480,0.0,,1.305337,46.83961330801656,-1.4970800641833648e-05,1459110238.3170602,6,2783.031918176766,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u7_dep4-md2048-it2553-s521,target_line_referee,canonical,4,72,64,2048,521,2553,1338507264,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u7-dep4-md2048-it2553-s521,7,7,measured_target_line_oracle_x275,4,1338507264,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,268436224,268436224,0.0,,1.305337,46.83961330801656,-6.619020952314258e-05,1338575137.9072933,7,2553.1294592042796,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u8_dep4-md2176-it2353-s521,target_line_referee,canonical,4,72,64,2176,521,2353,1233649664,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u8-dep4-md2176-it2353-s521,8,8,measured_target_line_oracle_x275,4,1233649664,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,298582832,298582832,0.0,,1.305337,46.83961330801656,-0.0001189794734770544,1233762114.4070754,8,2353.2144821301945,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u9_dep4-md2304-it2178-s521,target_line_referee,canonical,4,72,64,2304,521,2178,1141899264,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u9-dep4-md2304-it2178-s521,9,9,measured_target_line_oracle_x275,4,1141899264,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,330302304,330302304,0.0,,1.305337,46.83961330801656,-3.9836067543319587e-05,1141934112.83239,9,2178.0664688728143,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u10_dep4-md2432-it2024-s521,target_line_referee,canonical,4,72,64,2432,521,2024,1061158912,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u10-dep4-md2432-it2024-s521,10,10,measured_target_line_oracle_x275,4,1061158912,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,363594640,363594640,0.0,,1.305337,46.83961330801656,0.0002694527880535702,1060939886.018352,10,2023.5822410933533,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u0_dep4-md1152-it5380-s522,target_line_referee,canonical,4,72,64,1152,522,5380,2820669440,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u0-dep4-md1152-it5380-s522,0,0,measured_target_line_oracle_x275,4,2820669440,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,46.83961330801656,-8.85963896664066e-05,2820860892.1765127,0,5380.3651660471205,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u1_dep4-md1280-it4713-s522,target_line_referee,canonical,4,72,64,1280,522,4713,2470969344,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u1-dep4-md1280-it4713-s522,1,1,measured_target_line_oracle_x275,4,2470969344,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,46.83961330801656,-6.634695684937242e-05,2471094940.2735014,1,4713.239555880549,target_line_oracle
fsl_x275_factorial_sealed_target_s521_526_20260717_1717_u2_dep4-md1408-it4174-s522,target_line_referee,canonical,4,72,64,1408,522,4174,2188378112,524288,16,2048,40,1,L,fsl-x275-factorial-sealed-target-s521-526-20260717-1717-u2-dep4-md1408-it4174-s522,2,2,measured_target_line_oracle_x275,4,2188378112,524288,"Held-out sealed x275 target line. These losses are unavailable to source routing, fitting, readout, aggregation, and source-only calibration.",controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,46.83961330801656,-0.0001104781022505108,2188563334.737277,2,4174.353284334711,target_line_oracle
