stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,train_row_group_start,base_num_iterations,D_actual,train_length_multiplier,support_policy,support_point_id,support_keys,delta_support_process_family,delta_support_process_repeats,target_line_referee_usage,roihu_partition_note
roihu_fsl_afd_highd_3x3_completion_s111_116_20260713_n0_d3_dep4_md128_it486_x1p00_s111_rg0,source_delta_support_process_control,canonical,4,72,64,128,111,486,254803968,524288,16,2048,40,1,L,roihu-fsl-afd-highd-3x3-completion-s111-116-20260713-n0-d3-dep4-md128-it486-x1p00-s111-rg0,0,3,roihu_delta_support_process_control,4,254803968,524288,"Complete the missing D3 slice for a source-only high-D 3x3 support using the six frozen-validation seeds. Combined with existing D2/D4 cells, this directly tests whether high data exposure stabilizes N-axis finite differences. Target losses remain sealed.",controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,13,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,0,486,254803968,1.0,highd_middle_slice,0:3,0:3;1:3;2:3,afd_highd_3x3_completion,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_afd_highd_3x3_completion_s111_116_20260713_n0_d3_dep4_md128_it486_x1p00_s112_rg0,source_delta_support_process_control,canonical,4,72,64,128,112,486,254803968,524288,16,2048,40,1,L,roihu-fsl-afd-highd-3x3-completion-s111-116-20260713-n0-d3-dep4-md128-it486-x1p00-s112-rg0,0,3,roihu_delta_support_process_control,4,254803968,524288,"Complete the missing D3 slice for a source-only high-D 3x3 support using the six frozen-validation seeds. Combined with existing D2/D4 cells, this directly tests whether high data exposure stabilizes N-axis finite differences. Target losses remain sealed.",controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,13,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,0,486,254803968,1.0,highd_middle_slice,0:3,0:3;1:3;2:3,afd_highd_3x3_completion,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_afd_highd_3x3_completion_s111_116_20260713_n0_d3_dep4_md128_it486_x1p00_s113_rg0,source_delta_support_process_control,canonical,4,72,64,128,113,486,254803968,524288,16,2048,40,1,L,roihu-fsl-afd-highd-3x3-completion-s111-116-20260713-n0-d3-dep4-md128-it486-x1p00-s113-rg0,0,3,roihu_delta_support_process_control,4,254803968,524288,"Complete the missing D3 slice for a source-only high-D 3x3 support using the six frozen-validation seeds. Combined with existing D2/D4 cells, this directly tests whether high data exposure stabilizes N-axis finite differences. Target losses remain sealed.",controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,13,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,0,486,254803968,1.0,highd_middle_slice,0:3,0:3;1:3;2:3,afd_highd_3x3_completion,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_afd_highd_3x3_completion_s111_116_20260713_n0_d3_dep4_md128_it486_x1p00_s114_rg0,source_delta_support_process_control,canonical,4,72,64,128,114,486,254803968,524288,16,2048,40,1,L,roihu-fsl-afd-highd-3x3-completion-s111-116-20260713-n0-d3-dep4-md128-it486-x1p00-s114-rg0,0,3,roihu_delta_support_process_control,4,254803968,524288,"Complete the missing D3 slice for a source-only high-D 3x3 support using the six frozen-validation seeds. Combined with existing D2/D4 cells, this directly tests whether high data exposure stabilizes N-axis finite differences. Target losses remain sealed.",controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,13,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,0,486,254803968,1.0,highd_middle_slice,0:3,0:3;1:3;2:3,afd_highd_3x3_completion,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_afd_highd_3x3_completion_s111_116_20260713_n0_d3_dep4_md128_it486_x1p00_s115_rg0,source_delta_support_process_control,canonical,4,72,64,128,115,486,254803968,524288,16,2048,40,1,L,roihu-fsl-afd-highd-3x3-completion-s111-116-20260713-n0-d3-dep4-md128-it486-x1p00-s115-rg0,0,3,roihu_delta_support_process_control,4,254803968,524288,"Complete the missing D3 slice for a source-only high-D 3x3 support using the six frozen-validation seeds. Combined with existing D2/D4 cells, this directly tests whether high data exposure stabilizes N-axis finite differences. Target losses remain sealed.",controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,13,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,0,486,254803968,1.0,highd_middle_slice,0:3,0:3;1:3;2:3,afd_highd_3x3_completion,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_afd_highd_3x3_completion_s111_116_20260713_n0_d3_dep4_md128_it486_x1p00_s116_rg0,source_delta_support_process_control,canonical,4,72,64,128,116,486,254803968,524288,16,2048,40,1,L,roihu-fsl-afd-highd-3x3-completion-s111-116-20260713-n0-d3-dep4-md128-it486-x1p00-s116-rg0,0,3,roihu_delta_support_process_control,4,254803968,524288,"Complete the missing D3 slice for a source-only high-D 3x3 support using the six frozen-validation seeds. Combined with existing D2/D4 cells, this directly tests whether high data exposure stabilizes N-axis finite differences. Target losses remain sealed.",controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,13,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,0,486,254803968,1.0,highd_middle_slice,0:3,0:3;1:3;2:3,afd_highd_3x3_completion,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_afd_highd_3x3_completion_s111_116_20260713_n1_d3_dep4_md192_it486_x1p00_s111_rg0,source_delta_support_process_control,canonical,4,72,64,192,111,486,254803968,524288,16,2048,40,1,L,roihu-fsl-afd-highd-3x3-completion-s111-116-20260713-n1-d3-dep4-md192-it486-x1p00-s111-rg0,1,3,roihu_delta_support_process_control,4,254803968,524288,"Complete the missing D3 slice for a source-only high-D 3x3 support using the six frozen-validation seeds. Combined with existing D2/D4 cells, this directly tests whether high data exposure stabilizes N-axis finite differences. Target losses remain sealed.",controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,14,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,0,486,254803968,1.0,highd_middle_slice,1:3,0:3;1:3;2:3,afd_highd_3x3_completion,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_afd_highd_3x3_completion_s111_116_20260713_n1_d3_dep4_md192_it486_x1p00_s112_rg0,source_delta_support_process_control,canonical,4,72,64,192,112,486,254803968,524288,16,2048,40,1,L,roihu-fsl-afd-highd-3x3-completion-s111-116-20260713-n1-d3-dep4-md192-it486-x1p00-s112-rg0,1,3,roihu_delta_support_process_control,4,254803968,524288,"Complete the missing D3 slice for a source-only high-D 3x3 support using the six frozen-validation seeds. Combined with existing D2/D4 cells, this directly tests whether high data exposure stabilizes N-axis finite differences. Target losses remain sealed.",controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,14,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,0,486,254803968,1.0,highd_middle_slice,1:3,0:3;1:3;2:3,afd_highd_3x3_completion,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_afd_highd_3x3_completion_s111_116_20260713_n1_d3_dep4_md192_it486_x1p00_s113_rg0,source_delta_support_process_control,canonical,4,72,64,192,113,486,254803968,524288,16,2048,40,1,L,roihu-fsl-afd-highd-3x3-completion-s111-116-20260713-n1-d3-dep4-md192-it486-x1p00-s113-rg0,1,3,roihu_delta_support_process_control,4,254803968,524288,"Complete the missing D3 slice for a source-only high-D 3x3 support using the six frozen-validation seeds. Combined with existing D2/D4 cells, this directly tests whether high data exposure stabilizes N-axis finite differences. Target losses remain sealed.",controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,14,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,0,486,254803968,1.0,highd_middle_slice,1:3,0:3;1:3;2:3,afd_highd_3x3_completion,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_afd_highd_3x3_completion_s111_116_20260713_n1_d3_dep4_md192_it486_x1p00_s114_rg0,source_delta_support_process_control,canonical,4,72,64,192,114,486,254803968,524288,16,2048,40,1,L,roihu-fsl-afd-highd-3x3-completion-s111-116-20260713-n1-d3-dep4-md192-it486-x1p00-s114-rg0,1,3,roihu_delta_support_process_control,4,254803968,524288,"Complete the missing D3 slice for a source-only high-D 3x3 support using the six frozen-validation seeds. Combined with existing D2/D4 cells, this directly tests whether high data exposure stabilizes N-axis finite differences. Target losses remain sealed.",controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,14,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,0,486,254803968,1.0,highd_middle_slice,1:3,0:3;1:3;2:3,afd_highd_3x3_completion,"train_seed,train_row_group_start,train_length_multiplier",held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
