stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,cell_cost,control_wave_family,control_policy_memberships,control_target_labels,control_selection_sources,control_triplet_anchors,control_wave_point_id
roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n0_d3_dep4_md128_it486_s51,source_control_wave,canonical,4,72,64,128,51,486,254803968,524288,16,2048,40,1,L,roihu-control-wave-hd64-smalln-x30-x22p5-expanded-seed51-52-20260611-1825-n0-d3-dep4-md128-it486-s51,0,3,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,4,254803968,524288,Pre-registered source-cell control wave for support/SNR-guided Delta sampling; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,13,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,4.67982565161665e+17,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,cost_first;random_cost_matched,x22p5_noncenter;x30_right11,template_geometry_cost_only,0:1,0:3
roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n1_d3_dep4_md192_it486_s51,source_control_wave,canonical,4,72,64,192,51,486,254803968,524288,16,2048,40,1,L,roihu-control-wave-hd64-smalln-x30-x22p5-expanded-seed51-52-20260611-1825-n1-d3-dep4-md192-it486-s51,1,3,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,4,254803968,524288,Pre-registered source-cell control wave for support/SNR-guided Delta sampling; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,14,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,7.573923016473274e+17,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,cost_first;random_cost_matched,x22p5_noncenter;x30_right11,template_geometry_cost_only,1:1;1:2,1:3
roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n1_d4_dep4_md192_it729_s51,source_control_wave,canonical,4,72,64,192,51,729,382205952,524288,16,2048,40,1,L,roihu-control-wave-hd64-smalln-x30-x22p5-expanded-seed51-52-20260611-1825-n1-d4-dep4-md192-it729-s51,1,4,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,4,382205952,524288,Pre-registered source-cell control wave for support/SNR-guided Delta sampling; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,22,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,1.2858174707300037e+18,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,cost_first;random_cost_matched,x22p5_noncenter;x30_right11,template_geometry_cost_only,1:0,1:4
roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n2_d1_dep4_md320_it216_s51,source_control_wave,canonical,4,72,64,320,51,216,113246208,524288,16,2048,40,1,L,roihu-control-wave-hd64-smalln-x30-x22p5-expanded-seed51-52-20260611-1825-n2-d1-dep4-md320-it216-s51,2,1,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,4,113246208,524288,Pre-registered source-cell control wave for support/SNR-guided Delta sampling; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,8,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,5.020723104887155e+17,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,cost_first;random_cost_matched,x22p5_noncenter;x30_right11,template_geometry_cost_only,0:1,2:1
roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n2_d2_dep4_md320_it324_s51,source_control_wave,canonical,4,72,64,320,51,324,169869312,524288,16,2048,40,1,L,roihu-control-wave-hd64-smalln-x30-x22p5-expanded-seed51-52-20260611-1825-n2-d2-dep4-md320-it324-s51,2,2,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,4,169869312,524288,Pre-registered source-cell control wave for support/SNR-guided Delta sampling; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,9,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,8.523632297186651e+17,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,cost_first;random_cost_matched,x22p5_noncenter;x30_right11,template_geometry_cost_only,0:2,2:2
roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n2_d3_dep4_md320_it486_s51,source_control_wave,canonical,4,72,64,320,51,486,254803968,524288,16,2048,40,1,L,roihu-control-wave-hd64-smalln-x30-x22p5-expanded-seed51-52-20260611-1825-n2-d3-dep4-md320-it486-s51,2,3,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,4,254803968,524288,Pre-registered source-cell control wave for support/SNR-guided Delta sampling; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,15,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,1.4470486824283116e+18,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,random_cost_matched,x22p5_noncenter;x30_right11,template_geometry_cost_only,2:1,2:3
roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n2_d4_dep4_md320_it729_s51,source_control_wave,canonical,4,72,64,320,51,729,382205952,524288,16,2048,40,1,L,roihu-control-wave-hd64-smalln-x30-x22p5-expanded-seed51-52-20260611-1825-n2-d4-dep4-md320-it729-s51,2,4,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,4,382205952,524288,Pre-registered source-cell control wave for support/SNR-guided Delta sampling; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,23,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,2.456640333967305e+18,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,cost_first;random_cost_matched,x22p5_noncenter;x30_right11,template_geometry_cost_only,2:0,2:4
roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n3_d1_dep4_md512_it216_s51,source_control_wave,canonical,4,72,64,512,51,216,113246208,524288,16,2048,40,1,L,roihu-control-wave-hd64-smalln-x30-x22p5-expanded-seed51-52-20260611-1825-n3-d1-dep4-md512-it216-s51,3,1,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,4,113246208,524288,Pre-registered source-cell control wave for support/SNR-guided Delta sampling; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,11,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,9.571409082407236e+17,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,cost_first;random_cost_matched,x22p5_noncenter;x30_right11,template_geometry_cost_only,1:1,3:1
roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n3_d2_dep4_md512_it324_s51,source_control_wave,canonical,4,72,64,512,51,324,169869312,524288,16,2048,40,1,L,roihu-control-wave-hd64-smalln-x30-x22p5-expanded-seed51-52-20260611-1825-n3-d2-dep4-md512-it324-s51,3,2,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,4,169869312,524288,Pre-registered source-cell control wave for support/SNR-guided Delta sampling; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,12,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,1.6249287180362363e+18,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,cost_first;random_cost_matched,x22p5_noncenter;x30_right11,template_geometry_cost_only,1:2,3:2
roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n4_d1_dep4_md704_it216_s51,source_control_wave,canonical,4,72,64,704,51,216,113246208,524288,16,2048,40,1,L,roihu-control-wave-hd64-smalln-x30-x22p5-expanded-seed51-52-20260611-1825-n4-d1-dep4-md704-it216-s51,4,1,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,4,113246208,524288,Pre-registered source-cell control wave for support/SNR-guided Delta sampling; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504,46858504,0.0,0.162821576719,18,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,1.5275784145868157e+18,control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825,cost_first;random_cost_matched,x22p5_noncenter;x30_right11,template_geometry_cost_only,0:1,4:1
