stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,source_crossed_point_id,source_crossed_campaign_slug,source_crossed_support_plan_id,source_crossed_n_template_stage,source_crossed_d_template_stage,source_crossed_N_scaling,source_crossed_D_actual,target_line_referee_usage
roihu_crossed_source_hd64_targetn_sourced_routeb_seed75_76_nn2_dd0_dep4_md640_it216_s75,source_crossed_support_wave,canonical,4,72,64,640,75,216,113246208,524288,16,2048,40,1,L,roihu-crossed-source-hd64-targetn-sourced-routeb-seed75-76-nn2-dd0-dep4-md640-it216-s75,2,0,source_crossed_support_wave_hd64,4,113246208,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_target_line,40632560.0,40632560.0,0.0,,1.305337,cell0,crossed-source-hd64-targetn-sourced-routeb-seed75-76,manual_cli,roihu_target_line_hd64_x30_right11_seed49_50_u1_dep4_md640_it1987_s49,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d1_dep4_md128_it216_s24,40632560.0,113246208.0,held_out_evaluation_only
roihu_crossed_source_hd64_targetn_sourced_routeb_seed75_76_nn3_dd0_dep4_md768_it216_s75,source_crossed_support_wave,canonical,4,72,64,768,75,216,113246208,524288,16,2048,40,1,L,roihu-crossed-source-hd64-targetn-sourced-routeb-seed75-76-nn3-dd0-dep4-md768-it216-s75,3,0,source_crossed_support_wave_hd64,4,113246208,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_target_line,53477664.0,53477664.0,0.0,,1.305337,cell1,crossed-source-hd64-targetn-sourced-routeb-seed75-76,manual_cli,roihu_target_line_hd64_x30_right11_seed49_50_u2_dep4_md768_it1610_s49,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d1_dep4_md128_it216_s24,53477664.0,113246208.0,held_out_evaluation_only
roihu_crossed_source_hd64_targetn_sourced_routeb_seed75_76_nn4_dd0_dep4_md896_it216_s75,source_crossed_support_wave,canonical,4,72,64,896,75,216,113246208,524288,16,2048,40,1,L,roihu-crossed-source-hd64-targetn-sourced-routeb-seed75-76-nn4-dd0-dep4-md896-it216-s75,4,0,source_crossed_support_wave_hd64,4,113246208,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_target_line,67895632.0,67895632.0,0.0,,1.305337,cell2,crossed-source-hd64-targetn-sourced-routeb-seed75-76,manual_cli,roihu_target_line_hd64_x30_right11_seed49_50_u3_dep4_md896_it1341_s49,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d1_dep4_md128_it216_s24,67895632.0,113246208.0,held_out_evaluation_only
roihu_crossed_source_hd64_targetn_sourced_routeb_seed75_76_nn2_dd1_dep4_md640_it324_s75,source_crossed_support_wave,canonical,4,72,64,640,75,324,169869312,524288,16,2048,40,1,L,roihu-crossed-source-hd64-targetn-sourced-routeb-seed75-76-nn2-dd1-dep4-md640-it324-s75,2,1,source_crossed_support_wave_hd64,4,169869312,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_target_line,40632560.0,40632560.0,0.0,,1.305337,cell5,crossed-source-hd64-targetn-sourced-routeb-seed75-76,manual_cli,roihu_target_line_hd64_x30_right11_seed49_50_u1_dep4_md640_it1987_s49,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d2_dep4_md128_it324_s24,40632560.0,169869312.0,held_out_evaluation_only
roihu_crossed_source_hd64_targetn_sourced_routeb_seed75_76_nn3_dd1_dep4_md768_it324_s75,source_crossed_support_wave,canonical,4,72,64,768,75,324,169869312,524288,16,2048,40,1,L,roihu-crossed-source-hd64-targetn-sourced-routeb-seed75-76-nn3-dd1-dep4-md768-it324-s75,3,1,source_crossed_support_wave_hd64,4,169869312,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_target_line,53477664.0,53477664.0,0.0,,1.305337,cell7,crossed-source-hd64-targetn-sourced-routeb-seed75-76,manual_cli,roihu_target_line_hd64_x30_right11_seed49_50_u2_dep4_md768_it1610_s49,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d2_dep4_md128_it324_s24,53477664.0,169869312.0,held_out_evaluation_only
roihu_crossed_source_hd64_targetn_sourced_routeb_seed75_76_nn1_dd2_dep4_md192_it468_s75,source_crossed_support_wave,canonical,4,72,64,192,75,468,245366784,524288,16,2048,40,1,L,roihu-crossed-source-hd64-targetn-sourced-routeb-seed75-76-nn1-dd2-dep4-md192-it468-s75,1,2,source_crossed_support_wave_hd64,4,245366784,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,1.305337,cell4,crossed-source-hd64-targetn-sourced-routeb-seed75-76,manual_cli,roihu_source_prefix_hd64_smalln_5x5_seed24_n1_d0_dep4_md192_it144_s24,roihu_target_line_hd64_x30_right11_seed49_50_u10_dep4_md2048_it468_s49,8061000.0,245366784.0,held_out_evaluation_only
roihu_crossed_source_hd64_targetn_sourced_routeb_seed75_76_nn0_dd3_dep4_md128_it683_s75,source_crossed_support_wave,canonical,4,72,64,128,75,683,358088704,524288,16,2048,40,1,L,roihu-crossed-source-hd64-targetn-sourced-routeb-seed75-76-nn0-dd3-dep4-md128-it683-s75,0,3,source_crossed_support_wave_hd64,4,358088704,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1.305337,cell3,crossed-source-hd64-targetn-sourced-routeb-seed75-76,manual_cli,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d0_dep4_md128_it144_s24,roihu_target_line_hd64_x30_right11_seed49_50_u8_dep4_md1536_it683_s49,4980784.0,358088704.0,held_out_evaluation_only
roihu_crossed_source_hd64_targetn_sourced_routeb_seed75_76_nn1_dd3_dep4_md192_it683_s75,source_crossed_support_wave,canonical,4,72,64,192,75,683,358088704,524288,16,2048,40,1,L,roihu-crossed-source-hd64-targetn-sourced-routeb-seed75-76-nn1-dd3-dep4-md192-it683-s75,1,3,source_crossed_support_wave_hd64,4,358088704,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,1.305337,cell6,crossed-source-hd64-targetn-sourced-routeb-seed75-76,manual_cli,roihu_source_prefix_hd64_smalln_5x5_seed24_n1_d0_dep4_md192_it144_s24,roihu_target_line_hd64_x30_right11_seed49_50_u8_dep4_md1536_it683_s49,8061000.0,358088704.0,held_out_evaluation_only
roihu_crossed_source_hd64_targetn_sourced_routeb_seed75_76_nn2_dd0_dep4_md640_it216_s76,source_crossed_support_wave,canonical,4,72,64,640,76,216,113246208,524288,16,2048,40,1,L,roihu-crossed-source-hd64-targetn-sourced-routeb-seed75-76-nn2-dd0-dep4-md640-it216-s76,2,0,source_crossed_support_wave_hd64,4,113246208,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_target_line,40632560.0,40632560.0,0.0,,1.305337,cell0,crossed-source-hd64-targetn-sourced-routeb-seed75-76,manual_cli,roihu_target_line_hd64_x30_right11_seed49_50_u1_dep4_md640_it1987_s49,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d1_dep4_md128_it216_s24,40632560.0,113246208.0,held_out_evaluation_only
roihu_crossed_source_hd64_targetn_sourced_routeb_seed75_76_nn3_dd0_dep4_md768_it216_s76,source_crossed_support_wave,canonical,4,72,64,768,76,216,113246208,524288,16,2048,40,1,L,roihu-crossed-source-hd64-targetn-sourced-routeb-seed75-76-nn3-dd0-dep4-md768-it216-s76,3,0,source_crossed_support_wave_hd64,4,113246208,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_target_line,53477664.0,53477664.0,0.0,,1.305337,cell1,crossed-source-hd64-targetn-sourced-routeb-seed75-76,manual_cli,roihu_target_line_hd64_x30_right11_seed49_50_u2_dep4_md768_it1610_s49,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d1_dep4_md128_it216_s24,53477664.0,113246208.0,held_out_evaluation_only
