stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error
low_n_architecture_family_5p_smoke_seed59_60_n0_d0_dep2_md32_it216_s59,smoke,canonical,2,16,32,32,59,216,113246208,524288,16,2048,40,1,L,low-n-architecture-family-5p-smoke-seed59-60-n0-d0-dep2-md32-it216-s59,0,0,roihu_reference_controlled_model_dim_finite_diff_smoke,2,113246208,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,1073164,1073164,0.0,0.18862482125322938
low_n_architecture_family_5p_smoke_seed59_60_n1_d0_dep3_md64_it216_s59,smoke,canonical,3,16,32,64,59,216,113246208,524288,16,2048,40,1,L,low-n-architecture-family-5p-smoke-seed59-60-n1-d0-dep3-md64-it216-s59,1,0,roihu_reference_controlled_model_dim_finite_diff_smoke,3,113246208,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,2244656,2244656,0.0,0.18862482125322938
low_n_architecture_family_5p_smoke_seed59_60_n2_d0_dep6_md96_it216_s59,smoke,canonical,6,16,32,96,59,216,113246208,524288,16,2048,40,1,L,low-n-architecture-family-5p-smoke-seed59-60-n2-d0-dep6-md96-it216-s59,2,0,roihu_reference_controlled_model_dim_finite_diff_smoke,6,113246208,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,3809388,3809388,0.0,0.18862482125322938
low_n_architecture_family_5p_smoke_seed59_60_n0_d1_dep2_md32_it324_s59,smoke,canonical,2,16,32,32,59,324,169869312,524288,16,2048,40,1,L,low-n-architecture-family-5p-smoke-seed59-60-n0-d1-dep2-md32-it324-s59,0,1,roihu_reference_controlled_model_dim_finite_diff_smoke,2,169869312,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,1073164,1073164,0.0,0.18862482125322938
low_n_architecture_family_5p_smoke_seed59_60_n0_d2_dep2_md32_it486_s59,smoke,canonical,2,16,32,32,59,486,254803968,524288,16,2048,40,1,L,low-n-architecture-family-5p-smoke-seed59-60-n0-d2-dep2-md32-it486-s59,0,2,roihu_reference_controlled_model_dim_finite_diff_smoke,2,254803968,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,1073164,1073164,0.0,0.18862482125322938
low_n_architecture_family_5p_smoke_seed59_60_n0_d0_dep2_md32_it216_s60,smoke,canonical,2,16,32,32,60,216,113246208,524288,16,2048,40,1,L,low-n-architecture-family-5p-smoke-seed59-60-n0-d0-dep2-md32-it216-s60,0,0,roihu_reference_controlled_model_dim_finite_diff_smoke,2,113246208,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,1073164,1073164,0.0,0.18862482125322938
low_n_architecture_family_5p_smoke_seed59_60_n1_d0_dep3_md64_it216_s60,smoke,canonical,3,16,32,64,60,216,113246208,524288,16,2048,40,1,L,low-n-architecture-family-5p-smoke-seed59-60-n1-d0-dep3-md64-it216-s60,1,0,roihu_reference_controlled_model_dim_finite_diff_smoke,3,113246208,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,2244656,2244656,0.0,0.18862482125322938
low_n_architecture_family_5p_smoke_seed59_60_n2_d0_dep6_md96_it216_s60,smoke,canonical,6,16,32,96,60,216,113246208,524288,16,2048,40,1,L,low-n-architecture-family-5p-smoke-seed59-60-n2-d0-dep6-md96-it216-s60,2,0,roihu_reference_controlled_model_dim_finite_diff_smoke,6,113246208,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,3809388,3809388,0.0,0.18862482125322938
low_n_architecture_family_5p_smoke_seed59_60_n0_d1_dep2_md32_it324_s60,smoke,canonical,2,16,32,32,60,324,169869312,524288,16,2048,40,1,L,low-n-architecture-family-5p-smoke-seed59-60-n0-d1-dep2-md32-it324-s60,0,1,roihu_reference_controlled_model_dim_finite_diff_smoke,2,169869312,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,1073164,1073164,0.0,0.18862482125322938
low_n_architecture_family_5p_smoke_seed59_60_n0_d2_dep2_md32_it486_s60,smoke,canonical,2,16,32,32,60,486,254803968,524288,16,2048,40,1,L,low-n-architecture-family-5p-smoke-seed59-60-n0-d2-dep2-md32-it486-s60,0,2,roihu_reference_controlled_model_dim_finite_diff_smoke,2,254803968,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,1073164,1073164,0.0,0.18862482125322938
