stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,replicate_source_role,replicate_point_id,replicate_campaign_slug,target_line_referee_usage
roihu_fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315_n0_d0_dep4_md128_it144_s69,source_multisupport_replicate,canonical,4,72,64,128,69,144,75497472,524288,16,2048,40,1,L,roihu-fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315-n0-d0-dep4-md128-it144-s69,0,0,fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315,4,75497472,524288,Source-cell replicate wave for multisupport Delta validation. Rows repeat selected source cells only; measured target-line BPB remains a held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,multisupport_delta_noise_validation,0:0,fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315,excluded_from_fitting
roihu_fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315_n0_d1_dep4_md128_it216_s69,source_multisupport_replicate,canonical,4,72,64,128,69,216,113246208,524288,16,2048,40,1,L,roihu-fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315-n0-d1-dep4-md128-it216-s69,0,1,fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315,4,113246208,524288,Source-cell replicate wave for multisupport Delta validation. Rows repeat selected source cells only; measured target-line BPB remains a held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,multisupport_delta_noise_validation,0:1,fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315,excluded_from_fitting
roihu_fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315_n0_d2_dep4_md128_it324_s69,source_multisupport_replicate,canonical,4,72,64,128,69,324,169869312,524288,16,2048,40,1,L,roihu-fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315-n0-d2-dep4-md128-it324-s69,0,2,fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315,4,169869312,524288,Source-cell replicate wave for multisupport Delta validation. Rows repeat selected source cells only; measured target-line BPB remains a held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,5,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,multisupport_delta_noise_validation,0:2,fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315,excluded_from_fitting
roihu_fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315_n1_d1_dep4_md192_it216_s69,source_multisupport_replicate,canonical,4,72,64,192,69,216,113246208,524288,16,2048,40,1,L,roihu-fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315-n1-d1-dep4-md192-it216-s69,1,1,fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315,4,113246208,524288,Source-cell replicate wave for multisupport Delta validation. Rows repeat selected source cells only; measured target-line BPB remains a held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,6,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,multisupport_delta_noise_validation,1:1,fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315,excluded_from_fitting
roihu_fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315_n1_d2_dep4_md192_it324_s69,source_multisupport_replicate,canonical,4,72,64,192,69,324,169869312,524288,16,2048,40,1,L,roihu-fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315-n1-d2-dep4-md192-it324-s69,1,2,fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315,4,169869312,524288,Source-cell replicate wave for multisupport Delta validation. Rows repeat selected source cells only; measured target-line BPB remains a held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,7,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,multisupport_delta_noise_validation,1:2,fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315,excluded_from_fitting
roihu_fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315_n1_d3_dep4_md192_it486_s69,source_multisupport_replicate,canonical,4,72,64,192,69,486,254803968,524288,16,2048,40,1,L,roihu-fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315-n1-d3-dep4-md192-it486-s69,1,3,fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315,4,254803968,524288,Source-cell replicate wave for multisupport Delta validation. Rows repeat selected source cells only; measured target-line BPB remains a held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,14,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,multisupport_delta_noise_validation,1:3,fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315,excluded_from_fitting
roihu_fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315_n2_d0_dep4_md320_it144_s69,source_multisupport_replicate,canonical,4,72,64,320,69,144,75497472,524288,16,2048,40,1,L,roihu-fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315-n2-d0-dep4-md320-it144-s69,2,0,fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315,4,75497472,524288,Source-cell replicate wave for multisupport Delta validation. Rows repeat selected source cells only; measured target-line BPB remains a held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,3,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,multisupport_delta_noise_validation,2:0,fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315,excluded_from_fitting
roihu_fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315_n2_d1_dep4_md320_it216_s69,source_multisupport_replicate,canonical,4,72,64,320,69,216,113246208,524288,16,2048,40,1,L,roihu-fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315-n2-d1-dep4-md320-it216-s69,2,1,fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315,4,113246208,524288,Source-cell replicate wave for multisupport Delta validation. Rows repeat selected source cells only; measured target-line BPB remains a held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,8,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,multisupport_delta_noise_validation,2:1,fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315,excluded_from_fitting
roihu_fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315_n3_d1_dep4_md512_it216_s69,source_multisupport_replicate,canonical,4,72,64,512,69,216,113246208,524288,16,2048,40,1,L,roihu-fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315-n3-d1-dep4-md512-it216-s69,3,1,fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315,4,113246208,524288,Source-cell replicate wave for multisupport Delta validation. Rows repeat selected source cells only; measured target-line BPB remains a held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,11,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,multisupport_delta_noise_validation,3:1,fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315,excluded_from_fitting
roihu_fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315_n4_d0_dep4_md704_it144_s69,source_multisupport_replicate,canonical,4,72,64,704,69,144,75497472,524288,16,2048,40,1,L,roihu-fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315-n4-d0-dep4-md704-it144-s69,4,0,fsl_multisupport_replicate_hd64_smalln_10cell_seed69_70_20260625_2315,4,75497472,524288,Source-cell replicate wave for multisupport Delta validation. Rows repeat selected source cells only; measured target-line BPB remains a held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504,46858504,0.0,0.162821576719,17,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,multisupport_delta_noise_validation,4:0,fsl-multisupport-replicate-hd64-smalln-10cell-seed69-70-20260625-2315,excluded_from_fitting
