stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,train_row_group_start,n_axis_pilot_family,n_axis_pilot_d_level_role,n_axis_pilot_s_n_values,n_axis_pilot_repeats,n_axis_pilot_cell_key,origin_template_stage,target_line_referee_usage
roihu_fsl_naxis_stability_hd64_smalln_n0to4_d0d2_s77_78_rg0_16_20260626_n0_d0_dep4_md128_it144_s77_rg0,source_n_axis_stability_pilot,canonical,4,72,64,128,77,144,75497472,524288,16,2048,40,1,L,roihu-fsl-naxis-stability-hd64-smalln-n0to4-d0d2-s77-78-rg0-16-20260626-n0-d0-dep4-md128-it144-s77-rg0,0,0,roihu_n_axis_stability_pilot,4,75497472,524288,Controlled source-only pilot for short and long N-axis triplets; target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,controlled_train_seed_row_group_n_axis_triplets,d0,1;2,"train_seed,train_row_group_start",n0_d0_s77_rg0,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d0_dep4_md128_it144_s24,held_out_evaluation_only
roihu_fsl_naxis_stability_hd64_smalln_n0to4_d0d2_s77_78_rg0_16_20260626_n0_d0_dep4_md128_it144_s77_rg16,source_n_axis_stability_pilot,canonical,4,72,64,128,77,144,75497472,524288,16,2048,40,1,L,roihu-fsl-naxis-stability-hd64-smalln-n0to4-d0d2-s77-78-rg0-16-20260626-n0-d0-dep4-md128-it144-s77-rg16,0,0,roihu_n_axis_stability_pilot,4,75497472,524288,Controlled source-only pilot for short and long N-axis triplets; target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,16,controlled_train_seed_row_group_n_axis_triplets,d0,1;2,"train_seed,train_row_group_start",n0_d0_s77_rg16,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d0_dep4_md128_it144_s24,held_out_evaluation_only
roihu_fsl_naxis_stability_hd64_smalln_n0to4_d0d2_s77_78_rg0_16_20260626_n0_d0_dep4_md128_it144_s78_rg0,source_n_axis_stability_pilot,canonical,4,72,64,128,78,144,75497472,524288,16,2048,40,1,L,roihu-fsl-naxis-stability-hd64-smalln-n0to4-d0d2-s77-78-rg0-16-20260626-n0-d0-dep4-md128-it144-s78-rg0,0,0,roihu_n_axis_stability_pilot,4,75497472,524288,Controlled source-only pilot for short and long N-axis triplets; target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,controlled_train_seed_row_group_n_axis_triplets,d0,1;2,"train_seed,train_row_group_start",n0_d0_s78_rg0,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d0_dep4_md128_it144_s24,held_out_evaluation_only
roihu_fsl_naxis_stability_hd64_smalln_n0to4_d0d2_s77_78_rg0_16_20260626_n0_d0_dep4_md128_it144_s78_rg16,source_n_axis_stability_pilot,canonical,4,72,64,128,78,144,75497472,524288,16,2048,40,1,L,roihu-fsl-naxis-stability-hd64-smalln-n0to4-d0d2-s77-78-rg0-16-20260626-n0-d0-dep4-md128-it144-s78-rg16,0,0,roihu_n_axis_stability_pilot,4,75497472,524288,Controlled source-only pilot for short and long N-axis triplets; target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,16,controlled_train_seed_row_group_n_axis_triplets,d0,1;2,"train_seed,train_row_group_start",n0_d0_s78_rg16,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d0_dep4_md128_it144_s24,held_out_evaluation_only
roihu_fsl_naxis_stability_hd64_smalln_n0to4_d0d2_s77_78_rg0_16_20260626_n1_d0_dep4_md192_it144_s77_rg0,source_n_axis_stability_pilot,canonical,4,72,64,192,77,144,75497472,524288,16,2048,40,1,L,roihu-fsl-naxis-stability-hd64-smalln-n0to4-d0d2-s77-78-rg0-16-20260626-n1-d0-dep4-md192-it144-s77-rg0,1,0,roihu_n_axis_stability_pilot,4,75497472,524288,Controlled source-only pilot for short and long N-axis triplets; target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,2,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,controlled_train_seed_row_group_n_axis_triplets,d0,1;2,"train_seed,train_row_group_start",n1_d0_s77_rg0,roihu_source_prefix_hd64_smalln_5x5_seed24_n1_d0_dep4_md192_it144_s24,held_out_evaluation_only
roihu_fsl_naxis_stability_hd64_smalln_n0to4_d0d2_s77_78_rg0_16_20260626_n1_d0_dep4_md192_it144_s77_rg16,source_n_axis_stability_pilot,canonical,4,72,64,192,77,144,75497472,524288,16,2048,40,1,L,roihu-fsl-naxis-stability-hd64-smalln-n0to4-d0d2-s77-78-rg0-16-20260626-n1-d0-dep4-md192-it144-s77-rg16,1,0,roihu_n_axis_stability_pilot,4,75497472,524288,Controlled source-only pilot for short and long N-axis triplets; target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,2,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,16,controlled_train_seed_row_group_n_axis_triplets,d0,1;2,"train_seed,train_row_group_start",n1_d0_s77_rg16,roihu_source_prefix_hd64_smalln_5x5_seed24_n1_d0_dep4_md192_it144_s24,held_out_evaluation_only
roihu_fsl_naxis_stability_hd64_smalln_n0to4_d0d2_s77_78_rg0_16_20260626_n1_d0_dep4_md192_it144_s78_rg0,source_n_axis_stability_pilot,canonical,4,72,64,192,78,144,75497472,524288,16,2048,40,1,L,roihu-fsl-naxis-stability-hd64-smalln-n0to4-d0d2-s77-78-rg0-16-20260626-n1-d0-dep4-md192-it144-s78-rg0,1,0,roihu_n_axis_stability_pilot,4,75497472,524288,Controlled source-only pilot for short and long N-axis triplets; target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,2,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,controlled_train_seed_row_group_n_axis_triplets,d0,1;2,"train_seed,train_row_group_start",n1_d0_s78_rg0,roihu_source_prefix_hd64_smalln_5x5_seed24_n1_d0_dep4_md192_it144_s24,held_out_evaluation_only
roihu_fsl_naxis_stability_hd64_smalln_n0to4_d0d2_s77_78_rg0_16_20260626_n1_d0_dep4_md192_it144_s78_rg16,source_n_axis_stability_pilot,canonical,4,72,64,192,78,144,75497472,524288,16,2048,40,1,L,roihu-fsl-naxis-stability-hd64-smalln-n0to4-d0d2-s77-78-rg0-16-20260626-n1-d0-dep4-md192-it144-s78-rg16,1,0,roihu_n_axis_stability_pilot,4,75497472,524288,Controlled source-only pilot for short and long N-axis triplets; target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,2,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,16,controlled_train_seed_row_group_n_axis_triplets,d0,1;2,"train_seed,train_row_group_start",n1_d0_s78_rg16,roihu_source_prefix_hd64_smalln_5x5_seed24_n1_d0_dep4_md192_it144_s24,held_out_evaluation_only
roihu_fsl_naxis_stability_hd64_smalln_n0to4_d0d2_s77_78_rg0_16_20260626_n2_d0_dep4_md320_it144_s77_rg0,source_n_axis_stability_pilot,canonical,4,72,64,320,77,144,75497472,524288,16,2048,40,1,L,roihu-fsl-naxis-stability-hd64-smalln-n0to4-d0d2-s77-78-rg0-16-20260626-n2-d0-dep4-md320-it144-s77-rg0,2,0,roihu_n_axis_stability_pilot,4,75497472,524288,Controlled source-only pilot for short and long N-axis triplets; target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,15401080.0,15401080.0,0.0,0.162821576719,3,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,0,controlled_train_seed_row_group_n_axis_triplets,d0,1;2,"train_seed,train_row_group_start",n2_d0_s77_rg0,roihu_source_prefix_hd64_smalln_5x5_seed24_n2_d0_dep4_md320_it144_s24,held_out_evaluation_only
roihu_fsl_naxis_stability_hd64_smalln_n0to4_d0d2_s77_78_rg0_16_20260626_n2_d0_dep4_md320_it144_s77_rg16,source_n_axis_stability_pilot,canonical,4,72,64,320,77,144,75497472,524288,16,2048,40,1,L,roihu-fsl-naxis-stability-hd64-smalln-n0to4-d0d2-s77-78-rg0-16-20260626-n2-d0-dep4-md320-it144-s77-rg16,2,0,roihu_n_axis_stability_pilot,4,75497472,524288,Controlled source-only pilot for short and long N-axis triplets; target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,15401080.0,15401080.0,0.0,0.162821576719,3,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,16,controlled_train_seed_row_group_n_axis_triplets,d0,1;2,"train_seed,train_row_group_start",n2_d0_s77_rg16,roihu_source_prefix_hd64_smalln_5x5_seed24_n2_d0_dep4_md320_it144_s24,held_out_evaluation_only
