stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error
roihu_reference_controlled_modeldim_hd64_5p_fd_smoke_seed1_3_n0_d0_dep4_md448_it64_s1,smoke,canonical,4,72,64,448,1,64,33554432,524288,16,2048,40,1,L,roihu-reference-controlled-modeldim-hd64-5p-fd-smoke-seed1-3-n0-d0-dep4-md448-it64-s1,0,0,roihu_reference_controlled_model_dim_finite_diff_smoke,4,33554432,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,24314024,24314024,0.0,0.00011441892556048626
roihu_reference_controlled_modeldim_hd64_5p_fd_smoke_seed1_3_n1_d0_dep4_md640_it64_s1,smoke,canonical,4,72,64,640,1,64,33554432,524288,16,2048,40,1,L,roihu-reference-controlled-modeldim-hd64-5p-fd-smoke-seed1-3-n1-d0-dep4-md640-it64-s1,1,0,roihu_reference_controlled_model_dim_finite_diff_smoke,4,33554432,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,40632560,40632560,0.0,0.00011441892556048626
roihu_reference_controlled_modeldim_hd64_5p_fd_smoke_seed1_3_n2_d0_dep4_md896_it64_s1,smoke,canonical,4,72,64,896,1,64,33554432,524288,16,2048,40,1,L,roihu-reference-controlled-modeldim-hd64-5p-fd-smoke-seed1-3-n2-d0-dep4-md896-it64-s1,2,0,roihu_reference_controlled_model_dim_finite_diff_smoke,4,33554432,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,67895632,67895632,0.0,0.00011441892556048626
roihu_reference_controlled_modeldim_hd64_5p_fd_smoke_seed1_3_n0_d1_dep4_md448_it128_s1,smoke,canonical,4,72,64,448,1,128,67108864,524288,16,2048,40,1,L,roihu-reference-controlled-modeldim-hd64-5p-fd-smoke-seed1-3-n0-d1-dep4-md448-it128-s1,0,1,roihu_reference_controlled_model_dim_finite_diff_smoke,4,67108864,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,24314024,24314024,0.0,0.00011441892556048626
roihu_reference_controlled_modeldim_hd64_5p_fd_smoke_seed1_3_n0_d2_dep4_md448_it256_s1,smoke,canonical,4,72,64,448,1,256,134217728,524288,16,2048,40,1,L,roihu-reference-controlled-modeldim-hd64-5p-fd-smoke-seed1-3-n0-d2-dep4-md448-it256-s1,0,2,roihu_reference_controlled_model_dim_finite_diff_smoke,4,134217728,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,24314024,24314024,0.0,0.00011441892556048626
roihu_reference_controlled_modeldim_hd64_5p_fd_smoke_seed1_3_n0_d0_dep4_md448_it64_s2,smoke,canonical,4,72,64,448,2,64,33554432,524288,16,2048,40,1,L,roihu-reference-controlled-modeldim-hd64-5p-fd-smoke-seed1-3-n0-d0-dep4-md448-it64-s2,0,0,roihu_reference_controlled_model_dim_finite_diff_smoke,4,33554432,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,24314024,24314024,0.0,0.00011441892556048626
roihu_reference_controlled_modeldim_hd64_5p_fd_smoke_seed1_3_n1_d0_dep4_md640_it64_s2,smoke,canonical,4,72,64,640,2,64,33554432,524288,16,2048,40,1,L,roihu-reference-controlled-modeldim-hd64-5p-fd-smoke-seed1-3-n1-d0-dep4-md640-it64-s2,1,0,roihu_reference_controlled_model_dim_finite_diff_smoke,4,33554432,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,40632560,40632560,0.0,0.00011441892556048626
roihu_reference_controlled_modeldim_hd64_5p_fd_smoke_seed1_3_n2_d0_dep4_md896_it64_s2,smoke,canonical,4,72,64,896,2,64,33554432,524288,16,2048,40,1,L,roihu-reference-controlled-modeldim-hd64-5p-fd-smoke-seed1-3-n2-d0-dep4-md896-it64-s2,2,0,roihu_reference_controlled_model_dim_finite_diff_smoke,4,33554432,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,67895632,67895632,0.0,0.00011441892556048626
roihu_reference_controlled_modeldim_hd64_5p_fd_smoke_seed1_3_n0_d1_dep4_md448_it128_s2,smoke,canonical,4,72,64,448,2,128,67108864,524288,16,2048,40,1,L,roihu-reference-controlled-modeldim-hd64-5p-fd-smoke-seed1-3-n0-d1-dep4-md448-it128-s2,0,1,roihu_reference_controlled_model_dim_finite_diff_smoke,4,67108864,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,24314024,24314024,0.0,0.00011441892556048626
roihu_reference_controlled_modeldim_hd64_5p_fd_smoke_seed1_3_n0_d2_dep4_md448_it256_s2,smoke,canonical,4,72,64,448,2,256,134217728,524288,16,2048,40,1,L,roihu-reference-controlled-modeldim-hd64-5p-fd-smoke-seed1-3-n0-d2-dep4-md448-it256-s2,0,2,roihu_reference_controlled_model_dim_finite_diff_smoke,4,134217728,524288,5p finite-difference smoke for controlled model_dim geometry; tests model/data positive and shrinking BPB deltas before any full controlled-modeldim rerun.,controlled_model_dim_geometric,24314024,24314024,0.0,0.00011441892556048626
