stage,split,recipe_band,depth,aspect_ratio,head_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,source_campaign_id,source_stage,source_val_bpb_final,verification_role
roihu_reference_sizeprobe72_depth47_finalverify_seed6_10_n1_d2_dep4_it256_s6,final_verify,canonical,4,72,128,6,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-depth47-finalverify-seed6-10-n1-d2-dep4-it256-s6,1,2,roihu_reference_sizeprobe72_depth47_final_verification,4,134217728,524288,Seed-extension final verification for depth-4/depth-7 same-data contenders; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,roihu_reference_sizeprobe72_3x3_seed0_n1_d2_dep4_it256_s0,1.164156,observed_best
roihu_reference_sizeprobe72_depth47_finalverify_seed6_10_n2_d2_dep7_it256_s6,final_verify,canonical,7,72,128,6,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-depth47-finalverify-seed6-10-n2-d2-dep7-it256-s6,2,2,roihu_reference_sizeprobe72_depth47_final_verification,7,134217728,524288,Seed-extension final verification for depth-4/depth-7 same-data contenders; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,roihu_reference_sizeprobe72_3x3_seed0_n2_d2_dep7_it256_s0,1.192878,same_data_competitor
roihu_reference_sizeprobe72_depth47_finalverify_seed6_10_n1_d2_dep4_it256_s7,final_verify,canonical,4,72,128,7,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-depth47-finalverify-seed6-10-n1-d2-dep4-it256-s7,1,2,roihu_reference_sizeprobe72_depth47_final_verification,4,134217728,524288,Seed-extension final verification for depth-4/depth-7 same-data contenders; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,roihu_reference_sizeprobe72_3x3_seed0_n1_d2_dep4_it256_s0,1.164156,observed_best
roihu_reference_sizeprobe72_depth47_finalverify_seed6_10_n2_d2_dep7_it256_s7,final_verify,canonical,7,72,128,7,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-depth47-finalverify-seed6-10-n2-d2-dep7-it256-s7,2,2,roihu_reference_sizeprobe72_depth47_final_verification,7,134217728,524288,Seed-extension final verification for depth-4/depth-7 same-data contenders; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,roihu_reference_sizeprobe72_3x3_seed0_n2_d2_dep7_it256_s0,1.192878,same_data_competitor
roihu_reference_sizeprobe72_depth47_finalverify_seed6_10_n1_d2_dep4_it256_s8,final_verify,canonical,4,72,128,8,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-depth47-finalverify-seed6-10-n1-d2-dep4-it256-s8,1,2,roihu_reference_sizeprobe72_depth47_final_verification,4,134217728,524288,Seed-extension final verification for depth-4/depth-7 same-data contenders; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,roihu_reference_sizeprobe72_3x3_seed0_n1_d2_dep4_it256_s0,1.164156,observed_best
roihu_reference_sizeprobe72_depth47_finalverify_seed6_10_n2_d2_dep7_it256_s8,final_verify,canonical,7,72,128,8,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-depth47-finalverify-seed6-10-n2-d2-dep7-it256-s8,2,2,roihu_reference_sizeprobe72_depth47_final_verification,7,134217728,524288,Seed-extension final verification for depth-4/depth-7 same-data contenders; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,roihu_reference_sizeprobe72_3x3_seed0_n2_d2_dep7_it256_s0,1.192878,same_data_competitor
roihu_reference_sizeprobe72_depth47_finalverify_seed6_10_n1_d2_dep4_it256_s9,final_verify,canonical,4,72,128,9,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-depth47-finalverify-seed6-10-n1-d2-dep4-it256-s9,1,2,roihu_reference_sizeprobe72_depth47_final_verification,4,134217728,524288,Seed-extension final verification for depth-4/depth-7 same-data contenders; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,roihu_reference_sizeprobe72_3x3_seed0_n1_d2_dep4_it256_s0,1.164156,observed_best
roihu_reference_sizeprobe72_depth47_finalverify_seed6_10_n2_d2_dep7_it256_s9,final_verify,canonical,7,72,128,9,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-depth47-finalverify-seed6-10-n2-d2-dep7-it256-s9,2,2,roihu_reference_sizeprobe72_depth47_final_verification,7,134217728,524288,Seed-extension final verification for depth-4/depth-7 same-data contenders; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,roihu_reference_sizeprobe72_3x3_seed0_n2_d2_dep7_it256_s0,1.192878,same_data_competitor
roihu_reference_sizeprobe72_depth47_finalverify_seed6_10_n1_d2_dep4_it256_s10,final_verify,canonical,4,72,128,10,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-depth47-finalverify-seed6-10-n1-d2-dep4-it256-s10,1,2,roihu_reference_sizeprobe72_depth47_final_verification,4,134217728,524288,Seed-extension final verification for depth-4/depth-7 same-data contenders; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,roihu_reference_sizeprobe72_3x3_seed0_n1_d2_dep4_it256_s0,1.164156,observed_best
roihu_reference_sizeprobe72_depth47_finalverify_seed6_10_n2_d2_dep7_it256_s10,final_verify,canonical,7,72,128,10,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-depth47-finalverify-seed6-10-n2-d2-dep7-it256-s10,2,2,roihu_reference_sizeprobe72_depth47_final_verification,7,134217728,524288,Seed-extension final verification for depth-4/depth-7 same-data contenders; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,roihu_reference_sizeprobe72_3x3_seed0_n2_d2_dep7_it256_s0,1.192878,same_data_competitor
