stage,split,recipe_band,depth,aspect_ratio,head_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,replicate_source_campaign_id,replicate_source_seed,replicate_source_stage,replicate_source_val_bpb_final
roihu_reference_sizeprobe72_source_replicate_seed11_12_n0_d0_dep2_it64_s11,reference,canonical,2,72,128,11,64,33554432,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-source-replicate-seed11-12-n0-d0-dep2-it64-s11,0,0,roihu_reference_sizeprobe72_replicated_source_grid,2,33554432,524288,Replicated source-surface grid for cell-mean strict-gate and Delta-Ensemble eligibility checks; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,0,roihu_reference_sizeprobe72_3x3_seed0_n0_d0_dep2_it64_s0,1.674092
roihu_reference_sizeprobe72_source_replicate_seed11_12_n0_d1_dep2_it128_s11,reference,canonical,2,72,128,11,128,67108864,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-source-replicate-seed11-12-n0-d1-dep2-it128-s11,0,1,roihu_reference_sizeprobe72_replicated_source_grid,2,67108864,524288,Replicated source-surface grid for cell-mean strict-gate and Delta-Ensemble eligibility checks; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,0,roihu_reference_sizeprobe72_3x3_seed0_n0_d1_dep2_it128_s0,1.402284
roihu_reference_sizeprobe72_source_replicate_seed11_12_n0_d2_dep2_it256_s11,reference,canonical,2,72,128,11,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-source-replicate-seed11-12-n0-d2-dep2-it256-s11,0,2,roihu_reference_sizeprobe72_replicated_source_grid,2,134217728,524288,Replicated source-surface grid for cell-mean strict-gate and Delta-Ensemble eligibility checks; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,0,roihu_reference_sizeprobe72_3x3_seed0_n0_d2_dep2_it256_s0,1.228374
roihu_reference_sizeprobe72_source_replicate_seed11_12_n1_d0_dep4_it64_s11,reference,canonical,4,72,128,11,64,33554432,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-source-replicate-seed11-12-n1-d0-dep4-it64-s11,1,0,roihu_reference_sizeprobe72_replicated_source_grid,4,33554432,524288,Replicated source-surface grid for cell-mean strict-gate and Delta-Ensemble eligibility checks; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,0,roihu_reference_sizeprobe72_3x3_seed0_n1_d0_dep4_it64_s0,1.665207
roihu_reference_sizeprobe72_source_replicate_seed11_12_n1_d1_dep4_it128_s11,reference,canonical,4,72,128,11,128,67108864,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-source-replicate-seed11-12-n1-d1-dep4-it128-s11,1,1,roihu_reference_sizeprobe72_replicated_source_grid,4,67108864,524288,Replicated source-surface grid for cell-mean strict-gate and Delta-Ensemble eligibility checks; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,0,roihu_reference_sizeprobe72_3x3_seed0_n1_d1_dep4_it128_s0,1.426474
roihu_reference_sizeprobe72_source_replicate_seed11_12_n1_d2_dep4_it256_s11,reference,canonical,4,72,128,11,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-source-replicate-seed11-12-n1-d2-dep4-it256-s11,1,2,roihu_reference_sizeprobe72_replicated_source_grid,4,134217728,524288,Replicated source-surface grid for cell-mean strict-gate and Delta-Ensemble eligibility checks; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,0,roihu_reference_sizeprobe72_3x3_seed0_n1_d2_dep4_it256_s0,1.164156
roihu_reference_sizeprobe72_source_replicate_seed11_12_n2_d0_dep7_it64_s11,reference,canonical,7,72,128,11,64,33554432,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-source-replicate-seed11-12-n2-d0-dep7-it64-s11,2,0,roihu_reference_sizeprobe72_replicated_source_grid,7,33554432,524288,Replicated source-surface grid for cell-mean strict-gate and Delta-Ensemble eligibility checks; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,0,roihu_reference_sizeprobe72_3x3_seed0_n2_d0_dep7_it64_s0,1.692586
roihu_reference_sizeprobe72_source_replicate_seed11_12_n2_d1_dep7_it128_s11,reference,canonical,7,72,128,11,128,67108864,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-source-replicate-seed11-12-n2-d1-dep7-it128-s11,2,1,roihu_reference_sizeprobe72_replicated_source_grid,7,67108864,524288,Replicated source-surface grid for cell-mean strict-gate and Delta-Ensemble eligibility checks; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,0,roihu_reference_sizeprobe72_3x3_seed0_n2_d1_dep7_it128_s0,1.479087
roihu_reference_sizeprobe72_source_replicate_seed11_12_n2_d2_dep7_it256_s11,reference,canonical,7,72,128,11,256,134217728,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-source-replicate-seed11-12-n2-d2-dep7-it256-s11,2,2,roihu_reference_sizeprobe72_replicated_source_grid,7,134217728,524288,Replicated source-surface grid for cell-mean strict-gate and Delta-Ensemble eligibility checks; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,0,roihu_reference_sizeprobe72_3x3_seed0_n2_d2_dep7_it256_s0,1.192878
roihu_reference_sizeprobe72_source_replicate_seed11_12_n0_d0_dep2_it64_s12,reference,canonical,2,72,128,12,64,33554432,524288,16,2048,40,1,L,roihu-reference-sizeprobe72-source-replicate-seed11-12-n0-d0-dep2-it64-s12,0,0,roihu_reference_sizeprobe72_replicated_source_grid,2,33554432,524288,Replicated source-surface grid for cell-mean strict-gate and Delta-Ensemble eligibility checks; held-out BPB remains the referee.,fsl-sizeprobe72-3x3-seq-20260521-2048,0,roihu_reference_sizeprobe72_3x3_seed0_n0_d0_dep2_it64_s0,1.674092
