stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b
roihu_source_prefix_hd32_optgeo_5x5_seed26_n0_d0_dep4_md224_it144_s26,source_prefix,canonical,4,72,32,224,26,144,75497472,524288,16,2048,40,1,L,roihu-source-prefix-hd32-optgeo-5x5-seed26-n0-d0-dep4-md224-it144-s26,0,0,roihu_source_prefix_hd32_optgeo_5x5_all_window_sweep,4,75497472,524288,Nested 5x5 Roihu opt-centered source-prefix grid with head_dim=32; improves N geometry while covering the measured target-line optimum from both sides.,controlled_model_dim_source_prefix_hd32_optgeo_5x5,9748648,9748648,0.0,0.035321981214947756,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd32_optgeo_5x5_seed26_n1_d0_dep4_md320_it144_s26,source_prefix,canonical,4,72,32,320,26,144,75497472,524288,16,2048,40,1,L,roihu-source-prefix-hd32-optgeo-5x5-seed26-n1-d0-dep4-md320-it144-s26,1,0,roihu_source_prefix_hd32_optgeo_5x5_all_window_sweep,4,75497472,524288,Nested 5x5 Roihu opt-centered source-prefix grid with head_dim=32; improves N geometry while covering the measured target-line optimum from both sides.,controlled_model_dim_source_prefix_hd32_optgeo_5x5,15401200,15401200,0.0,0.035321981214947756,2,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd32_optgeo_5x5_seed26_n2_d0_dep4_md448_it144_s26,source_prefix,canonical,4,72,32,448,26,144,75497472,524288,16,2048,40,1,L,roihu-source-prefix-hd32-optgeo-5x5-seed26-n2-d0-dep4-md448-it144-s26,2,0,roihu_source_prefix_hd32_optgeo_5x5_all_window_sweep,4,75497472,524288,Nested 5x5 Roihu opt-centered source-prefix grid with head_dim=32; improves N geometry while covering the measured target-line optimum from both sides.,controlled_model_dim_source_prefix_hd32_optgeo_5x5,24314192,24314192,0.0,0.035321981214947756,3,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd32_optgeo_5x5_seed26_n0_d1_dep4_md224_it216_s26,source_prefix,canonical,4,72,32,224,26,216,113246208,524288,16,2048,40,1,L,roihu-source-prefix-hd32-optgeo-5x5-seed26-n0-d1-dep4-md224-it216-s26,0,1,roihu_source_prefix_hd32_optgeo_5x5_all_window_sweep,4,113246208,524288,Nested 5x5 Roihu opt-centered source-prefix grid with head_dim=32; improves N geometry while covering the measured target-line optimum from both sides.,controlled_model_dim_source_prefix_hd32_optgeo_5x5,9748648,9748648,0.0,0.035321981214947756,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd32_optgeo_5x5_seed26_n0_d2_dep4_md224_it324_s26,source_prefix,canonical,4,72,32,224,26,324,169869312,524288,16,2048,40,1,L,roihu-source-prefix-hd32-optgeo-5x5-seed26-n0-d2-dep4-md224-it324-s26,0,2,roihu_source_prefix_hd32_optgeo_5x5_all_window_sweep,4,169869312,524288,Nested 5x5 Roihu opt-centered source-prefix grid with head_dim=32; improves N geometry while covering the measured target-line optimum from both sides.,controlled_model_dim_source_prefix_hd32_optgeo_5x5,9748648,9748648,0.0,0.035321981214947756,5,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd32_optgeo_5x5_seed26_n1_d1_dep4_md320_it216_s26,source_prefix,canonical,4,72,32,320,26,216,113246208,524288,16,2048,40,1,L,roihu-source-prefix-hd32-optgeo-5x5-seed26-n1-d1-dep4-md320-it216-s26,1,1,roihu_source_prefix_hd32_optgeo_5x5_all_window_sweep,4,113246208,524288,Nested 5x5 Roihu opt-centered source-prefix grid with head_dim=32; improves N geometry while covering the measured target-line optimum from both sides.,controlled_model_dim_source_prefix_hd32_optgeo_5x5,15401200,15401200,0.0,0.035321981214947756,6,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337
roihu_source_prefix_hd32_optgeo_5x5_seed26_n1_d2_dep4_md320_it324_s26,source_prefix,canonical,4,72,32,320,26,324,169869312,524288,16,2048,40,1,L,roihu-source-prefix-hd32-optgeo-5x5-seed26-n1-d2-dep4-md320-it324-s26,1,2,roihu_source_prefix_hd32_optgeo_5x5_all_window_sweep,4,169869312,524288,Nested 5x5 Roihu opt-centered source-prefix grid with head_dim=32; improves N geometry while covering the measured target-line optimum from both sides.,controlled_model_dim_source_prefix_hd32_optgeo_5x5,15401200,15401200,0.0,0.035321981214947756,7,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337
roihu_source_prefix_hd32_optgeo_5x5_seed26_n2_d1_dep4_md448_it216_s26,source_prefix,canonical,4,72,32,448,26,216,113246208,524288,16,2048,40,1,L,roihu-source-prefix-hd32-optgeo-5x5-seed26-n2-d1-dep4-md448-it216-s26,2,1,roihu_source_prefix_hd32_optgeo_5x5_all_window_sweep,4,113246208,524288,Nested 5x5 Roihu opt-centered source-prefix grid with head_dim=32; improves N geometry while covering the measured target-line optimum from both sides.,controlled_model_dim_source_prefix_hd32_optgeo_5x5,24314192,24314192,0.0,0.035321981214947756,8,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337
roihu_source_prefix_hd32_optgeo_5x5_seed26_n2_d2_dep4_md448_it324_s26,source_prefix,canonical,4,72,32,448,26,324,169869312,524288,16,2048,40,1,L,roihu-source-prefix-hd32-optgeo-5x5-seed26-n2-d2-dep4-md448-it324-s26,2,2,roihu_source_prefix_hd32_optgeo_5x5_all_window_sweep,4,169869312,524288,Nested 5x5 Roihu opt-centered source-prefix grid with head_dim=32; improves N geometry while covering the measured target-line optimum from both sides.,controlled_model_dim_source_prefix_hd32_optgeo_5x5,24314192,24314192,0.0,0.035321981214947756,9,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337
roihu_source_prefix_hd32_optgeo_5x5_seed26_n3_d0_dep4_md608_it144_s26,source_prefix,canonical,4,72,32,608,26,144,75497472,524288,16,2048,40,1,L,roihu-source-prefix-hd32-optgeo-5x5-seed26-n3-d0-dep4-md608-it144-s26,3,0,roihu_source_prefix_hd32_optgeo_5x5_all_window_sweep,4,75497472,524288,Nested 5x5 Roihu opt-centered source-prefix grid with head_dim=32; improves N geometry while covering the measured target-line optimum from both sides.,controlled_model_dim_source_prefix_hd32_optgeo_5x5,37667272,37667272,0.0,0.035321981214947756,10,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337
