stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b
roihu_source_prefix_hd64_5x5_seed23_n0_d0_dep4_md320_it144_s22,source_prefix,canonical,4,72,64,320,23,144,75497472,524288,16,2048,40,1,L,roihu-source-prefix-hd64-5x5-seed23-n0-d0-dep4-md320-it144-s22,0,0,roihu_source_prefix_hd64_5x5_all_window_sweep,4,75497472,524288,Nested 5x5 Roihu source-prefix grid for Chinchilla and Farseer all-window/full-sweep curves; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_5x5,15401080,15401080,0.0,0.0553121712765118,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd64_5x5_seed23_n1_d0_dep4_md448_it144_s22,source_prefix,canonical,4,72,64,448,23,144,75497472,524288,16,2048,40,1,L,roihu-source-prefix-hd64-5x5-seed23-n1-d0-dep4-md448-it144-s22,1,0,roihu_source_prefix_hd64_5x5_all_window_sweep,4,75497472,524288,Nested 5x5 Roihu source-prefix grid for Chinchilla and Farseer all-window/full-sweep curves; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_5x5,24314024,24314024,0.0,0.0553121712765118,2,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd64_5x5_seed23_n2_d0_dep4_md640_it144_s22,source_prefix,canonical,4,72,64,640,23,144,75497472,524288,16,2048,40,1,L,roihu-source-prefix-hd64-5x5-seed23-n2-d0-dep4-md640-it144-s22,2,0,roihu_source_prefix_hd64_5x5_all_window_sweep,4,75497472,524288,Nested 5x5 Roihu source-prefix grid for Chinchilla and Farseer all-window/full-sweep curves; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_5x5,40632560,40632560,0.0,0.0553121712765118,3,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd64_5x5_seed23_n0_d1_dep4_md320_it216_s22,source_prefix,canonical,4,72,64,320,23,216,113246208,524288,16,2048,40,1,L,roihu-source-prefix-hd64-5x5-seed23-n0-d1-dep4-md320-it216-s22,0,1,roihu_source_prefix_hd64_5x5_all_window_sweep,4,113246208,524288,Nested 5x5 Roihu source-prefix grid for Chinchilla and Farseer all-window/full-sweep curves; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_5x5,15401080,15401080,0.0,0.0553121712765118,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd64_5x5_seed23_n0_d2_dep4_md320_it324_s22,source_prefix,canonical,4,72,64,320,23,324,169869312,524288,16,2048,40,1,L,roihu-source-prefix-hd64-5x5-seed23-n0-d2-dep4-md320-it324-s22,0,2,roihu_source_prefix_hd64_5x5_all_window_sweep,4,169869312,524288,Nested 5x5 Roihu source-prefix grid for Chinchilla and Farseer all-window/full-sweep curves; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_5x5,15401080,15401080,0.0,0.0553121712765118,5,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd64_5x5_seed23_n1_d1_dep4_md448_it216_s22,source_prefix,canonical,4,72,64,448,23,216,113246208,524288,16,2048,40,1,L,roihu-source-prefix-hd64-5x5-seed23-n1-d1-dep4-md448-it216-s22,1,1,roihu_source_prefix_hd64_5x5_all_window_sweep,4,113246208,524288,Nested 5x5 Roihu source-prefix grid for Chinchilla and Farseer all-window/full-sweep curves; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_5x5,24314024,24314024,0.0,0.0553121712765118,6,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337
roihu_source_prefix_hd64_5x5_seed23_n1_d2_dep4_md448_it324_s22,source_prefix,canonical,4,72,64,448,23,324,169869312,524288,16,2048,40,1,L,roihu-source-prefix-hd64-5x5-seed23-n1-d2-dep4-md448-it324-s22,1,2,roihu_source_prefix_hd64_5x5_all_window_sweep,4,169869312,524288,Nested 5x5 Roihu source-prefix grid for Chinchilla and Farseer all-window/full-sweep curves; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_5x5,24314024,24314024,0.0,0.0553121712765118,7,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337
roihu_source_prefix_hd64_5x5_seed23_n2_d1_dep4_md640_it216_s22,source_prefix,canonical,4,72,64,640,23,216,113246208,524288,16,2048,40,1,L,roihu-source-prefix-hd64-5x5-seed23-n2-d1-dep4-md640-it216-s22,2,1,roihu_source_prefix_hd64_5x5_all_window_sweep,4,113246208,524288,Nested 5x5 Roihu source-prefix grid for Chinchilla and Farseer all-window/full-sweep curves; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_5x5,40632560,40632560,0.0,0.0553121712765118,8,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337
roihu_source_prefix_hd64_5x5_seed23_n2_d2_dep4_md640_it324_s22,source_prefix,canonical,4,72,64,640,23,324,169869312,524288,16,2048,40,1,L,roihu-source-prefix-hd64-5x5-seed23-n2-d2-dep4-md640-it324-s22,2,2,roihu_source_prefix_hd64_5x5_all_window_sweep,4,169869312,524288,Nested 5x5 Roihu source-prefix grid for Chinchilla and Farseer all-window/full-sweep curves; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_5x5,40632560,40632560,0.0,0.0553121712765118,9,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337
roihu_source_prefix_hd64_5x5_seed23_n3_d0_dep4_md896_it144_s22,source_prefix,canonical,4,72,64,896,23,144,75497472,524288,16,2048,40,1,L,roihu-source-prefix-hd64-5x5-seed23-n3-d0-dep4-md896-it144-s22,3,0,roihu_source_prefix_hd64_5x5_all_window_sweep,4,75497472,524288,Nested 5x5 Roihu source-prefix grid for Chinchilla and Farseer all-window/full-sweep curves; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_5x5,67895632,67895632,0.0,0.0553121712765118,10,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337
