stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b
roihu_source_prefix_hd64_smalln_5x5_seed25_n0_d0_dep4_md128_it144_s25,source_prefix,canonical,4,72,64,128,25,144,75497472,524288,16,2048,40,1,L,roihu-source-prefix-hd64-smalln-5x5-seed25-n0-d0-dep4-md128-it144-s25,0,0,roihu_source_prefix_hd64_smalln_5x5_all_window_sweep,4,75497472,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd64_smalln_5x5_seed25_n1_d0_dep4_md192_it144_s25,source_prefix,canonical,4,72,64,192,25,144,75497472,524288,16,2048,40,1,L,roihu-source-prefix-hd64-smalln-5x5-seed25-n1-d0-dep4-md192-it144-s25,1,0,roihu_source_prefix_hd64_smalln_5x5_all_window_sweep,4,75497472,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,2,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd64_smalln_5x5_seed25_n2_d0_dep4_md320_it144_s25,source_prefix,canonical,4,72,64,320,25,144,75497472,524288,16,2048,40,1,L,roihu-source-prefix-hd64-smalln-5x5-seed25-n2-d0-dep4-md320-it144-s25,2,0,roihu_source_prefix_hd64_smalln_5x5_all_window_sweep,4,75497472,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,3,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd64_smalln_5x5_seed25_n0_d1_dep4_md128_it216_s25,source_prefix,canonical,4,72,64,128,25,216,113246208,524288,16,2048,40,1,L,roihu-source-prefix-hd64-smalln-5x5-seed25-n0-d1-dep4-md128-it216-s25,0,1,roihu_source_prefix_hd64_smalln_5x5_all_window_sweep,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd64_smalln_5x5_seed25_n0_d2_dep4_md128_it324_s25,source_prefix,canonical,4,72,64,128,25,324,169869312,524288,16,2048,40,1,L,roihu-source-prefix-hd64-smalln-5x5-seed25-n0-d2-dep4-md128-it324-s25,0,2,roihu_source_prefix_hd64_smalln_5x5_all_window_sweep,4,169869312,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,5,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337
roihu_source_prefix_hd64_smalln_5x5_seed25_n1_d1_dep4_md192_it216_s25,source_prefix,canonical,4,72,64,192,25,216,113246208,524288,16,2048,40,1,L,roihu-source-prefix-hd64-smalln-5x5-seed25-n1-d1-dep4-md192-it216-s25,1,1,roihu_source_prefix_hd64_smalln_5x5_all_window_sweep,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,6,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337
roihu_source_prefix_hd64_smalln_5x5_seed25_n1_d2_dep4_md192_it324_s25,source_prefix,canonical,4,72,64,192,25,324,169869312,524288,16,2048,40,1,L,roihu-source-prefix-hd64-smalln-5x5-seed25-n1-d2-dep4-md192-it324-s25,1,2,roihu_source_prefix_hd64_smalln_5x5_all_window_sweep,4,169869312,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,7,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337
roihu_source_prefix_hd64_smalln_5x5_seed25_n2_d1_dep4_md320_it216_s25,source_prefix,canonical,4,72,64,320,25,216,113246208,524288,16,2048,40,1,L,roihu-source-prefix-hd64-smalln-5x5-seed25-n2-d1-dep4-md320-it216-s25,2,1,roihu_source_prefix_hd64_smalln_5x5_all_window_sweep,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,8,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337
roihu_source_prefix_hd64_smalln_5x5_seed25_n2_d2_dep4_md320_it324_s25,source_prefix,canonical,4,72,64,320,25,324,169869312,524288,16,2048,40,1,L,roihu-source-prefix-hd64-smalln-5x5-seed25-n2-d2-dep4-md320-it324-s25,2,2,roihu_source_prefix_hd64_smalln_5x5_all_window_sweep,4,169869312,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,9,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337
roihu_source_prefix_hd64_smalln_5x5_seed25_n3_d0_dep4_md512_it144_s25,source_prefix,canonical,4,72,64,512,25,144,75497472,524288,16,2048,40,1,L,roihu-source-prefix-hd64-smalln-5x5-seed25-n3-d0-dep4-md512-it144-s25,3,0,roihu_source_prefix_hd64_smalln_5x5_all_window_sweep,4,75497472,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,10,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337
