stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,support_wave_family,support_required_reliable_triplets,support_target_labels,support_plan_ids,support_plan_overhead_percent_by_target,support_target_budget_c_by_target,support_wave_point_id,support_wave_source
roihu_support_wave_hd64_smalln_x30_x22p5_req3_n0_d0_dep4_md128_it144_s51,source_support_wave,canonical,4,72,64,128,51,144,75497472,524288,16,2048,40,1,L,roihu-support-wave-hd64-smalln-x30-x22p5-req3-n0-d0-dep4-md128-it144-s51,0,0,support_wave_hd64_smalln_x30_x22p5_req3,4,75497472,524288,Support-designed source-cell replicate for pure Delta support-depth validation; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,support_wave_hd64_smalln_x30_x22p5_req3,3,x22p5_noncenter;x30_right11,x22p5_noncenter__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3;x30_right11__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3,x22p5_noncenter:21.963864;x30_right11:16.472321,x22p5_noncenter:44.336323;x30_right11:44.62404,0:0,support_wave_selected_cells
roihu_support_wave_hd64_smalln_x30_x22p5_req3_n0_d1_dep4_md128_it216_s51,source_support_wave,canonical,4,72,64,128,51,216,113246208,524288,16,2048,40,1,L,roihu-support-wave-hd64-smalln-x30-x22p5-req3-n0-d1-dep4-md128-it216-s51,0,1,support_wave_hd64_smalln_x30_x22p5_req3,4,113246208,524288,Support-designed source-cell replicate for pure Delta support-depth validation; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,support_wave_hd64_smalln_x30_x22p5_req3,3,x22p5_noncenter;x30_right11,x22p5_noncenter__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3;x30_right11__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3,x22p5_noncenter:21.963864;x30_right11:16.472321,x22p5_noncenter:44.336323;x30_right11:44.62404,0:1,support_wave_selected_cells
roihu_support_wave_hd64_smalln_x30_x22p5_req3_n0_d2_dep4_md128_it324_s51,source_support_wave,canonical,4,72,64,128,51,324,169869312,524288,16,2048,40,1,L,roihu-support-wave-hd64-smalln-x30-x22p5-req3-n0-d2-dep4-md128-it324-s51,0,2,support_wave_hd64_smalln_x30_x22p5_req3,4,169869312,524288,Support-designed source-cell replicate for pure Delta support-depth validation; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,5,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,support_wave_hd64_smalln_x30_x22p5_req3,3,x22p5_noncenter;x30_right11,x22p5_noncenter__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3;x30_right11__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3,x22p5_noncenter:21.963864;x30_right11:16.472321,x22p5_noncenter:44.336323;x30_right11:44.62404,0:2,support_wave_selected_cells
roihu_support_wave_hd64_smalln_x30_x22p5_req3_n0_d4_dep4_md128_it729_s51,source_support_wave,canonical,4,72,64,128,51,729,382205952,524288,16,2048,40,1,L,roihu-support-wave-hd64-smalln-x30-x22p5-req3-n0-d4-dep4-md128-it729-s51,0,4,support_wave_hd64_smalln_x30_x22p5_req3,4,382205952,524288,Support-designed source-cell replicate for pure Delta support-depth validation; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,21,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,support_wave_hd64_smalln_x30_x22p5_req3,3,x22p5_noncenter;x30_right11,x22p5_noncenter__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3;x30_right11__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3,x22p5_noncenter:21.963864;x30_right11:16.472321,x22p5_noncenter:44.336323;x30_right11:44.62404,0:4,support_wave_selected_cells
roihu_support_wave_hd64_smalln_x30_x22p5_req3_n1_d0_dep4_md192_it144_s51,source_support_wave,canonical,4,72,64,192,51,144,75497472,524288,16,2048,40,1,L,roihu-support-wave-hd64-smalln-x30-x22p5-req3-n1-d0-dep4-md192-it144-s51,1,0,support_wave_hd64_smalln_x30_x22p5_req3,4,75497472,524288,Support-designed source-cell replicate for pure Delta support-depth validation; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,2,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,support_wave_hd64_smalln_x30_x22p5_req3,3,x22p5_noncenter;x30_right11,x22p5_noncenter__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3;x30_right11__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3,x22p5_noncenter:21.963864;x30_right11:16.472321,x22p5_noncenter:44.336323;x30_right11:44.62404,1:0,support_wave_selected_cells
roihu_support_wave_hd64_smalln_x30_x22p5_req3_n1_d1_dep4_md192_it216_s51,source_support_wave,canonical,4,72,64,192,51,216,113246208,524288,16,2048,40,1,L,roihu-support-wave-hd64-smalln-x30-x22p5-req3-n1-d1-dep4-md192-it216-s51,1,1,support_wave_hd64_smalln_x30_x22p5_req3,4,113246208,524288,Support-designed source-cell replicate for pure Delta support-depth validation; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,6,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,support_wave_hd64_smalln_x30_x22p5_req3,3,x22p5_noncenter;x30_right11,x22p5_noncenter__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3;x30_right11__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3,x22p5_noncenter:21.963864;x30_right11:16.472321,x22p5_noncenter:44.336323;x30_right11:44.62404,1:1,support_wave_selected_cells
roihu_support_wave_hd64_smalln_x30_x22p5_req3_n1_d2_dep4_md192_it324_s51,source_support_wave,canonical,4,72,64,192,51,324,169869312,524288,16,2048,40,1,L,roihu-support-wave-hd64-smalln-x30-x22p5-req3-n1-d2-dep4-md192-it324-s51,1,2,support_wave_hd64_smalln_x30_x22p5_req3,4,169869312,524288,Support-designed source-cell replicate for pure Delta support-depth validation; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,7,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,support_wave_hd64_smalln_x30_x22p5_req3,3,x22p5_noncenter;x30_right11,x22p5_noncenter__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3;x30_right11__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3,x22p5_noncenter:21.963864;x30_right11:16.472321,x22p5_noncenter:44.336323;x30_right11:44.62404,1:2,support_wave_selected_cells
roihu_support_wave_hd64_smalln_x30_x22p5_req3_n2_d0_dep4_md320_it144_s51,source_support_wave,canonical,4,72,64,320,51,144,75497472,524288,16,2048,40,1,L,roihu-support-wave-hd64-smalln-x30-x22p5-req3-n2-d0-dep4-md320-it144-s51,2,0,support_wave_hd64_smalln_x30_x22p5_req3,4,75497472,524288,Support-designed source-cell replicate for pure Delta support-depth validation; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,3,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,support_wave_hd64_smalln_x30_x22p5_req3,3,x22p5_noncenter;x30_right11,x22p5_noncenter__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3;x30_right11__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3,x22p5_noncenter:21.963864;x30_right11:16.472321,x22p5_noncenter:44.336323;x30_right11:44.62404,2:0,support_wave_selected_cells
roihu_support_wave_hd64_smalln_x30_x22p5_req3_n3_d0_dep4_md512_it144_s51,source_support_wave,canonical,4,72,64,512,51,144,75497472,524288,16,2048,40,1,L,roihu-support-wave-hd64-smalln-x30-x22p5-req3-n3-d0-dep4-md512-it144-s51,3,0,support_wave_hd64_smalln_x30_x22p5_req3,4,75497472,524288,Support-designed source-cell replicate for pure Delta support-depth validation; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,10,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,support_wave_hd64_smalln_x30_x22p5_req3,3,x22p5_noncenter;x30_right11,x22p5_noncenter__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3;x30_right11__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3,x22p5_noncenter:21.963864;x30_right11:16.472321,x22p5_noncenter:44.336323;x30_right11:44.62404,3:0,support_wave_selected_cells
roihu_support_wave_hd64_smalln_x30_x22p5_req3_n4_d0_dep4_md704_it144_s51,source_support_wave,canonical,4,72,64,704,51,144,75497472,524288,16,2048,40,1,L,roihu-support-wave-hd64-smalln-x30-x22p5-req3-n4-d0-dep4-md704-it144-s51,4,0,support_wave_hd64_smalln_x30_x22p5_req3,4,75497472,524288,Support-designed source-cell replicate for pure Delta support-depth validation; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504,46858504,0.0,0.162821576719,17,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,support_wave_hd64_smalln_x30_x22p5_req3,3,x22p5_noncenter;x30_right11,x22p5_noncenter__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3;x30_right11__fsl-sourceprefix-hd64-smalln-5x5-seed24-20260526-0524__thr0p5__req3,x22p5_noncenter:21.963864;x30_right11:16.472321,x22p5_noncenter:44.336323;x30_right11:44.62404,4:0,support_wave_selected_cells
