stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
roihu_target_line_hd64_7pt_seed13_14_u0_dep4_md320_it309_s13,target_line_referee,canonical,4,72,64,320,13,309,162004992,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-seed13-14-u0-dep4-md320-it309-s13,0,0,roihu_target_line_measured_oracle,4,162004992,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,15401080,15401080,0.0,,1.305337,41.22349254103284,0.0014207195050062182,161828762.83984366,0,308.6638695523141,target_line_oracle
roihu_target_line_hd64_7pt_seed13_14_u1_dep4_md384_it256_s13,target_line_referee,canonical,4,72,64,384,13,256,134217728,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-seed13-14-u1-dep4-md384-it256-s13,1,1,roihu_target_line_measured_oracle,4,134217728,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,19660944,19660944,0.0,,1.305337,41.22349254103284,0.0,134217728.0000001,1,256.00000000000017,target_line_oracle
roihu_target_line_hd64_7pt_seed13_14_u2_dep4_md448_it218_s13,target_line_referee,canonical,4,72,64,448,13,218,114294784,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-seed13-14-u2-dep4-md448-it218-s13,2,2,roihu_target_line_measured_oracle,4,114294784,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,24314024,24314024,0.0,,1.305337,41.22349254103284,0.0026745153070635297,114060844.2551046,2,217.55379534741326,target_line_oracle
roihu_target_line_hd64_7pt_seed13_14_u3_dep4_md512_it188_s13,target_line_referee,canonical,4,72,64,512,13,188,98566144,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-seed13-14-u3-dep4-md512-it188-s13,3,3,roihu_target_line_measured_oracle,4,98566144,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,41.22349254103284,-0.0019938743835581363,98716816.72482912,3,188.28738541570496,target_line_oracle
roihu_target_line_hd64_7pt_seed13_14_u4_dep4_md640_it147_s13,target_line_referee,canonical,4,72,64,640,13,147,77070336,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-seed13-14-u4-dep4-md640-it147-s13,4,4,roihu_target_line_measured_oracle,4,77070336,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,41.22349254103284,0.0018065974849648114,76963743.78024735,4,146.79669147538633,target_line_oracle
roihu_target_line_hd64_7pt_seed13_14_u5_dep4_md768_it119_s13,target_line_referee,canonical,4,72,64,768,13,119,62390272,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-seed13-14-u5-dep4-md768-it119-s13,5,5,roihu_target_line_measured_oracle,4,62390272,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,41.22349254103284,0.0006713748395483776,62358191.021103986,5,118.9388103887634,target_line_oracle
roihu_target_line_hd64_7pt_seed13_14_u6_dep4_md896_it99_s13,target_line_referee,canonical,4,72,64,896,13,99,51904512,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-seed13-14-u6-dep4-md896-it99-s13,6,6,roihu_target_line_measured_oracle,4,51904512,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,41.22349254103284,-0.0008077572739750849,51936641.03795266,6,99.06128127661259,target_line_oracle
roihu_target_line_hd64_7pt_seed13_14_u0_dep4_md320_it309_s14,target_line_referee,canonical,4,72,64,320,14,309,162004992,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-seed13-14-u0-dep4-md320-it309-s14,0,0,roihu_target_line_measured_oracle,4,162004992,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,15401080,15401080,0.0,,1.305337,41.22349254103284,0.0014207195050062182,161828762.83984366,0,308.6638695523141,target_line_oracle
roihu_target_line_hd64_7pt_seed13_14_u1_dep4_md384_it256_s14,target_line_referee,canonical,4,72,64,384,14,256,134217728,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-seed13-14-u1-dep4-md384-it256-s14,1,1,roihu_target_line_measured_oracle,4,134217728,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,19660944,19660944,0.0,,1.305337,41.22349254103284,0.0,134217728.0000001,1,256.00000000000017,target_line_oracle
roihu_target_line_hd64_7pt_seed13_14_u2_dep4_md448_it218_s14,target_line_referee,canonical,4,72,64,448,14,218,114294784,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-seed13-14-u2-dep4-md448-it218-s14,2,2,roihu_target_line_measured_oracle,4,114294784,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,24314024,24314024,0.0,,1.305337,41.22349254103284,0.0026745153070635297,114060844.2551046,2,217.55379534741326,target_line_oracle
