stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
roihu_target_line_hd64_7pt_x5_seed28_29_u0_dep4_md320_it1059_s28,target_line_referee,canonical,4,72,64,320,28,1059,555220992,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-x5-seed28-29-u0-dep4-md320-it1059-s28,0,0,roihu_target_line_measured_oracle,4,555220992,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,15401080,15401080,0.0,,1.305337,42.8322801227841,0.00046771847817694834,555022085.0522732,0,1058.6206151051963,target_line_oracle
roihu_target_line_hd64_7pt_x5_seed28_29_u1_dep4_md384_it878_s28,target_line_referee,canonical,4,72,64,384,28,878,460324864,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-x5-seed28-29-u1-dep4-md384-it878-s28,1,1,roihu_target_line_measured_oracle,4,460324864,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,19660944,19660944,0.0,,1.305337,42.8322801227841,0.0,460324863.9999976,1,877.9999999999955,target_line_oracle
roihu_target_line_hd64_7pt_x5_seed28_29_u2_dep4_md448_it746_s28,target_line_referee,canonical,4,72,64,448,28,746,391118848,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-x5-seed28-29-u2-dep4-md448-it746-s28,2,2,roihu_target_line_measured_oracle,4,391118848,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,24314024,24314024,0.0,,1.305337,42.8322801227841,-0.00024762742692985285,391193051.7811782,2,746.1415324805797,target_line_oracle
roihu_target_line_hd64_7pt_x5_seed28_29_u3_dep4_md512_it646_s28,target_line_referee,canonical,4,72,64,512,28,646,338690048,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-x5-seed28-29-u3-dep4-md512-it646-s28,3,3,roihu_target_line_measured_oracle,4,338690048,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,42.8322801227841,0.0004711132996959577,338567832.3609354,3,645.7668921679218,target_line_oracle
roihu_target_line_hd64_7pt_x5_seed28_29_u4_dep4_md640_it503_s28,target_line_referee,canonical,4,72,64,640,28,503,263716864,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-x5-seed28-29-u4-dep4-md640-it503-s28,4,4,roihu_target_line_measured_oracle,4,263716864,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,42.8322801227841,-0.0012107749268039925,263961589.99631646,4,503.4667777944879,target_line_oracle
roihu_target_line_hd64_7pt_x5_seed28_29_u5_dep4_md768_it408_s28,target_line_referee,canonical,4,72,64,768,28,408,213909504,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-x5-seed28-29-u5-dep4-md768-it408-s28,5,5,roihu_target_line_measured_oracle,4,213909504,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,42.8322801227841,0.00024652959577053934,213869108.2676921,5,407.92295125521105,target_line_oracle
roihu_target_line_hd64_7pt_x5_seed28_29_u6_dep4_md896_it340_s28,target_line_referee,canonical,4,72,64,896,28,340,178257920,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-x5-seed28-29-u6-dep4-md896-it340-s28,6,6,roihu_target_line_measured_oracle,4,178257920,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,42.8322801227841,0.0009630868140817483,178126448.55985224,6,339.7492381283803,target_line_oracle
roihu_target_line_hd64_7pt_x5_seed28_29_u0_dep4_md320_it1059_s29,target_line_referee,canonical,4,72,64,320,29,1059,555220992,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-x5-seed28-29-u0-dep4-md320-it1059-s29,0,0,roihu_target_line_measured_oracle,4,555220992,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,15401080,15401080,0.0,,1.305337,42.8322801227841,0.00046771847817694834,555022085.0522732,0,1058.6206151051963,target_line_oracle
roihu_target_line_hd64_7pt_x5_seed28_29_u1_dep4_md384_it878_s29,target_line_referee,canonical,4,72,64,384,29,878,460324864,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-x5-seed28-29-u1-dep4-md384-it878-s29,1,1,roihu_target_line_measured_oracle,4,460324864,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,19660944,19660944,0.0,,1.305337,42.8322801227841,0.0,460324863.9999976,1,877.9999999999955,target_line_oracle
roihu_target_line_hd64_7pt_x5_seed28_29_u2_dep4_md448_it746_s29,target_line_referee,canonical,4,72,64,448,29,746,391118848,524288,16,2048,40,1,L,roihu-target-line-hd64-7pt-x5-seed28-29-u2-dep4-md448-it746-s29,2,2,roihu_target_line_measured_oracle,4,391118848,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,24314024,24314024,0.0,,1.305337,42.8322801227841,-0.00024762742692985285,391193051.7811782,2,746.1415324805797,target_line_oracle
