stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
roihu_target_line_hd64_x12p5_extension_seed41_42_u0_dep4_md512_it1303_s41,target_line_referee,canonical,4,72,64,512,41,1303,683147264,524288,16,2048,40,1,L,roihu-target-line-hd64-x12p5-extension-seed41-42-u0-dep4-md512-it1303-s41,0,0,roihu_target_line_measured_oracle,4,683147264,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,43.748570854658254,3.754978688164101e-05,683127612.6262796,0,1302.9625179792015,target_line_oracle
roihu_target_line_hd64_x12p5_extension_seed41_42_u1_dep4_md640_it1016_s41,target_line_referee,canonical,4,72,64,640,41,1016,532676608,524288,16,2048,40,1,L,roihu-target-line-hd64-x12p5-extension-seed41-42-u1-dep4-md640-it1016-s41,1,1,roihu_target_line_measured_oracle,4,532676608,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,43.748570854658254,0.00020060489988793506,532594752.25923884,1,1015.8438725647713,target_line_oracle
roihu_target_line_hd64_x12p5_extension_seed41_42_u2_dep4_md768_it823_s41,target_line_referee,canonical,4,72,64,768,41,823,431489024,524288,16,2048,40,1,L,roihu-target-line-hd64-x12p5-extension-seed41-42-u2-dep4-md768-it823-s41,2,2,roihu_target_line_measured_oracle,4,431489024,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,43.748570854658254,-0.00010355379038884394,431523255.8469031,2,823.0652920663892,target_line_oracle
roihu_target_line_hd64_x12p5_extension_seed41_42_u3_dep4_md896_it686_s41,target_line_referee,canonical,4,72,64,896,41,686,359661568,524288,16,2048,40,1,L,roihu-target-line-hd64-x12p5-extension-seed41-42-u3-dep4-md896-it686-s41,3,3,roihu_target_line_measured_oracle,4,359661568,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,43.748570854658254,0.0009301792282983001,359405365.5415425,3,685.5113325911378,target_line_oracle
roihu_target_line_hd64_x12p5_extension_seed41_42_u4_dep4_md1024_it583_s41,target_line_referee,canonical,4,72,64,1024,41,583,305659904,524288,16,2048,40,1,L,roihu-target-line-hd64-x12p5-extension-seed41-42-u4-dep4-md1024-it583-s41,4,4,roihu_target_line_measured_oracle,4,305659904,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,43.748570854658254,5.688949093496376e-05,305646582.9515491,4,582.9745921164496,target_line_oracle
roihu_target_line_hd64_x12p5_extension_seed41_42_u5_dep4_md1152_it504_s41,target_line_referee,canonical,4,72,64,1152,41,504,264241152,524288,16,2048,40,1,L,roihu-target-line-hd64-x12p5-extension-seed41-42-u5-dep4-md1152-it504-s41,5,5,roihu_target_line_measured_oracle,4,264241152,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,43.748570854658254,8.894812464177448e-05,264223146.7230899,5,503.9656576597021,target_line_oracle
roihu_target_line_hd64_x12p5_extension_seed41_42_u0_dep4_md512_it1303_s42,target_line_referee,canonical,4,72,64,512,42,1303,683147264,524288,16,2048,40,1,L,roihu-target-line-hd64-x12p5-extension-seed41-42-u0-dep4-md512-it1303-s42,0,0,roihu_target_line_measured_oracle,4,683147264,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,43.748570854658254,3.754978688164101e-05,683127612.6262796,0,1302.9625179792015,target_line_oracle
roihu_target_line_hd64_x12p5_extension_seed41_42_u1_dep4_md640_it1016_s42,target_line_referee,canonical,4,72,64,640,42,1016,532676608,524288,16,2048,40,1,L,roihu-target-line-hd64-x12p5-extension-seed41-42-u1-dep4-md640-it1016-s42,1,1,roihu_target_line_measured_oracle,4,532676608,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,43.748570854658254,0.00020060489988793506,532594752.25923884,1,1015.8438725647713,target_line_oracle
roihu_target_line_hd64_x12p5_extension_seed41_42_u2_dep4_md768_it823_s42,target_line_referee,canonical,4,72,64,768,42,823,431489024,524288,16,2048,40,1,L,roihu-target-line-hd64-x12p5-extension-seed41-42-u2-dep4-md768-it823-s42,2,2,roihu_target_line_measured_oracle,4,431489024,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,43.748570854658254,-0.00010355379038884394,431523255.8469031,2,823.0652920663892,target_line_oracle
roihu_target_line_hd64_x12p5_extension_seed41_42_u3_dep4_md896_it686_s42,target_line_referee,canonical,4,72,64,896,42,686,359661568,524288,16,2048,40,1,L,roihu-target-line-hd64-x12p5-extension-seed41-42-u3-dep4-md896-it686-s42,3,3,roihu_target_line_measured_oracle,4,359661568,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,43.748570854658254,0.0009301792282983001,359405365.5415425,3,685.5113325911378,target_line_oracle
