stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
roihu_target_line_hd64_x15_extension_seed43_44_u0_dep4_md512_it1498_s43,target_line_referee,canonical,4,72,64,512,43,1498,785383424,524288,16,2048,40,1,L,roihu-target-line-hd64-x15-extension-seed43-44-u0-dep4-md512-it1498-s43,0,0,roihu_target_line_measured_oracle,4,785383424,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,43.930892411452206,-0.0002396374794884082,785527620.158564,0,1498.2750323458938,target_line_oracle
roihu_target_line_hd64_x15_extension_seed43_44_u1_dep4_md640_it1168_s43,target_line_referee,canonical,4,72,64,640,43,1168,612368384,524288,16,2048,40,1,L,roihu-target-line-hd64-x15-extension-seed43-44-u1-dep4-md640-it1168-s43,1,1,roihu_target_line_measured_oracle,4,612368384,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,43.930892411452206,-0.0001314740097768663,612430065.0689974,1,1168.1176473026226,target_line_oracle
roihu_target_line_hd64_x15_extension_seed43_44_u2_dep4_md768_it946_s43,target_line_referee,canonical,4,72,64,768,43,946,495976448,524288,16,2048,40,1,L,roihu-target-line-hd64-x15-extension-seed43-44-u2-dep4-md768-it946-s43,2,2,roihu_target_line_measured_oracle,4,495976448,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,43.930892411452206,-0.0006094603490680583,496208072.9035574,2,946.4417894431256,target_line_oracle
roihu_target_line_hd64_x15_extension_seed43_44_u3_dep4_md896_it788_s43,target_line_referee,canonical,4,72,64,896,43,788,413138944,524288,16,2048,40,1,L,roihu-target-line-hd64-x15-extension-seed43-44-u3-dep4-md896-it788-s43,3,3,roihu_target_line_measured_oracle,4,413138944,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,43.930892411452206,-0.0004449593876643121,413279797.57790536,3,788.2686568792445,target_line_oracle
roihu_target_line_hd64_x15_extension_seed43_44_u4_dep4_md1024_it670_s43,target_line_referee,canonical,4,72,64,1024,43,670,351272960,524288,16,2048,40,1,L,roihu-target-line-hd64-x15-extension-seed43-44-u4-dep4-md1024-it670-s43,4,4,roihu_target_line_measured_oracle,4,351272960,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,43.930892411452206,-0.0007046573206963558,351462638.13358265,4,670.3617823287633,target_line_oracle
roihu_target_line_hd64_x15_extension_seed43_44_u5_dep4_md1152_it580_s43,target_line_referee,canonical,4,72,64,1152,43,580,304087040,524288,16,2048,40,1,L,roihu-target-line-hd64-x15-extension-seed43-44-u5-dep4-md1152-it580-s43,5,5,roihu_target_line_measured_oracle,4,304087040,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,43.930892411452206,0.0011043688864091905,303829878.6346147,5,579.5095036213202,target_line_oracle
roihu_target_line_hd64_x15_extension_seed43_44_u0_dep4_md512_it1498_s44,target_line_referee,canonical,4,72,64,512,44,1498,785383424,524288,16,2048,40,1,L,roihu-target-line-hd64-x15-extension-seed43-44-u0-dep4-md512-it1498-s44,0,0,roihu_target_line_measured_oracle,4,785383424,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,43.930892411452206,-0.0002396374794884082,785527620.158564,0,1498.2750323458938,target_line_oracle
roihu_target_line_hd64_x15_extension_seed43_44_u1_dep4_md640_it1168_s44,target_line_referee,canonical,4,72,64,640,44,1168,612368384,524288,16,2048,40,1,L,roihu-target-line-hd64-x15-extension-seed43-44-u1-dep4-md640-it1168-s44,1,1,roihu_target_line_measured_oracle,4,612368384,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,43.930892411452206,-0.0001314740097768663,612430065.0689974,1,1168.1176473026226,target_line_oracle
roihu_target_line_hd64_x15_extension_seed43_44_u2_dep4_md768_it946_s44,target_line_referee,canonical,4,72,64,768,44,946,495976448,524288,16,2048,40,1,L,roihu-target-line-hd64-x15-extension-seed43-44-u2-dep4-md768-it946-s44,2,2,roihu_target_line_measured_oracle,4,495976448,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,43.930892411452206,-0.0006094603490680583,496208072.9035574,2,946.4417894431256,target_line_oracle
roihu_target_line_hd64_x15_extension_seed43_44_u3_dep4_md896_it788_s44,target_line_referee,canonical,4,72,64,896,44,788,413138944,524288,16,2048,40,1,L,roihu-target-line-hd64-x15-extension-seed43-44-u3-dep4-md896-it788-s44,3,3,roihu_target_line_measured_oracle,4,413138944,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,43.930892411452206,-0.0004449593876643121,413279797.57790536,3,788.2686568792445,target_line_oracle
roihu_target_line_hd64_x15_extension_seed43_44_u4_dep4_md1024_it670_s44,target_line_referee,canonical,4,72,64,1024,44,670,351272960,524288,16,2048,40,1,L,roihu-target-line-hd64-x15-extension-seed43-44-u4-dep4-md1024-it670-s44,4,4,roihu_target_line_measured_oracle,4,351272960,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,43.930892411452206,-0.0007046573206963558,351462638.13358265,4,670.3617823287633,target_line_oracle
roihu_target_line_hd64_x15_extension_seed43_44_u5_dep4_md1152_it580_s44,target_line_referee,canonical,4,72,64,1152,44,580,304087040,524288,16,2048,40,1,L,roihu-target-line-hd64-x15-extension-seed43-44-u5-dep4-md1152-it580-s44,5,5,roihu_target_line_measured_oracle,4,304087040,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,43.930892411452206,0.0011043688864091905,303829878.6346147,5,579.5095036213202,target_line_oracle
