stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
roihu_target_line_hd64_x20_noncenter_9pt_seed45_46_u0_dep4_md512_it1868_s45,target_line_referee,canonical,4,72,64,512,45,1868,979369984,524288,16,2048,40,1,L,roihu-target-line-hd64-x20-noncenter-9pt-seed45-46-u0-dep4-md512-it1868-s45,0,0,roihu_target_line_measured_oracle,4,979369984,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,44.218789540893624,0.0,979369984.000002,0,1868.0000000000039,target_line_oracle
roihu_target_line_hd64_x20_noncenter_9pt_seed45_46_u1_dep4_md640_it1456_s45,target_line_referee,canonical,4,72,64,640,45,1456,763363328,524288,16,2048,40,1,L,roihu-target-line-hd64-x20-noncenter-9pt-seed45-46-u1-dep4-md640-it1456-s45,1,1,roihu_target_line_measured_oracle,4,763363328,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,44.218789540893624,-0.000332243323313719,763557649.1971973,1,1456.3706382698008,target_line_oracle
roihu_target_line_hd64_x20_noncenter_9pt_seed45_46_u2_dep4_md768_it1180_s45,target_line_referee,canonical,4,72,64,768,45,1180,618659840,524288,16,2048,40,1,L,roihu-target-line-hd64-x20-noncenter-9pt-seed45-46-u2-dep4-md768-it1180-s45,2,2,roihu_target_line_measured_oracle,4,618659840,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,44.218789540893624,8.325030741218598e-06,618655894.3937968,2,1179.9924743534027,target_line_oracle
roihu_target_line_hd64_x20_noncenter_9pt_seed45_46_u3_dep4_md896_it983_s45,target_line_referee,canonical,4,72,64,896,45,983,515375104,524288,16,2048,40,1,L,roihu-target-line-hd64-x20-noncenter-9pt-seed45-46-u3-dep4-md896-it983-s45,3,3,roihu_target_line_measured_oracle,4,515375104,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,44.218789540893624,0.00028232011564455206,515263650.0034124,3,982.7874183719872,target_line_oracle
roihu_target_line_hd64_x20_noncenter_9pt_seed45_46_u4_dep4_md1024_it836_s45,target_line_referee,canonical,4,72,64,1024,45,836,438304768,524288,16,2048,40,1,L,roihu-target-line-hd64-x20-noncenter-9pt-seed45-46-u4-dep4-md1024-it836-s45,4,4,roihu_target_line_measured_oracle,4,438304768,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,44.218789540893624,0.00033573390452090734,438192050.09749067,4,835.7850076627553,target_line_oracle
roihu_target_line_hd64_x20_noncenter_9pt_seed45_46_u5_dep4_md1152_it723_s45,target_line_referee,canonical,4,72,64,1152,45,723,379060224,524288,16,2048,40,1,L,roihu-target-line-hd64-x20-noncenter-9pt-seed45-46-u5-dep4-md1152-it723-s45,5,5,roihu_target_line_measured_oracle,4,379060224,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,44.218789540893624,0.0008788676788498151,378805093.21497726,5,722.5133766459985,target_line_oracle
roihu_target_line_hd64_x20_noncenter_9pt_seed45_46_u6_dep4_md1280_it633_s45,target_line_referee,canonical,4,72,64,1280,45,633,331874304,524288,16,2048,40,1,L,roihu-target-line-hd64-x20-noncenter-9pt-seed45-46-u6-dep4-md1280-it633-s45,6,6,roihu_target_line_measured_oracle,4,331874304,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,44.218789540893624,0.00015045202565744376,331836054.6560369,6,632.927045166086,target_line_oracle
roihu_target_line_hd64_x20_noncenter_9pt_seed45_46_u7_dep4_md1408_it561_s45,target_line_referee,canonical,4,72,64,1408,45,561,294125568,524288,16,2048,40,1,L,roihu-target-line-hd64-x20-noncenter-9pt-seed45-46-u7-dep4-md1408-it561-s45,7,7,roihu_target_line_measured_oracle,4,294125568,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,44.218789540893624,0.0010204779669535924,293895718.26151556,7,560.5615964155494,target_line_oracle
roihu_target_line_hd64_x20_noncenter_9pt_seed45_46_u8_dep4_md1536_it501_s45,target_line_referee,canonical,4,72,64,1536,45,501,262668288,524288,16,2048,40,1,L,roihu-target-line-hd64-x20-noncenter-9pt-seed45-46-u8-dep4-md1536-it501-s45,8,8,roihu_target_line_measured_oracle,4,262668288,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,44.218789540893624,-0.0001978796395860627,262708109.62920785,8,501.07595373002596,target_line_oracle
roihu_target_line_hd64_x20_noncenter_9pt_seed45_46_u0_dep4_md512_it1868_s46,target_line_referee,canonical,4,72,64,512,46,1868,979369984,524288,16,2048,40,1,L,roihu-target-line-hd64-x20-noncenter-9pt-seed45-46-u0-dep4-md512-it1868-s46,0,0,roihu_target_line_measured_oracle,4,979369984,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,44.218789540893624,0.0,979369984.000002,0,1868.0000000000039,target_line_oracle
roihu_target_line_hd64_x20_noncenter_9pt_seed45_46_u1_dep4_md640_it1456_s46,target_line_referee,canonical,4,72,64,640,46,1456,763363328,524288,16,2048,40,1,L,roihu-target-line-hd64-x20-noncenter-9pt-seed45-46-u1-dep4-md640-it1456-s46,1,1,roihu_target_line_measured_oracle,4,763363328,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,44.218789540893624,-0.000332243323313719,763557649.1971973,1,1456.3706382698008,target_line_oracle
