stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
roihu_target_line_hd64_x22p5_noncenter_9pt_seed47_48_u0_dep4_md512_it2044_s47,target_line_referee,canonical,4,72,64,512,47,2044,1071644672,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-noncenter-9pt-seed47-48-u0-dep4-md512-it2044-s47,0,0,roihu_target_line_measured_oracle,4,1071644672,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,44.33632251844361,0.0,1071644672.0,0,2044.0,target_line_oracle
roihu_target_line_hd64_x22p5_noncenter_9pt_seed47_48_u1_dep4_md640_it1594_s47,target_line_referee,canonical,4,72,64,640,47,1594,835715072,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-noncenter-9pt-seed47-48-u1-dep4-md640-it1594-s47,1,1,roihu_target_line_measured_oracle,4,835715072,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,44.33632251844361,0.0003377836247580035,835498840.984512,1,1593.5875720682373,target_line_oracle
roihu_target_line_hd64_x22p5_noncenter_9pt_seed47_48_u2_dep4_md768_it1291_s47,target_line_referee,canonical,4,72,64,768,47,1291,676855808,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-noncenter-9pt-seed47-48-u2-dep4-md768-it1291-s47,2,2,roihu_target_line_measured_oracle,4,676855808,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,44.33632251844361,-0.00017136654835780973,676944672.4523116,2,1291.1694954916222,target_line_oracle
roihu_target_line_hd64_x22p5_noncenter_9pt_seed47_48_u3_dep4_md896_it1075_s47,target_line_referee,canonical,4,72,64,896,47,1075,563609600,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-noncenter-9pt-seed47-48-u3-dep4-md896-it1075-s47,3,3,roihu_target_line_measured_oracle,4,563609600,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,44.33632251844361,-0.0004663064748058332,563810974.6290005,3,1075.3840916233073,target_line_oracle
roihu_target_line_hd64_x22p5_noncenter_9pt_seed47_48_u4_dep4_md1024_it915_s47,target_line_referee,canonical,4,72,64,1024,47,915,479723520,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-noncenter-9pt-seed47-48-u4-dep4-md1024-it915-s47,4,4,roihu_target_line_measured_oracle,4,479723520,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,44.33632251844361,0.0006687510309433264,479477810.7062469,4,914.5313467144907,target_line_oracle
roihu_target_line_hd64_x22p5_noncenter_9pt_seed47_48_u5_dep4_md1152_it791_s47,target_line_referee,canonical,4,72,64,1152,47,791,414711808,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-noncenter-9pt-seed47-48-u5-dep4-md1152-it791-s47,5,5,roihu_target_line_measured_oracle,4,414711808,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,44.33632251844361,0.0006809956557276564,414495508.8497923,5,790.5874421115728,target_line_oracle
roihu_target_line_hd64_x22p5_noncenter_9pt_seed47_48_u6_dep4_md1280_it693_s47,target_line_referee,canonical,4,72,64,1280,47,693,363331584,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-noncenter-9pt-seed47-48-u6-dep4-md1280-it693-s47,6,6,roihu_target_line_measured_oracle,4,363331584,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,44.33632251844361,0.000828241097806881,363101121.90414244,6,692.560428436551,target_line_oracle
roihu_target_line_hd64_x22p5_noncenter_9pt_seed47_48_u7_dep4_md1408_it613_s47,target_line_referee,canonical,4,72,64,1408,47,613,321388544,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-noncenter-9pt-seed47-48-u7-dep4-md1408-it613-s47,7,7,roihu_target_line_measured_oracle,4,321388544,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,44.33632251844361,-0.0008021668551450034,321586107.1341202,7,613.3768217737584,target_line_oracle
roihu_target_line_hd64_x22p5_noncenter_9pt_seed47_48_u8_dep4_md1536_it548_s47,target_line_referee,canonical,4,72,64,1536,47,548,287309824,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-noncenter-9pt-seed47-48-u8-dep4-md1536-it548-s47,8,8,roihu_target_line_measured_oracle,4,287309824,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,44.33632251844361,-0.0006823511225206857,287460051.4358136,8,548.28653609431,target_line_oracle
roihu_target_line_hd64_x22p5_noncenter_9pt_seed47_48_u0_dep4_md512_it2044_s48,target_line_referee,canonical,4,72,64,512,48,2044,1071644672,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-noncenter-9pt-seed47-48-u0-dep4-md512-it2044-s48,0,0,roihu_target_line_measured_oracle,4,1071644672,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,44.33632251844361,0.0,1071644672.0,0,2044.0,target_line_oracle
