stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_c_base,target_budget_c_offset,target_budget_line_residual,target_d_actual,target_line_index,target_neighborhood_offset_index,target_num_iterations_float,verification_role
roihu_target_neighborhood_hd64_5x3_seed31_o0_u0_dep4_md384_it672_s31,target_neighborhood_referee,canonical,4,72,64,384,31,672,352321536,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o0-u0-dep4-md384-it672-s31,0,0,roihu_target_neighborhood_measured_oracle,4,352321536,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,19660944,19660944,0.0,,1.305337,42.4822801227841,42.8322801227841,-0.35,0.0009682198475928772,352060302.1405822,0,0,671.5017359553951,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o0_u1_dep4_md448_it571_s31,target_neighborhood_referee,canonical,4,72,64,448,31,571,299368448,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o0-u1-dep4-md448-it571-s31,1,0,roihu_target_neighborhood_measured_oracle,4,299368448,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,24314024,24314024,0.0,,1.305337,42.4822801227841,42.8322801227841,-0.35,0.0007882905446408017,299187714.53844005,1,0,570.6552782791902,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o0_u2_dep4_md512_it494_s31,target_neighborhood_referee,canonical,4,72,64,512,31,494,258998272,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o0-u2-dep4-md512-it494-s31,2,0,roihu_target_neighborhood_measured_oracle,4,258998272,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,29360320,29360320,0.0,,1.305337,42.4822801227841,42.8322801227841,-0.35,0.00029620583016054525,258939507.0262238,2,0,493.8879147076107,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o0_u3_dep4_md640_it385_s31,target_neighborhood_referee,canonical,4,72,64,640,31,385,201850880,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o0-u3-dep4-md640-it385-s31,3,0,roihu_target_neighborhood_measured_oracle,4,201850880,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,40632560,40632560,0.0,,1.305337,42.4822801227841,42.8322801227841,-0.35,-0.0001884915450744984,201880029.5080559,3,0,385.05559827433757,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o0_u4_dep4_md768_it312_s31,target_neighborhood_referee,canonical,4,72,64,768,31,312,163577856,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o0-u4-dep4-md768-it312-s31,4,0,roihu_target_neighborhood_measured_oracle,4,163577856,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,53477664,53477664,0.0,,1.305337,42.4822801227841,42.8322801227841,-0.35,7.162212623512687e-05,163568880.94417748,4,0,311.9828814395475,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o1_u0_dep4_md384_it878_s31,target_neighborhood_referee,canonical,4,72,64,384,31,878,460324864,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o1-u0-dep4-md384-it878-s31,0,1,roihu_target_neighborhood_measured_oracle,4,460324864,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,19660944,19660944,0.0,,1.305337,42.8322801227841,42.8322801227841,0.0,0.0,460324863.9999976,0,1,877.9999999999955,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o1_u1_dep4_md448_it746_s31,target_neighborhood_referee,canonical,4,72,64,448,31,746,391118848,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o1-u1-dep4-md448-it746-s31,1,1,roihu_target_neighborhood_measured_oracle,4,391118848,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,24314024,24314024,0.0,,1.305337,42.8322801227841,42.8322801227841,0.0,-0.00024762742692985285,391193051.7811782,1,1,746.1415324805797,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o1_u2_dep4_md512_it646_s31,target_neighborhood_referee,canonical,4,72,64,512,31,646,338690048,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o1-u2-dep4-md512-it646-s31,2,1,roihu_target_neighborhood_measured_oracle,4,338690048,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,29360320,29360320,0.0,,1.305337,42.8322801227841,42.8322801227841,0.0,0.0004711132996959577,338567832.3609354,2,1,645.7668921679218,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o1_u3_dep4_md640_it503_s31,target_neighborhood_referee,canonical,4,72,64,640,31,503,263716864,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o1-u3-dep4-md640-it503-s31,3,1,roihu_target_neighborhood_measured_oracle,4,263716864,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,40632560,40632560,0.0,,1.305337,42.8322801227841,42.8322801227841,0.0,-0.0012107749268039925,263961589.99631646,3,1,503.4667777944879,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o1_u4_dep4_md768_it408_s31,target_neighborhood_referee,canonical,4,72,64,768,31,408,213909504,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o1-u4-dep4-md768-it408-s31,4,1,roihu_target_neighborhood_measured_oracle,4,213909504,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,53477664,53477664,0.0,,1.305337,42.8322801227841,42.8322801227841,0.0,0.00024652959577053934,213869108.2676921,4,1,407.92295125521105,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o2_u0_dep4_md384_it1148_s31,target_neighborhood_referee,canonical,4,72,64,384,31,1148,601882624,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o2-u0-dep4-md384-it1148-s31,0,2,roihu_target_neighborhood_measured_oracle,4,601882624,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,19660944,19660944,0.0,,1.305337,43.1822801227841,42.8322801227841,0.35,-1.2061711629485217e-08,601882629.5615753,0,2,1148.000010607863,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o2_u1_dep4_md448_it976_s31,target_neighborhood_referee,canonical,4,72,64,448,31,976,511705088,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o2-u1-dep4-md448-it976-s31,1,2,roihu_target_neighborhood_measured_oracle,4,511705088,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,24314024,24314024,0.0,,1.305337,43.1822801227841,42.8322801227841,0.35,0.0005447039405979126,511491603.18282133,1,2,975.592810025828,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o2_u2_dep4_md512_it844_s31,target_neighborhood_referee,canonical,4,72,64,512,31,844,442499072,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o2-u2-dep4-md512-it844-s31,2,2,roihu_target_neighborhood_measured_oracle,4,442499072,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,29360320,29360320,0.0,,1.305337,43.1822801227841,42.8322801227841,0.35,-0.0005431357309717555,442683229.09093213,2,2,844.3512517756121,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o2_u3_dep4_md640_it658_s31,target_neighborhood_referee,canonical,4,72,64,640,31,658,344981504,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o2-u3-dep4-md640-it658-s31,3,2,roihu_target_neighborhood_measured_oracle,4,344981504,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,40632560,40632560,0.0,,1.305337,43.1822801227841,42.8322801227841,0.35,-0.0005779883528944652,345134291.7036916,3,2,658.2914194177467,target_neighborhood_oracle
roihu_target_neighborhood_hd64_5x3_seed31_o2_u4_dep4_md768_it533_s31,target_neighborhood_referee,canonical,4,72,64,768,31,533,279445504,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-5x3-seed31-o2-u4-dep4-md768-it533-s31,4,2,roihu_target_neighborhood_measured_oracle,4,279445504,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,53477664,53477664,0.0,,1.305337,43.1822801227841,42.8322801227841,0.35,-0.0008966097830622743,279637515.4441982,4,2,533.3662327655758,target_neighborhood_oracle
