stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_c_base,target_budget_c_offset,target_budget_line_residual,target_d_actual,target_line_index,target_neighborhood_offset_index,target_num_iterations_float,verification_role
roihu_target_neighborhood_hd64_leftopt_5x2_seed16_o0_u0_dep4_md192_it388_s16,target_neighborhood_referee,canonical,4,72,64,192,16,388,203423744,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-leftopt-5x2-seed16-o0-u0-dep4-md192-it388-s16,0,0,roihu_target_neighborhood_measured_oracle,4,203423744,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,8061000,8061000,0.0,,1.305337,40.87349254103284,41.22349254103284,-0.35,0.001199025621694716,203236973.616002,0,0,387.64376376343154,target_neighborhood_oracle
roihu_target_neighborhood_hd64_leftopt_5x2_seed16_o0_u1_dep4_md256_it295_s16,target_neighborhood_referee,canonical,4,72,64,256,16,295,154664960,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-leftopt-5x2-seed16-o0-u1-dep4-md256-it295-s16,1,0,roihu_target_neighborhood_measured_oracle,4,154664960,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,11534432,11534432,0.0,,1.305337,40.87349254103284,41.22349254103284,-0.35,0.001796580005169801,154452235.74355844,1,0,294.59426068031013,target_neighborhood_oracle
roihu_target_neighborhood_hd64_leftopt_5x2_seed16_o0_u2_dep4_md320_it236_s16,target_neighborhood_referee,canonical,4,72,64,320,16,236,123731968,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-leftopt-5x2-seed16-o0-u2-dep4-md320-it236-s16,2,0,roihu_target_neighborhood_measured_oracle,4,123731968,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,15401080,15401080,0.0,,1.305337,40.87349254103284,41.22349254103284,-0.35,-0.00037996598015155314,123767989.94814254,2,0,236.06870641354092,target_neighborhood_oracle
roihu_target_neighborhood_hd64_leftopt_5x2_seed16_o0_u3_dep4_md384_it196_s16,target_neighborhood_referee,canonical,4,72,64,384,16,196,102760448,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-leftopt-5x2-seed16-o0-u3-dep4-md384-it196-s16,3,0,roihu_target_neighborhood_measured_oracle,4,102760448,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,19660944,19660944,0.0,,1.305337,40.87349254103284,41.22349254103284,-0.35,0.0013930650913707154,102650839.80408798,3,0,195.79093895738217,target_neighborhood_oracle
roihu_target_neighborhood_hd64_leftopt_5x2_seed16_o0_u4_dep4_md448_it166_s16,target_neighborhood_referee,canonical,4,72,64,448,16,166,87031808,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-leftopt-5x2-seed16-o0-u4-dep4-md448-it166-s16,4,0,roihu_target_neighborhood_measured_oracle,4,87031808,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,24314024,24314024,0.0,,1.305337,40.87349254103284,41.22349254103284,-0.35,-0.003039312778888359,87234686.69913565,4,0,166.38696040942315,target_neighborhood_oracle
roihu_target_neighborhood_hd64_leftopt_5x2_seed16_o1_u0_dep4_md192_it663_s16,target_neighborhood_referee,canonical,4,72,64,192,16,663,347602944,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-leftopt-5x2-seed16-o1-u0-dep4-md192-it663-s16,0,1,roihu_target_neighborhood_measured_oracle,4,347602944,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,8061000,8061000,0.0,,1.305337,41.57349254103284,41.22349254103284,0.35,0.0005589739781086678,347454124.6496185,0,1,662.7161496155138,target_neighborhood_oracle
roihu_target_neighborhood_hd64_leftopt_5x2_seed16_o1_u1_dep4_md256_it504_s16,target_neighborhood_referee,canonical,4,72,64,256,16,504,264241152,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-leftopt-5x2-seed16-o1-u1-dep4-md256-it504-s16,1,1,roihu_target_neighborhood_measured_oracle,4,264241152,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,11534432,11534432,0.0,,1.305337,41.57349254103284,41.22349254103284,0.35,0.0009362673220962847,264051690.08199236,1,1,503.6386300697181,target_neighborhood_oracle
roihu_target_neighborhood_hd64_leftopt_5x2_seed16_o1_u2_dep4_md320_it404_s16,target_neighborhood_referee,canonical,4,72,64,320,16,404,211812352,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-leftopt-5x2-seed16-o1-u2-dep4-md320-it404-s16,2,1,roihu_target_neighborhood_measured_oracle,4,211812352,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,15401080,15401080,0.0,,1.305337,41.57349254103284,41.22349254103284,0.35,0.0013471096963044715,211593874.09658182,2,1,403.5832864696156,target_neighborhood_oracle
roihu_target_neighborhood_hd64_leftopt_5x2_seed16_o1_u3_dep4_md384_it335_s16,target_neighborhood_referee,canonical,4,72,64,384,16,335,175636480,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-leftopt-5x2-seed16-o1-u3-dep4-md384-it335-s16,3,1,roihu_target_neighborhood_measured_oracle,4,175636480,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,19660944,19660944,0.0,,1.305337,41.57349254103284,41.22349254103284,0.35,0.0010744161763156512,175491973.99517557,3,1,334.7243766692649,target_neighborhood_oracle
roihu_target_neighborhood_hd64_leftopt_5x2_seed16_o1_u4_dep4_md448_it284_s16,target_neighborhood_referee,canonical,4,72,64,448,16,284,148897792,524288,16,2048,40,1,L,roihu-target-neighborhood-hd64-leftopt-5x2-seed16-o1-u4-dep4-md448-it284-s16,4,1,roihu_target_neighborhood_measured_oracle,4,148897792,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,24314024,24314024,0.0,,1.305337,41.57349254103284,41.22349254103284,0.35,-0.0020910313502255917,149136503.8892973,4,1,284.4553067956873,target_neighborhood_oracle
