stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_target_line_index,target_budget_b,target_budget_c,target_budget_c_base,target_budget_c_offset,target_budget_line_residual,target_d_actual,target_label,target_line_design_best_index,target_line_design_offsets,target_line_design_selected_indices,target_line_index,target_neighborhood_offset_index,target_num_iterations_float,uses_target_line_oracle_for_design,verification_role
target_neighborhood_interpolation_hd64_x22p5_x30_x22p5_o0_u0_dep4_md640_it1316_s61,target_neighborhood_referee,canonical,4,72,64,640,61,1316,689963008,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x22p5-o0-u0-dep4-md640-it1316-s61,1,0,roihu_target_neighborhood_interpolation,4,689963008,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,40632560,40632560,0.0,,1,1.305337,44.08632251844361,44.33632251844361,-0.25,0.00017027721817441943,689873010.3065323,x22p5,3,-0.25;0.25,1;2;3;4;5,1,0,1315.828343022408,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x22p5_o0_u1_dep4_md768_it1066_s61,target_neighborhood_referee,canonical,4,72,64,768,61,1066,558891008,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x22p5-o0-u1-dep4-md768-it1066-s61,2,0,roihu_target_neighborhood_interpolation,4,558891008,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,53477664,53477664,0.0,,2,1.305337,44.08632251844361,44.33632251844361,-0.25,-0.0001483442120004952,558954526.4303977,x22p5,3,-0.25;0.25,1;2;3;4;5,2,0,1066.1211517913775,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x22p5_o0_u2_dep4_md896_it888_s61,target_neighborhood_referee,canonical,4,72,64,896,61,888,465567744,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x22p5-o0-u2-dep4-md896-it888-s61,3,0,roihu_target_neighborhood_interpolation,4,465567744,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,67895632,67895632,0.0,,3,1.305337,44.08632251844361,44.33632251844361,-0.25,7.831358229282159e-05,465539813.14066094,x22p5,3,-0.25;0.25,1;2;3;4;5,3,0,887.9467261136264,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x22p5_o0_u3_dep4_md1024_it755_s61,target_neighborhood_referee,canonical,4,72,64,1024,61,755,395837440,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x22p5-o0-u3-dep4-md1024-it755-s61,4,0,roihu_target_neighborhood_interpolation,4,395837440,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,83886464,83886464,0.0,,4,1.305337,44.08632251844361,44.33632251844361,-0.25,-0.00022526491213881172,395905756.44285786,x22p5,3,-0.25;0.25,1;2;3;4;5,4,0,755.1303032738836,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x22p5_o0_u4_dep4_md1152_it653_s61,target_neighborhood_referee,canonical,4,72,64,1152,61,653,342360064,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x22p5-o0-u4-dep4-md1152-it653-s61,5,0,roihu_target_neighborhood_interpolation,4,342360064,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,101450160,101450160,0.0,,5,1.305337,44.08632251844361,44.33632251844361,-0.25,0.00042069150211432316,342249744.0113671,x22p5,3,-0.25;0.25,1;2;3;4;5,5,0,652.7895813205091,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x22p5_o1_u0_dep4_md640_it1930_s61,target_neighborhood_referee,canonical,4,72,64,640,61,1930,1011875840,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x22p5-o1-u0-dep4-md640-it1930-s61,1,1,roihu_target_neighborhood_interpolation,4,1011875840,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,40632560,40632560,0.0,,1,1.305337,44.58632251844361,44.33632251844361,0.25,1.4059194299420597e-05,1011864941.6017826,x22p5,3,-0.25;0.25,1;2;3;4;5,1,1,1929.9792129550601,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x22p5_o1_u1_dep4_md768_it1564_s61,target_neighborhood_referee,canonical,4,72,64,768,61,1564,819986432,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x22p5-o1-u1-dep4-md768-it1564-s61,2,1,roihu_target_neighborhood_interpolation,4,819986432,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,53477664,53477664,0.0,,2,1.305337,44.58632251844361,44.33632251844361,0.25,0.00023081699082183604,819841450.2304397,x22p5,3,-0.25;0.25,1;2;3;4;5,2,1,1563.7234692200464,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x22p5_o1_u2_dep4_md896_it1302_s61,target_neighborhood_referee,canonical,4,72,64,896,61,1302,682622976,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x22p5-o1-u2-dep4-md896-it1302-s61,3,1,roihu_target_neighborhood_interpolation,4,682622976,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,67895632,67895632,0.0,,3,1.305337,44.58632251844361,44.33632251844361,0.25,-0.0003886924376956813,682826272.0809608,x22p5,3,-0.25;0.25,1;2;3;4;5,3,1,1302.3877565020766,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x22p5_o1_u3_dep4_md1024_it1108_s61,target_neighborhood_referee,canonical,4,72,64,1024,61,1108,580911104,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x22p5-o1-u3-dep4-md1024-it1108-s61,4,1,roihu_target_neighborhood_interpolation,4,580911104,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,83886464,83886464,0.0,,4,1.305337,44.58632251844361,44.33632251844361,0.25,0.0004943303716089531,580691154.9487367,x22p5,3,-0.25;0.25,1;2;3;4;5,4,1,1107.5804804777845,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x22p5_o1_u4_dep4_md1152_it957_s61,target_neighborhood_referee,canonical,4,72,64,1152,61,957,501743616,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x22p5-o1-u4-dep4-md1152-it957-s61,5,1,roihu_target_neighborhood_interpolation,4,501743616,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,101450160,101450160,0.0,,5,1.305337,44.58632251844361,44.33632251844361,0.25,-0.0006452261071672183,501991688.4172788,x22p5,3,-0.25;0.25,1;2;3;4;5,5,1,957.4731605859353,True,target_neighborhood_oracle
