stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,support_policy,support_point_id,frozen_support_key,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,support_source
roihu_routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628_n0_d0_dep4_md128_it144_s87,source_frozen_nonuniform_support,canonical,4,72,64,128,87,144,75497472,524288,16,2048,40,1,L,roihu-routeb-frozen-sequential-support-x17p5-prospective-s87-88-20260628-n0-d0-dep4-md128-it144-s87,0,0,old_equal_step_control,0:0,0:1;0:2;0:4;1:1;2:1,routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628,4,75497472,524288,Frozen nonuniform Route-B support validation. Submit GPU jobs on Roihu GA partitions such as gpumedium; do not use pilot/gpupilot.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,frozen_nonuniform_selector
roihu_routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628_n0_d1_dep4_md128_it216_s87,source_frozen_nonuniform_support,canonical,4,72,64,128,87,216,113246208,524288,16,2048,40,1,L,roihu-routeb-frozen-sequential-support-x17p5-prospective-s87-88-20260628-n0-d1-dep4-md128-it216-s87,0,1,frozen_nonuniform_delta;old_equal_step_control,0:1,0:1;0:2;0:4;1:1;2:1,routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628,4,113246208,524288,Frozen nonuniform Route-B support validation. Submit GPU jobs on Roihu GA partitions such as gpumedium; do not use pilot/gpupilot.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,frozen_nonuniform_selector
roihu_routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628_n0_d2_dep4_md128_it324_s87,source_frozen_nonuniform_support,canonical,4,72,64,128,87,324,169869312,524288,16,2048,40,1,L,roihu-routeb-frozen-sequential-support-x17p5-prospective-s87-88-20260628-n0-d2-dep4-md128-it324-s87,0,2,frozen_nonuniform_delta;old_equal_step_control,0:2,0:1;0:2;0:4;1:1;2:1,routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628,4,169869312,524288,Frozen nonuniform Route-B support validation. Submit GPU jobs on Roihu GA partitions such as gpumedium; do not use pilot/gpupilot.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,5,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,frozen_nonuniform_selector
roihu_routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628_n0_d4_dep4_md128_it729_s87,source_frozen_nonuniform_support,canonical,4,72,64,128,87,729,382205952,524288,16,2048,40,1,L,roihu-routeb-frozen-sequential-support-x17p5-prospective-s87-88-20260628-n0-d4-dep4-md128-it729-s87,0,4,frozen_nonuniform_delta,0:4,0:1;0:2;0:4;1:1;2:1,routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628,4,382205952,524288,Frozen nonuniform Route-B support validation. Submit GPU jobs on Roihu GA partitions such as gpumedium; do not use pilot/gpupilot.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,21,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,frozen_nonuniform_selector
roihu_routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628_n1_d0_dep4_md192_it144_s87,source_frozen_nonuniform_support,canonical,4,72,64,192,87,144,75497472,524288,16,2048,40,1,L,roihu-routeb-frozen-sequential-support-x17p5-prospective-s87-88-20260628-n1-d0-dep4-md192-it144-s87,1,0,old_equal_step_control,1:0,0:1;0:2;0:4;1:1;2:1,routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628,4,75497472,524288,Frozen nonuniform Route-B support validation. Submit GPU jobs on Roihu GA partitions such as gpumedium; do not use pilot/gpupilot.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,2,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,frozen_nonuniform_selector
roihu_routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628_n1_d1_dep4_md192_it216_s87,source_frozen_nonuniform_support,canonical,4,72,64,192,87,216,113246208,524288,16,2048,40,1,L,roihu-routeb-frozen-sequential-support-x17p5-prospective-s87-88-20260628-n1-d1-dep4-md192-it216-s87,1,1,frozen_nonuniform_delta,1:1,0:1;0:2;0:4;1:1;2:1,routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628,4,113246208,524288,Frozen nonuniform Route-B support validation. Submit GPU jobs on Roihu GA partitions such as gpumedium; do not use pilot/gpupilot.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,6,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,frozen_nonuniform_selector
roihu_routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628_n2_d0_dep4_md320_it144_s87,source_frozen_nonuniform_support,canonical,4,72,64,320,87,144,75497472,524288,16,2048,40,1,L,roihu-routeb-frozen-sequential-support-x17p5-prospective-s87-88-20260628-n2-d0-dep4-md320-it144-s87,2,0,old_equal_step_control,2:0,0:1;0:2;0:4;1:1;2:1,routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628,4,75497472,524288,Frozen nonuniform Route-B support validation. Submit GPU jobs on Roihu GA partitions such as gpumedium; do not use pilot/gpupilot.,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,3,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,frozen_nonuniform_selector
roihu_routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628_n2_d1_dep4_md320_it216_s87,source_frozen_nonuniform_support,canonical,4,72,64,320,87,216,113246208,524288,16,2048,40,1,L,roihu-routeb-frozen-sequential-support-x17p5-prospective-s87-88-20260628-n2-d1-dep4-md320-it216-s87,2,1,frozen_nonuniform_delta,2:1,0:1;0:2;0:4;1:1;2:1,routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628,4,113246208,524288,Frozen nonuniform Route-B support validation. Submit GPU jobs on Roihu GA partitions such as gpumedium; do not use pilot/gpupilot.,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,8,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,frozen_nonuniform_selector
roihu_routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628_n0_d0_dep4_md128_it144_s88,source_frozen_nonuniform_support,canonical,4,72,64,128,88,144,75497472,524288,16,2048,40,1,L,roihu-routeb-frozen-sequential-support-x17p5-prospective-s87-88-20260628-n0-d0-dep4-md128-it144-s88,0,0,old_equal_step_control,0:0,0:1;0:2;0:4;1:1;2:1,routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628,4,75497472,524288,Frozen nonuniform Route-B support validation. Submit GPU jobs on Roihu GA partitions such as gpumedium; do not use pilot/gpupilot.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,1,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,frozen_nonuniform_selector
roihu_routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628_n0_d1_dep4_md128_it216_s88,source_frozen_nonuniform_support,canonical,4,72,64,128,88,216,113246208,524288,16,2048,40,1,L,roihu-routeb-frozen-sequential-support-x17p5-prospective-s87-88-20260628-n0-d1-dep4-md128-it216-s88,0,1,frozen_nonuniform_delta;old_equal_step_control,0:1,0:1;0:2;0:4;1:1;2:1,routeb_frozen_sequential_support_x17p5_prospective_s87_88_20260628,4,113246208,524288,Frozen nonuniform Route-B support validation. Submit GPU jobs on Roihu GA partitions such as gpumedium; do not use pilot/gpupilot.,controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,frozen_nonuniform_selector
